prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
asphalt,0.528488039970398,0.0027847953606396914,0.026838606223464012,0.04305681213736534,0.004742611199617386,7.738611748209223e-05,0.02991745062172413,0.3616659343242645,0.001971012679859996,0.0004573641053866595,001e76d9192b62c4d6d7d3f6326d00bc.png
asphalt,0.9118455648422241,0.0001598858943907544,0.00010316631232853979,0.0004970733425579965,0.011439843103289604,1.5402545614051633e-05,0.0005042293923906982,0.0738958790898323,0.0015058735152706504,3.311764157842845e-05,005b94f55127ae460c0741eac3a89b25.png
asphalt,0.5768617391586304,0.07663366943597794,0.00040033506229519844,0.2523854970932007,0.022379646077752113,0.0016047235112637281,0.017840160056948662,0.03186679631471634,0.01004521083086729,0.009982296265661716,00b0d192c813550f2c0ddac37b993a79.png
cobblestone,0.01846262998878956,0.6090425848960876,0.0036385597195476294,0.23098930716514587,0.013315645977854729,0.008849111385643482,0.10636715590953827,0.006599471904337406,0.0019257059320807457,0.0008098185644485056,013a86f9a192592e1f97c835d263a42d.png
asphalt,0.9072584509849548,0.006579780951142311,0.0031134202145040035,0.03713974356651306,0.02583412639796734,0.00042916485108435154,0.00446829991415143,0.0061088865622878075,0.008625729940831661,0.00044242499279789627,01fa5918d8b9a6e74589a967fd43289e.png
concrete,0.24255992472171783,0.025562604889273643,0.05626855418086052,0.5150275826454163,0.06276755779981613,0.0027183848433196545,0.062226615846157074,0.0222012996673584,0.0030642186757177114,0.007603219710290432,022f9e68ac29459f44672ddab2d2254e.png
asphalt,0.7711640000343323,0.007584143429994583,0.05294971540570259,0.03026447631418705,0.0016980190994217992,0.0030967274215072393,0.011316820047795773,0.11294268816709518,0.0020888461731374264,0.006894543766975403,028e9ad66ec7be4e71180845e3051082.png
asphalt,0.6581059694290161,0.0014300442999228835,0.001867721090093255,0.06423213332891464,0.011094164103269577,0.024853695183992386,0.220766082406044,0.01340520940721035,0.0031636643689125776,0.0010813581757247448,034197cf53141608c01336e56347829e.png
gravel,0.1360372006893158,0.1870349496603012,0.0022689467296004295,0.09832014888525009,0.005191571544855833,0.15554676949977875,0.2868548631668091,0.031414102762937546,0.0014243515906855464,0.09590709954500198,0406b8925ffa5cc4e3c70b3bff1d0c88.png
asphalt,0.7139939069747925,0.0012449631467461586,0.0068190027959644794,0.031006287783384323,0.0009276730706915259,0.0010630835313349962,0.06981592625379562,0.17228402197360992,0.000417456089053303,0.0024276829790323973,0438ecfd7d8beab3045835f4f8656595.png
asphalt,0.3885727524757385,0.0023003891110420227,0.019638486206531525,0.013782813213765621,0.0021168827079236507,0.16430562734603882,0.05168883875012398,0.35347574949264526,0.0025354523677378893,0.0015830000629648566,048d6dbe628ad3dd6adfb06097fef8ee.png
sett,0.1865062564611435,0.012148971669375896,0.04126313328742981,0.1781400740146637,0.04874706640839577,0.02320699393749237,0.017865514382719994,0.12287498265504837,0.0037913869600743055,0.3654555678367615,05aa52fb6451a84f637ad801194437cf.png
grass,0.07050011307001114,0.03756221383810043,0.0029854802414774895,0.033387504518032074,0.02559918537735939,0.6606248021125793,0.07853823155164719,0.05683935433626175,0.007773254066705704,0.026189861819148064,05f36ae1b33d3d45073ff9d28477503b.png
asphalt,0.340745747089386,0.10140779614448547,0.002177000977098942,0.2348448634147644,0.000504409777931869,0.011755340732634068,0.29290980100631714,0.006349155679345131,0.00012241526565048844,0.009183505550026894,0694f0da0111545692db9788ff118f40.png
concrete,0.24018581211566925,0.03638067841529846,0.0273885540664196,0.447399765253067,0.012387823313474655,0.003153315745294094,0.14944911003112793,0.07848123461008072,0.004463611636310816,0.0007101063383743167,08046a4ce512922eaaf9e3f9cdf67184.png
sett,0.12406428903341293,0.16346433758735657,0.0007681486895307899,0.06494354456663132,0.005556099116802216,0.13248808681964874,0.19170352816581726,0.054304808378219604,0.0015357033116742969,0.26117143034935,08d9c7b9e44e25e308a290c574b271bd.png
asphalt,0.5764974355697632,0.032760217785835266,0.002575412392616272,0.009520757012069225,0.0005616895505227149,0.23428140580654144,0.05238404497504234,0.06571809202432632,0.0004273744416423142,0.0252736434340477,09137f92ac5acb2a0740b3d1392b0198.png
asphalt,0.7849695086479187,0.002740216441452503,0.0012529697269201279,0.05155617371201515,0.0004664410662371665,0.016766661778092384,0.11501505970954895,0.0255927424877882,0.00018193978758063167,0.0014583187876269221,09574de28e3b7527fb30f228b2718ae2.png
asphalt,0.7132449150085449,0.042316894978284836,0.0017520388355478644,0.0848761573433876,0.0051198736764490604,0.0062211682088673115,0.12537521123886108,0.013325105421245098,0.007358877919614315,0.0004098487552255392,096a620f82c351ef1df1689accfe1848.png
asphalt,0.7368963956832886,0.00761610921472311,0.06384362280368805,0.03969239816069603,0.013563929125666618,0.0012489905348047614,0.05915707349777222,0.045754387974739075,0.028206748887896538,0.004020333290100098,09c260be10e1f9bf79f7d5bd5096582a.png
asphalt,0.9923238754272461,9.173731814371422e-05,0.0006192266009747982,0.0013611591421067715,0.00020703785412479192,2.3207282140447205e-07,0.002671055728569627,0.0025781530421227217,0.00012080420856364071,2.6830213755602017e-05,09ef9e3769bbdd2e54508e7e6bfb2396.png
ground,0.3757800757884979,0.002735976129770279,0.004732918459922075,0.029731059446930885,0.01072180550545454,0.12243617326021194,0.02279968000948429,0.42240259051322937,0.0061403848230838776,0.002519278321415186,0a102d99b488e3b0eb03db373c789d5f.png
