prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.1810302734375,0.01053619384765625,0.00250244140625,0.10479736328125,0.00432586669921875,0.003875732421875,0.6728515625,0.019378662109375,0.0005083084106445312,0.00045943260192871094,001e76d9192b62c4d6d7d3f6326d00bc.png
concrete_plates,0.370361328125,0.003520965576171875,0.00261688232421875,0.058624267578125,0.49853515625,0.0022735595703125,0.015289306640625,0.02947998046875,0.0167999267578125,0.00241851806640625,005b94f55127ae460c0741eac3a89b25.png
cobblestone,0.059112548828125,0.362060546875,0.00441741943359375,0.07470703125,0.01019287109375,0.07354736328125,0.319580078125,0.08465576171875,0.006526947021484375,0.00537109375,00b0d192c813550f2c0ddac37b993a79.png
gravel,0.01451873779296875,0.206787109375,0.034027099609375,0.0809326171875,0.0020275115966796875,0.26123046875,0.26953125,0.06158447265625,0.005096435546875,0.06402587890625,013a86f9a192592e1f97c835d263a42d.png
gravel,0.02850341796875,0.08917236328125,0.00650787353515625,0.311279296875,0.01264190673828125,0.1402587890625,0.33642578125,0.060333251953125,0.00588226318359375,0.00904083251953125,01fa5918d8b9a6e74589a967fd43289e.png
grass,0.0200653076171875,0.18310546875,0.0469970703125,0.06085205078125,0.0029811859130859375,0.29248046875,0.2174072265625,0.0799560546875,0.019287109375,0.076904296875,022f9e68ac29459f44672ddab2d2254e.png
gravel,0.2222900390625,0.06365966796875,0.0038852691650390625,0.150390625,0.04046630859375,0.06170654296875,0.415283203125,0.0335693359375,0.005146026611328125,0.0036487579345703125,028e9ad66ec7be4e71180845e3051082.png
sett,0.03472900390625,0.169677734375,0.016937255859375,0.03814697265625,0.00402069091796875,0.142822265625,0.1937255859375,0.0236968994140625,0.033416748046875,0.3427734375,034197cf53141608c01336e56347829e.png
sett,0.053466796875,0.2471923828125,0.036163330078125,0.0347900390625,0.004817962646484375,0.167236328125,0.09381103515625,0.0256500244140625,0.0195159912109375,0.3173828125,0406b8925ffa5cc4e3c70b3bff1d0c88.png
concrete,0.072021484375,0.02691650390625,0.0005087852478027344,0.47705078125,0.0791015625,0.03509521484375,0.24755859375,0.052703857421875,0.00833892822265625,0.0005764961242675781,0438ecfd7d8beab3045835f4f8656595.png
grass,0.029693603515625,0.01074981689453125,0.008636474609375,0.139404296875,0.052093505859375,0.494384765625,0.1156005859375,0.1309814453125,0.0146942138671875,0.0037746429443359375,048d6dbe628ad3dd6adfb06097fef8ee.png
concrete,0.10211181640625,0.051361083984375,0.005329132080078125,0.319580078125,0.0217437744140625,0.1820068359375,0.2337646484375,0.06494140625,0.006134033203125,0.01308441162109375,05aa52fb6451a84f637ad801194437cf.png
sett,0.0028781890869140625,0.169921875,0.01221466064453125,0.012115478515625,0.0013074874877929688,0.203369140625,0.04229736328125,0.01290130615234375,0.00734710693359375,0.53564453125,05f36ae1b33d3d45073ff9d28477503b.png
cobblestone,0.027984619140625,0.3203125,0.04010009765625,0.038238525390625,0.0026645660400390625,0.2183837890625,0.2288818359375,0.02587890625,0.00582122802734375,0.09173583984375,0694f0da0111545692db9788ff118f40.png
concrete,0.01641845703125,0.03936767578125,0.0003275871276855469,0.6455078125,0.0129852294921875,0.0156707763671875,0.16064453125,0.093017578125,0.01541900634765625,0.0005931854248046875,08046a4ce512922eaaf9e3f9cdf67184.png
cobblestone,0.061981201171875,0.335205078125,0.0198211669921875,0.04864501953125,0.006381988525390625,0.163330078125,0.09161376953125,0.0382080078125,0.02838134765625,0.2064208984375,08d9c7b9e44e25e308a290c574b271bd.png
cobblestone,0.01045989990234375,0.37451171875,0.03765869140625,0.006443023681640625,0.0019350051879882812,0.09320068359375,0.11968994140625,0.005218505859375,0.00457000732421875,0.346435546875,09137f92ac5acb2a0740b3d1392b0198.png
gravel,0.047576904296875,0.06402587890625,0.0018739700317382812,0.2379150390625,0.047576904296875,0.10723876953125,0.444580078125,0.0312042236328125,0.014068603515625,0.003936767578125,09574de28e3b7527fb30f228b2718ae2.png
gravel,0.040191650390625,0.1917724609375,0.01479339599609375,0.1917724609375,0.01715087890625,0.1517333984375,0.2073974609375,0.1163330078125,0.0462646484375,0.022552490234375,096a620f82c351ef1df1689accfe1848.png
concrete,0.048980712890625,0.039337158203125,0.0018987655639648438,0.4365234375,0.0107574462890625,0.01277923583984375,0.2061767578125,0.19677734375,0.043212890625,0.0036029815673828125,09c260be10e1f9bf79f7d5bd5096582a.png
asphalt,0.84814453125,0.0052032470703125,0.0007042884826660156,0.04638671875,0.001689910888671875,0.0007796287536621094,0.0577392578125,0.037261962890625,0.0017986297607421875,0.0001970529556274414,09ef9e3769bbdd2e54508e7e6bfb2396.png
grass,0.0302886962890625,0.00551605224609375,0.0025844573974609375,0.12359619140625,0.05316162109375,0.49658203125,0.112548828125,0.1422119140625,0.03173828125,0.001804351806640625,0a102d99b488e3b0eb03db373c789d5f.png
gravel,0.070556640625,0.1181640625,0.0015344619750976562,0.2705078125,0.02117919921875,0.06524658203125,0.326171875,0.0850830078125,0.036041259765625,0.005657196044921875,0b46e4a906e017a742b42169f9178346.png
concrete,0.05224609375,0.0288543701171875,0.0007872581481933594,0.755859375,0.01165771484375,0.01593017578125,0.0703125,0.043975830078125,0.0180511474609375,0.0024623870849609375,0bb387ac87fac7b83f6f8484c7abd103.png
gravel,0.01617431640625,0.09600830078125,0.00372314453125,0.329833984375,0.004024505615234375,0.1195068359375,0.345703125,0.07135009765625,0.005130767822265625,0.00832366943359375,0beee4c091f034603c26a209d663b991.png
grass,0.011932373046875,0.2379150390625,0.0281829833984375,0.05517578125,0.002349853515625,0.257080078125,0.257080078125,0.0924072265625,0.0104522705078125,0.047210693359375,0c3bb5ce502be2a5af20b9aa80d2ef54.png
asphalt,0.7080078125,0.0037174224853515625,0.002635955810546875,0.02703857421875,0.0028934478759765625,0.0018110275268554688,0.22998046875,0.0224151611328125,0.0004439353942871094,0.0008826255798339844,0d2ec97e0bd0238240ef11601a82d35f.png
