prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
asphalt,0.30126953125,0.01523590087890625,0.01476287841796875,0.15380859375,0.203857421875,0.0013103485107421875,0.15625,0.01282501220703125,0.1357421875,0.0048675537109375,001e76d9192b62c4d6d7d3f6326d00bc.png
asphalt,0.49462890625,0.005580902099609375,0.00150299072265625,0.0679931640625,0.244873046875,0.0006880760192871094,0.131103515625,0.0083770751953125,0.041259765625,0.00383758544921875,005b94f55127ae460c0741eac3a89b25.png
gravel,0.2242431640625,0.045562744140625,0.12005615234375,0.0139007568359375,0.10272216796875,0.04852294921875,0.235107421875,0.06842041015625,0.13818359375,0.0033016204833984375,00b0d192c813550f2c0ddac37b993a79.png
gravel,0.10546875,0.043975830078125,0.1766357421875,0.04681396484375,0.09454345703125,0.0821533203125,0.269287109375,0.10382080078125,0.04132080078125,0.035888671875,013a86f9a192592e1f97c835d263a42d.png
gravel,0.1497802734375,0.022979736328125,0.0290374755859375,0.10626220703125,0.20166015625,0.042938232421875,0.284423828125,0.044281005859375,0.10296630859375,0.0157928466796875,01fa5918d8b9a6e74589a967fd43289e.png
gravel,0.097900390625,0.0477294921875,0.09637451171875,0.06524658203125,0.14697265625,0.0716552734375,0.2276611328125,0.125732421875,0.05755615234375,0.063232421875,022f9e68ac29459f44672ddab2d2254e.png
asphalt,0.327880859375,0.0252838134765625,0.0133209228515625,0.036773681640625,0.0882568359375,0.01070404052734375,0.289306640625,0.0882568359375,0.09844970703125,0.0219573974609375,028e9ad66ec7be4e71180845e3051082.png
paving_stones,0.164306640625,0.038421630859375,0.0240325927734375,0.033905029296875,0.2176513671875,0.005279541015625,0.1776123046875,0.03607177734375,0.30224609375,0.0006403923034667969,034197cf53141608c01336e56347829e.png
gravel,0.055908203125,0.172119140625,0.10443115234375,0.0178680419921875,0.03338623046875,0.0308685302734375,0.468017578125,0.055023193359375,0.029449462890625,0.032867431640625,0406b8925ffa5cc4e3c70b3bff1d0c88.png
gravel,0.2332763671875,0.030120849609375,0.01491546630859375,0.041168212890625,0.08319091796875,0.01143646240234375,0.42236328125,0.0745849609375,0.06475830078125,0.024200439453125,0438ecfd7d8beab3045835f4f8656595.png
gravel,0.15234375,0.01290130615234375,0.027313232421875,0.049468994140625,0.07904052734375,0.1622314453125,0.228759765625,0.2017822265625,0.08026123046875,0.005908966064453125,048d6dbe628ad3dd6adfb06097fef8ee.png
gravel,0.125732421875,0.06732177734375,0.0811767578125,0.050811767578125,0.1075439453125,0.0750732421875,0.2313232421875,0.125732421875,0.1109619140625,0.0243682861328125,05aa52fb6451a84f637ad801194437cf.png
grass,0.0355224609375,0.050872802734375,0.03839111328125,0.0155181884765625,0.036651611328125,0.426025390625,0.24658203125,0.07171630859375,0.058563232421875,0.020233154296875,05f36ae1b33d3d45073ff9d28477503b.png
gravel,0.08966064453125,0.16748046875,0.030029296875,0.04949951171875,0.1304931640625,0.0206451416015625,0.427734375,0.0309906005859375,0.0479736328125,0.00555419921875,0694f0da0111545692db9788ff118f40.png
gravel,0.0689697265625,0.027435302734375,0.0117950439453125,0.06475830078125,0.24072265625,0.01009368896484375,0.384521484375,0.034149169921875,0.1553955078125,0.002147674560546875,08046a4ce512922eaaf9e3f9cdf67184.png
gravel,0.08477783203125,0.12139892578125,0.10546875,0.0228118896484375,0.033721923828125,0.038787841796875,0.444091796875,0.07025146484375,0.0311737060546875,0.04754638671875,08d9c7b9e44e25e308a290c574b271bd.png
cobblestone,0.07330322265625,0.333740234375,0.0926513671875,0.01215362548828125,0.025726318359375,0.071044921875,0.303955078125,0.045166015625,0.036865234375,0.0054779052734375,09137f92ac5acb2a0740b3d1392b0198.png
gravel,0.10662841796875,0.10498046875,0.0278167724609375,0.03253173828125,0.051177978515625,0.03253173828125,0.5166015625,0.054473876953125,0.048828125,0.024169921875,09574de28e3b7527fb30f228b2718ae2.png
gravel,0.08050537109375,0.06268310546875,0.0780029296875,0.05279541015625,0.10174560546875,0.05706787109375,0.372314453125,0.10015869140625,0.0870361328125,0.007724761962890625,096a620f82c351ef1df1689accfe1848.png
concrete_plates,0.0302581787109375,0.016448974609375,0.01113128662109375,0.034820556640625,0.411376953125,0.00696563720703125,0.206787109375,0.08099365234375,0.1973876953125,0.0038471221923828125,09c260be10e1f9bf79f7d5bd5096582a.png
asphalt,0.49951171875,0.0143890380859375,0.005130767822265625,0.05780029296875,0.04791259765625,0.0014028549194335938,0.1925048828125,0.0206146240234375,0.1546630859375,0.006092071533203125,09ef9e3769bbdd2e54508e7e6bfb2396.png
ground,0.09442138671875,0.00652313232421875,0.03582763671875,0.046722412109375,0.041900634765625,0.15087890625,0.10528564453125,0.4296875,0.05999755859375,0.0287933349609375,0a102d99b488e3b0eb03db373c789d5f.png
gravel,0.132080078125,0.149658203125,0.07403564453125,0.03338623046875,0.08392333984375,0.037841796875,0.316650390625,0.07403564453125,0.0633544921875,0.03497314453125,0b46e4a906e017a742b42169f9178346.png
