prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
asphalt,0.5103835463523865,0.00039987501804716885,0.0010279933921992779,0.3869301378726959,0.014167428016662598,4.486391560476477e-07,0.0004360276216175407,0.07869122922420502,0.004101989325135946,0.00386139377951622,001e76d9192b62c4d6d7d3f6326d00bc.png
asphalt,0.953380823135376,2.6201996661257e-05,0.004168663639575243,0.00036393641494214535,0.04023030400276184,2.45664666387313e-09,3.2150416018339456e-07,0.00024266478430945426,0.0001941886730492115,0.0013928721891716123,005b94f55127ae460c0741eac3a89b25.png
asphalt,0.40498271584510803,0.007127644494175911,0.0006695447955280542,0.018376784399151802,0.0828051045536995,3.51520320691634e-05,0.0013799028238281608,0.15470680594444275,0.025371063500642776,0.3045452833175659,00b0d192c813550f2c0ddac37b993a79.png
ground,0.003944272641092539,0.0006722162361256778,0.00032729850499890745,0.34103694558143616,0.03442390635609627,0.00044688215712085366,7.803643529769033e-05,0.6146509051322937,2.0640478396671824e-05,0.0043989368714392185,013a86f9a192592e1f97c835d263a42d.png
asphalt,0.9991278052330017,4.2000747271231376e-06,5.721549314330332e-06,5.76139209442772e-05,0.00038443709490820765,2.777336138848341e-09,1.0403174428574857e-06,0.00032132011256180704,3.8664886233164e-05,5.9070149291073903e-05,01fa5918d8b9a6e74589a967fd43289e.png
ground,0.08415568619966507,0.00044457323383539915,0.01949346251785755,0.21897754073143005,0.14238789677619934,1.786424581950996e-05,0.0009886020561680198,0.5205333828926086,0.0002930009795818478,0.012708031572401524,022f9e68ac29459f44672ddab2d2254e.png
asphalt,0.37925273180007935,0.0005271976697258651,0.010111100040376186,0.04871603846549988,0.2007334977388382,6.343218501569936e-07,0.0004093113529961556,0.3534983992576599,0.0016497891629114747,0.005101384129375219,028e9ad66ec7be4e71180845e3051082.png
concrete_plates,0.34798577427864075,0.0018582034390419722,6.459636642830446e-05,0.0036146403290331364,0.37130609154701233,1.413318813092701e-07,0.0003812165523413569,0.17487949132919312,0.012850921601057053,0.08705894649028778,034197cf53141608c01336e56347829e.png
asphalt,0.401846319437027,0.005484291817992926,0.011754152365028858,0.007833627983927727,0.14435721933841705,3.518044195516268e-06,0.00014146971807349473,0.26999276876449585,0.005787706933915615,0.1527988165616989,0406b8925ffa5cc4e3c70b3bff1d0c88.png
asphalt,0.5036678314208984,0.00011221581371501088,0.0002417169453110546,0.16013820469379425,0.11882814764976501,5.7095590477729274e-08,0.00019836993305943906,0.21245478093624115,0.0003147896786686033,0.004043885972350836,0438ecfd7d8beab3045835f4f8656595.png
grass,0.03048359602689743,1.641468406887725e-05,0.0011302344501018524,4.803957199328579e-05,0.0002983289596159011,0.8334825038909912,0.0014279030729085207,0.13281384110450745,5.2856936235912144e-05,0.0002462896809447557,048d6dbe628ad3dd6adfb06097fef8ee.png
asphalt,0.9997103810310364,7.590880386487697e-07,1.6971127479337156e-05,2.24454724957468e-05,2.4976625354611315e-05,2.3766551393578084e-08,6.761919735254196e-07,0.00019135100592393428,1.1155249012517743e-05,2.1195324734435417e-05,05aa52fb6451a84f637ad801194437cf.png
