prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
concrete,0.20966702699661255,0.014308094047009945,0.03374486044049263,0.6845192313194275,0.02017064578831196,0.0007990032318048179,0.002230597659945488,0.031274501234292984,0.003272081958130002,1.3980117728351615e-05,001e76d9192b62c4d6d7d3f6326d00bc.png
asphalt,0.7511246800422668,0.0016604114789515734,0.1970399171113968,0.013625322841107845,0.018509332090616226,3.8753252738388255e-05,0.0003822584403678775,0.01530305203050375,0.0017460506642237306,0.000570230302400887,005b94f55127ae460c0741eac3a89b25.png
asphalt,0.44793701171875,0.10449285805225372,0.014349138364195824,0.3126952350139618,0.0036616113502532244,0.02393917739391327,0.0225411057472229,0.05930295214056969,0.009312808513641357,0.0017681069439277053,00b0d192c813550f2c0ddac37b993a79.png
concrete,0.009547442197799683,0.15401878952980042,0.04175562039017677,0.6635719537734985,0.01781623810529709,0.041300054639577866,0.013361841440200806,0.05180484056472778,0.006700196769088507,0.0001230593625223264,013a86f9a192592e1f97c835d263a42d.png
asphalt,0.8946746587753296,0.004037247039377689,0.07058790326118469,0.015280007384717464,0.0002624110784381628,0.00014534997171722353,0.0018648849800229073,0.012295478954911232,0.0008280066540464759,2.4043305529630743e-05,01fa5918d8b9a6e74589a967fd43289e.png
concrete,0.058105431497097015,0.09177616238594055,0.09849092364311218,0.5912277102470398,0.020973626524209976,0.0352223664522171,0.025388088077306747,0.07016249746084213,0.00803349819034338,0.0006196777685545385,022f9e68ac29459f44672ddab2d2254e.png
asphalt,0.8280259966850281,0.016466006636619568,0.03470253944396973,0.053128235042095184,0.0010967976413667202,0.0010523509699851274,0.001759849488735199,0.06214649975299835,0.0012749828165397048,0.00034676201175898314,028e9ad66ec7be4e71180845e3051082.png
concrete,0.22790613770484924,0.14170002937316895,0.05354074016213417,0.43133777379989624,0.008403887040913105,0.007174288854002953,0.024107282981276512,0.09518615901470184,0.010179833509027958,0.0004638511745724827,034197cf53141608c01336e56347829e.png
cobblestone,0.11975254118442535,0.25663551688194275,0.030214278027415276,0.13562631607055664,0.0023715456482023,0.20964016020298004,0.015108413994312286,0.2198292762041092,0.0032583842985332012,0.007563585881143808,0406b8925ffa5cc4e3c70b3bff1d0c88.png
asphalt,0.44503238797187805,0.053305502980947495,0.025536995381116867,0.3842647671699524,0.009166402742266655,0.0036784198600798845,0.018428951501846313,0.0530986450612545,0.007358849979937077,0.00012915626575704664,0438ecfd7d8beab3045835f4f8656595.png
grass,0.0868026614189148,0.03664909675717354,0.03898441791534424,0.05142323300242424,0.01140677835792303,0.5152497291564941,0.028797470033168793,0.22043000161647797,0.010240457020699978,1.6142479580594227e-05,048d6dbe628ad3dd6adfb06097fef8ee.png
asphalt,0.9689651131629944,0.005441184155642986,0.002689310349524021,0.009288261644542217,0.0001515248732175678,0.00017214530089404434,0.0007639845716767013,0.0094959307461977,0.003004013327881694,2.846419192792382e-05,05aa52fb6451a84f637ad801194437cf.png
grass,0.007158705499023199,0.07150473445653915,0.03696560859680176,0.19196179509162903,0.004436158109456301,0.6120526790618896,0.013151545077562332,0.05377895012497902,0.00803630892187357,0.0009535415447317064,05f36ae1b33d3d45073ff9d28477503b.png
concrete,0.297344446182251,0.10243493318557739,0.02877834439277649,0.38997578620910645,0.0029380572959780693,0.027063319459557533,0.016888746991753578,0.12894964218139648,0.0037773388903588057,0.0018493550596758723,0694f0da0111545692db9788ff118f40.png
concrete,0.0646081492304802,0.072550468146801,0.054535068571567535,0.7390387058258057,0.016656415536999702,0.0022509729024022818,0.017144108191132545,0.017861496657133102,0.01529944222420454,5.519219484995119e-05,08046a4ce512922eaaf9e3f9cdf67184.png
ground,0.07647483050823212,0.1449914127588272,0.04786085709929466,0.1907653659582138,0.0018436647951602936,0.1487116664648056,0.011249742470681667,0.36836305260658264,0.004498922731727362,0.005240404978394508,08d9c7b9e44e25e308a290c574b271bd.png
asphalt,0.466842919588089,0.19900667667388916,0.053067587316036224,0.13418053090572357,0.0013984072720631957,0.04788761958479881,0.009765706956386566,0.08324684202671051,0.00323967426083982,0.0013640078250318766,09137f92ac5acb2a0740b3d1392b0198.png
asphalt,0.5739040374755859,0.15271851420402527,0.02279968187212944,0.1600279062986374,0.0026710403617471457,0.014486701227724552,0.018187599256634712,0.04906593635678291,0.00598088139668107,0.00015762618568260223,09574de28e3b7527fb30f228b2718ae2.png
concrete,0.07450377941131592,0.04978066682815552,0.06528853625059128,0.7373961210250854,0.006148971151560545,0.011126796714961529,0.017200620844960213,0.03424767404794693,0.004274042323231697,3.2729552913224325e-05,096a620f82c351ef1df1689accfe1848.png
asphalt,0.4010903835296631,0.044794630259275436,0.033373504877090454,0.12961718440055847,0.0026344843208789825,0.0008545401506125927,0.010704793967306614,0.3511934280395508,0.025050463154911995,0.0006865542382001877,09c260be10e1f9bf79f7d5bd5096582a.png
asphalt,0.9080806970596313,0.0047561489045619965,0.026499222964048386,0.023610517382621765,0.000642205064650625,5.3687745094066486e-05,0.0028824456967413425,0.03284379094839096,0.0006061111926101148,2.5111807190114632e-05,09ef9e3769bbdd2e54508e7e6bfb2396.png
grass,0.26282161474227905,0.029501212760806084,0.010500919073820114,0.054695580154657364,0.005324901547282934,0.48564353585243225,0.013333328068256378,0.13114507496356964,0.007010527886450291,2.334765304112807e-05,0a102d99b488e3b0eb03db373c789d5f.png
concrete,0.18687090277671814,0.23686760663986206,0.027578050270676613,0.3036034107208252,0.005380616057664156,0.035615481436252594,0.02144593931734562,0.1716461479663849,0.007845118641853333,0.003146715462207794,0b46e4a906e017a742b42169f9178346.png
asphalt,0.3586823642253876,0.17150360345840454,0.041379574686288834,0.32368797063827515,0.01808941923081875,0.002969694323837757,0.015605403110384941,0.03076549991965294,0.03709534555673599,0.00022112987062428147,0bb387ac87fac7b83f6f8484c7abd103.png
concrete,0.1125754714012146,0.02849631942808628,0.04220815375447273,0.4765106439590454,0.006313914433121681,0.011094017885625362,0.010164009407162666,0.29947349429130554,0.01104777306318283,0.002116167452186346,0beee4c091f034603c26a209d663b991.png
concrete,0.1620236337184906,0.010928124189376831,0.03526747226715088,0.635568380355835,0.014109873212873936,0.006715821102261543,0.0069974916987121105,0.1158817857503891,0.011758340522646904,0.0007491610595025122,0c3bb5ce502be2a5af20b9aa80d2ef54.png
asphalt,0.9880963563919067,0.001354249194264412,0.005011527333408594,0.004004842136055231,2.1596368242171593e-05,8.862614777171984e-06,0.0003148556861560792,0.001060130656696856,0.00012614486331585795,1.4938131016606349e-06,0d2ec97e0bd0238240ef11601a82d35f.png
concrete,0.16326762735843658,0.1255767047405243,0.004358373582363129,0.5534160733222961,0.003976155072450638,0.049267373979091644,0.013021069578826427,0.08288557082414627,0.00364615092985332,0.000584959052503109,0d90e72d2dab823f687704838d45d37d.png
concrete,0.10812094807624817,0.1796366423368454,0.05671670660376549,0.5579047799110413,0.014819719828665257,0.019561711698770523,0.016790932044386864,0.033000823110342026,0.013392452150583267,5.5282656830968335e-05,0f9594f487bf02c54dc230ecb85a5a4a.png
concrete,0.3034302890300751,0.2025698572397232,0.018640408292412758,0.3357001841068268,0.00906747579574585,0.028350215405225754,0.01957991160452366,0.07367616891860962,0.008346418850123882,0.0006390626076608896,111e5e512db1787b0a851b00b8d044ce.png
asphalt,0.5807809829711914,0.06483762711286545,0.00812143087387085,0.2259243130683899,0.0019494036678224802,0.020007299259305,0.008790581487119198,0.08514230698347092,0.004399406723678112,4.6613728045485914e-05,11383746aaf5c83460949ac7c73d4ccf.png
concrete,0.09040127694606781,0.05469854176044464,0.10426401346921921,0.6462293863296509,0.006881939247250557,0.005265070591121912,0.03175748139619827,0.04205155000090599,0.01843460649251938,1.6079738998087123e-05,11da0f2063ec200b5bcd43aacdb04c5d.png
concrete,0.1796082705259323,0.0323089137673378,0.04407845810055733,0.6697714328765869,0.03895779699087143,0.0006329670432023704,0.006209259852766991,0.02224401943385601,0.006075819954276085,0.00011304295185254887,1252a53fcf9683f563c59f021b17c1f8.png
grass,0.018410952761769295,0.014614412561058998,0.0036990565713495016,0.018317613750696182,0.0002523578004911542,0.9174604415893555,0.001694205799140036,0.024643614888191223,0.0008392131421715021,6.820099224569276e-05,125d8ef47611520bd7aa7991e17c4959.png
concrete,0.044991929084062576,0.261956125497818,0.18436980247497559,0.27877530455589294,0.010943340137600899,0.06760970503091812,0.017941640689969063,0.12414059042930603,0.00517098605632782,0.004100464284420013,14b846a5dd6a94fcf42cad6b694292f2.png
asphalt,0.9277838468551636,0.003719016443938017,0.042822010815143585,0.004997448995709419,3.450158692430705e-05,2.628321817610413e-05,0.01391187496483326,0.0063026659190654755,0.00035805584047921,4.421447738423012e-05,14b9b109fb55a8b6a52aec29edb89258.png
concrete,0.08231082558631897,0.024075012654066086,0.02969549223780632,0.48933565616607666,0.0033780906815081835,0.014901275746524334,0.0038711109664291143,0.3475181758403778,0.0047904434613883495,0.0001238363329321146,1556409689c0ce7450ebaaf980826bb0.png
