prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.02081298828125,0.09930419921875,0.001483917236328125,0.033782958984375,0.00998687744140625,0.001461029052734375,0.63720703125,0.055694580078125,0.1400146484375,4.017353057861328e-05,001449cde8a4959f753aa0e5e4fe1166.png
cobblestone,0.0010776519775390625,0.50830078125,5.2034854888916016e-05,0.0024662017822265625,0.002353668212890625,0.0003609657287597656,0.1016845703125,0.01177215576171875,0.371826171875,4.309415817260742e-05,004a151dc1c6f285f81148a4baa24e69.png
paving_stones,0.04742431640625,0.27294921875,0.0002567768096923828,0.040557861328125,0.01256561279296875,0.0009393692016601562,0.11376953125,0.024993896484375,0.486572265625,8.07642936706543e-05,009d00f157bd71a82e07479abe2c09b7.png
paving_stones,0.0026721954345703125,0.199462890625,0.001453399658203125,0.0029354095458984375,0.0007309913635253906,0.0008025169372558594,0.2225341796875,0.0269927978515625,0.54248046875,0.0001310110092163086,00f252ba02b528ff2ac770643536def7.png
cobblestone,0.0116729736328125,0.451904296875,0.0020599365234375,0.0164642333984375,0.0118560791015625,0.0005049705505371094,0.09771728515625,0.04473876953125,0.363037109375,7.742643356323242e-05,0104e653151a14ace2d4cdbb6d0494ff.png
paving_stones,0.001697540283203125,0.251953125,6.377696990966797e-05,0.0023193359375,0.0015459060668945312,0.00036716461181640625,0.193115234375,0.0156097412109375,0.533203125,1.424551010131836e-05,014d697ce49eeda75c026f26367adc6f.png
paving_stones,0.0014772415161132812,0.1845703125,6.002187728881836e-05,0.00023734569549560547,0.00019371509552001953,2.390146255493164e-05,0.00798797607421875,0.0034885406494140625,0.8017578125,1.3172626495361328e-05,01e5ab57eb858704b64adc105ffc04a1.png
gravel,0.049285888671875,0.1470947265625,0.001739501953125,0.01099395751953125,0.0037403106689453125,0.0010890960693359375,0.3876953125,0.0285186767578125,0.369873046875,0.00011837482452392578,02718fe682daf3c0859f2cd4b4c874b1.png
paving_stones,0.0010499954223632812,0.148681640625,7.253885269165039e-05,0.0033359527587890625,0.0004515647888183594,3.647804260253906e-05,0.0439453125,0.0235137939453125,0.77880859375,1.0609626770019531e-05,02827c2dd6e62040b555b3befce36bfd.png
paving_stones,0.0069122314453125,0.37158203125,0.0003387928009033203,0.00246429443359375,0.0027484893798828125,7.43865966796875e-05,0.050262451171875,0.00795745849609375,0.5576171875,8.565187454223633e-05,0319170d46d5be431cd26748b815bee9.png
paving_stones,0.0025177001953125,0.212890625,0.00255584716796875,0.007396697998046875,0.0010652542114257812,0.0005359649658203125,0.04901123046875,0.0474853515625,0.67626953125,0.00023043155670166016,0469d892ead931974b13a61f8f97cda9.png
paving_stones,0.042999267578125,0.1549072265625,0.00795745849609375,0.0103759765625,0.0091552734375,0.0019197463989257812,0.07318115234375,0.2288818359375,0.4697265625,0.0010271072387695312,049de83aea55916c03d612209146cb77.png
paving_stones,0.0009026527404785156,0.210693359375,1.704692840576172e-05,0.0011959075927734375,0.0004982948303222656,4.1544437408447266e-05,0.034393310546875,0.0051116943359375,0.7470703125,6.9141387939453125e-06,04a6ec9ae27f48087cbdf71b7cabac74.png
cobblestone,0.0288848876953125,0.3203125,0.0008192062377929688,0.01013946533203125,0.1197509765625,0.01131439208984375,0.1854248046875,0.04010009765625,0.28271484375,0.0003871917724609375,054729d4b1bd6934d00d4921ea0dabc1.png
paving_stones,0.006214141845703125,0.32373046875,0.00040340423583984375,0.01715087890625,0.0019550323486328125,0.0003292560577392578,0.193359375,0.041168212890625,0.415771484375,1.919269561767578e-05,0566b20d99e85505bf3741738927a740.png
cobblestone,0.003570556640625,0.432373046875,0.0016603469848632812,0.01285552978515625,0.043487548828125,9.816884994506836e-05,0.381591796875,0.014801025390625,0.10931396484375,6.538629531860352e-05,069aa483b6329c27ca30b0053637cf4a.png
cobblestone,0.0252532958984375,0.302978515625,0.004253387451171875,0.1114501953125,0.06549072265625,0.009002685546875,0.28466796875,0.08544921875,0.1114501953125,0.00021183490753173828,06b1c02babf572e199c560143bdf2ec9.png
cobblestone,0.0025501251220703125,0.50146484375,7.12275505065918e-05,0.0012617111206054688,0.0015954971313476562,0.00013947486877441406,0.01056671142578125,0.0188446044921875,0.463623046875,3.5822391510009766e-05,0770035f92e94d9f0fff7d9dad942e9a.png
paving_stones,0.0015659332275390625,0.1387939453125,0.0002187490463256836,0.0027065277099609375,0.001918792724609375,4.51207160949707e-05,0.056976318359375,0.01139068603515625,0.7861328125,8.225440979003906e-06,080406bb645bcfc4912fe966064c9fca.png
gravel,0.0121002197265625,0.04638671875,0.0132904052734375,0.169677734375,0.09228515625,0.0021038055419921875,0.3271484375,0.2047119140625,0.1322021484375,0.00026726722717285156,0938b3ec6ded48eee51ebd8f050f9cca.png
paving_stones,0.010162353515625,0.158935546875,0.0007958412170410156,0.0081634521484375,0.006664276123046875,8.26120376586914e-05,0.1026611328125,0.0218505859375,0.6904296875,7.87973403930664e-05,0958a7e687b0fff8f3eb157280ffa279.png
paving_stones,0.0030765533447265625,0.415771484375,0.00015079975128173828,0.0017805099487304688,0.0004572868347167969,0.00014162063598632812,0.043121337890625,0.00992584228515625,0.525390625,0.0002524852752685547,09cfe61cc9b3b5ba30cce8d781f7872f.png
cobblestone,0.0079193115234375,0.419189453125,0.0026950836181640625,0.005443572998046875,0.001972198486328125,0.0049591064453125,0.2279052734375,0.02764892578125,0.302001953125,0.0002627372741699219,09d15a3189f80d8db9193819e2d422c7.png
paving_stones,0.0003185272216796875,0.1134033203125,0.0001246929168701172,0.0005950927734375,0.0008931159973144531,5.2809715270996094e-05,0.015106201171875,0.005062103271484375,0.8642578125,2.2351741790771484e-05,0a68e8b9ade014e1184dd29c02730295.png
gravel,0.0197906494140625,0.10205078125,0.0010004043579101562,0.0227813720703125,0.00540924072265625,0.0007791519165039062,0.45751953125,0.0712890625,0.3193359375,8.881092071533203e-05,0b0825212d195aa2fb0fad205e4000c7.png
paving_stones,0.0014734268188476562,0.349365234375,9.274482727050781e-05,0.002796173095703125,0.0006852149963378906,9.274482727050781e-05,0.134765625,0.03302001953125,0.4775390625,2.658367156982422e-05,0b0c2f0d404cb3dafab1ee41a7f4d50d.png
paving_stones,0.002567291259765625,0.1317138671875,3.6597251892089844e-05,0.01097869873046875,0.016998291015625,9.715557098388672e-06,0.0023365020751953125,0.0032444000244140625,0.83203125,7.212162017822266e-06,0b3467217c39070ddf9f2661f701b766.png
paving_stones,0.0017309188842773438,0.31005859375,0.00021004676818847656,0.00763702392578125,0.00372314453125,1.3649463653564453e-05,0.01220703125,0.008392333984375,0.65625,1.430511474609375e-05,0b3834e576b93ecccf0f90e816c40423.png
concrete,0.07025146484375,0.171142578125,0.0159149169921875,0.197021484375,0.0975341796875,0.061004638671875,0.12322998046875,0.1441650390625,0.11224365234375,0.00763702392578125,0bf6954f8db7749b76d422da822c475d.png
cobblestone,0.0089569091796875,0.78125,5.936622619628906e-05,0.00867462158203125,0.0002970695495605469,0.0003695487976074219,0.035400390625,0.06719970703125,0.0977783203125,6.520748138427734e-05,0c7fb925dcda49dadae16f4adf26427e.png
paving_stones,0.0033969879150390625,0.1944580078125,0.00011807680130004883,0.019256591796875,0.003505706787109375,4.482269287109375e-05,0.07379150390625,0.016204833984375,0.689453125,1.6510486602783203e-05,0cce366fd314c5ae53238bcd07d8eaa6.png
paving_stones,0.01363372802734375,0.458740234375,0.00030112266540527344,0.0015535354614257812,0.0020904541015625,4.690885543823242e-05,0.02886962890625,0.00664520263671875,0.48828125,1.811981201171875e-05,0d8a84d8840ab6ecd0af8ee3a7055d82.png
cobblestone,0.00937652587890625,0.4111328125,0.003787994384765625,0.01497650146484375,0.0284271240234375,0.0006184577941894531,0.1376953125,0.02508544921875,0.36865234375,0.00011438131332397461,0eb16ca5f2b2c5e93851c6c4f8c8ca43.png
gravel,0.04010009765625,0.0848388671875,0.0071868896484375,0.174072265625,0.11419677734375,0.01113128662109375,0.296142578125,0.1610107421875,0.11065673828125,0.00045228004455566406,0ed63d739bef8dfd30bfa1278e2b332c.png
paving_stones,0.03179931640625,0.254150390625,0.0006918907165527344,0.007205963134765625,0.0020008087158203125,0.0001239776611328125,0.29248046875,0.0181121826171875,0.3935546875,2.1576881408691406e-05,0f18b18f4e1433d9d9c4e6662fcba711.png
ground,0.0723876953125,0.03314208984375,0.01666259765625,0.05999755859375,0.039947509765625,0.058135986328125,0.22998046875,0.4296875,0.058135986328125,0.00205230712890625,0fbe0c285332b93ad5f36d46db8b13e6.png
gravel,0.01385498046875,0.12158203125,0.00457000732421875,0.0221405029296875,0.00777435302734375,0.0006184577941894531,0.43115234375,0.1561279296875,0.2418212890625,0.0003578662872314453,0fd73ee3c33b41a0e4a436815000ec99.png
paving_stones,0.001617431640625,0.298583984375,0.0176544189453125,0.006397247314453125,0.0006847381591796875,0.00018715858459472656,0.218505859375,0.07208251953125,0.383544921875,0.0006957054138183594,0fe19e42979445697de9d6dc916d89e6.png
paving_stones,0.005847930908203125,0.17919921875,0.00010067224502563477,0.004848480224609375,0.002941131591796875,5.555152893066406e-05,0.0452880859375,0.007511138916015625,0.75439453125,1.9371509552001953e-05,1033d800c50991069ae9269bee1b079d.png
paving_stones,0.0220794677734375,0.1231689453125,0.000743865966796875,0.0227813720703125,0.00838470458984375,0.00023055076599121094,0.12127685546875,0.035308837890625,0.666015625,3.4809112548828125e-05,10fe1e79033ccb12428aeb5e7c76fc47.png
paving_stones,0.0015878677368164062,0.08807373046875,8.815526962280273e-05,0.001445770263671875,0.0006933212280273438,9.238719940185547e-05,0.0390625,0.007114410400390625,0.86181640625,1.4603137969970703e-05,119fc91733188278857822887158a4e9.png
paving_stones,0.03240966796875,0.082763671875,0.0011262893676757812,0.01629638671875,0.01629638671875,0.000492095947265625,0.284423828125,0.034515380859375,0.53125,0.00023615360260009766,129e8d80fa50722584e247c3ba6334e4.png
gravel,0.0033473968505859375,0.26171875,0.0012121200561523438,0.00403594970703125,0.0010862350463867188,0.0008077621459960938,0.431640625,0.038299560546875,0.2578125,7.62939453125e-05,12f20882da453d9517181253e1e84750.png
cobblestone,0.002758026123046875,0.493896484375,0.00010204315185546875,0.0013446807861328125,0.0023593902587890625,0.00018775463104248047,0.027008056640625,0.0084991455078125,0.4638671875,3.933906555175781e-05,1335205af3e945fdab4385d16fc1eaf0.png
paving_stones,0.002529144287109375,0.17724609375,0.0001494884490966797,0.0122528076171875,0.001232147216796875,0.0002503395080566406,0.10589599609375,0.031280517578125,0.6689453125,3.552436828613281e-05,13466303879cfadade817aeece6fc1a3.png
cobblestone,0.02349853515625,0.300048828125,0.015655517578125,0.01010894775390625,0.00603485107421875,0.0016241073608398438,0.1212158203125,0.300048828125,0.219482421875,0.002437591552734375,1358a2b138695030171bdc3aba37ddd9.png
paving_stones,0.0012273788452148438,0.2266845703125,0.00012540817260742188,0.01076507568359375,0.005584716796875,3.218650817871094e-05,0.004852294921875,0.007633209228515625,0.7431640625,2.110004425048828e-05,14873ef52a51ca699aa5b62603df8bf7.png
paving_stones,0.0011005401611328125,0.2734375,5.143880844116211e-05,0.0019931793212890625,0.0004658699035644531,0.00011599063873291016,0.0159149169921875,0.008392333984375,0.6982421875,1.895427703857422e-05,155e0ec1935b2a5c3557e45021a7021d.png
cobblestone,0.1748046875,0.34228515625,0.0009765625,0.0084381103515625,0.0010728836059570312,0.0018529891967773438,0.0684814453125,0.0643310546875,0.3369140625,0.0006923675537109375,164c8d7311c74b35350d53a358977a32.png
paving_stones,0.0017032623291015625,0.1312255859375,0.00033545494079589844,0.01641845703125,0.004489898681640625,0.0001767873764038086,0.08599853515625,0.039398193359375,0.72021484375,4.9114227294921875e-05,169acab147cc64351a5687f18f46bfe4.png
ground,0.0027370452880859375,0.00677490234375,0.004238128662109375,0.0006604194641113281,0.0039825439453125,0.00209808349609375,0.13818359375,0.8203125,0.020538330078125,0.0002751350402832031,16c24660d2791303bb75d5724f43afd3.png
paving_stones,0.0013837814331054688,0.298828125,0.00010341405868530273,0.0020771026611328125,0.00316619873046875,6.783008575439453e-05,0.0148773193359375,0.00620269775390625,0.67333984375,5.447864532470703e-05,1755085b924ac805586611394fffc8c4.png
paving_stones,0.002574920654296875,0.33740234375,0.00023949146270751953,0.018157958984375,0.0022373199462890625,9.08970832824707e-05,0.1044921875,0.012481689453125,0.5224609375,3.3974647521972656e-05,17a3789645180ebcf8a9017a109afdf0.png
paving_stones,0.005329132080078125,0.3623046875,0.00038623809814453125,0.002765655517578125,0.0023288726806640625,0.00014650821685791016,0.041290283203125,0.0156707763671875,0.56982421875,6.92605972290039e-05,184441955fc1a0ca631fd622f492027a.png
gravel,0.053314208984375,0.220947265625,0.004306793212890625,0.00710296630859375,0.0035724639892578125,0.0017957687377929688,0.34765625,0.1182861328125,0.24267578125,0.0002887248992919922,187ca049644e3b3db1dde007570abaff.png
gravel,0.0028820037841796875,0.2117919921875,0.0003962516784667969,0.0200042724609375,0.0005249977111816406,0.006397247314453125,0.55810546875,0.152587890625,0.047271728515625,0.0001704692840576172,18939de1f47df9780f9a6dd064bb08c5.png
paving_stones,0.00782012939453125,0.11492919921875,0.0009198188781738281,0.026885986328125,0.01230621337890625,0.0009946823120117188,0.136474609375,0.1595458984375,0.5400390625,0.00015020370483398438,18badb137314687518ba871bdaa1579e.png
paving_stones,0.0007405281066894531,0.3837890625,0.0013208389282226562,0.004261016845703125,0.0012598037719726562,8.308887481689453e-05,0.12646484375,0.047271728515625,0.434814453125,7.56382942199707e-05,1997ce959a504781d195e643ebd85d78.png
paving_stones,0.001117706298828125,0.19384765625,4.470348358154297e-05,0.0006995201110839844,0.0028095245361328125,4.756450653076172e-05,0.007755279541015625,0.0023651123046875,0.791015625,2.5451183319091797e-05,199e6358f503ce070726517ff3a836a8.png
paving_stones,0.0012063980102539062,0.11376953125,2.5451183319091797e-05,0.0008287429809570312,0.00036215782165527344,2.1398067474365234e-05,0.011993408203125,0.004482269287109375,0.8671875,1.239776611328125e-05,19f4e644d50587393f46d378b5a77e70.png
paving_stones,0.0018548965454101562,0.201416015625,8.404254913330078e-05,0.0026569366455078125,0.000640869140625,0.0001646280288696289,0.1669921875,0.034454345703125,0.591796875,1.3113021850585938e-05,1ace2baa702b8bc72397c9cb79751025.png
paving_stones,0.0037975311279296875,0.06732177734375,0.00016427040100097656,0.0018510818481445312,0.00044655799865722656,0.00025844573974609375,0.038360595703125,0.0147857666015625,0.873046875,1.4603137969970703e-05,1b75f24a2dae502cd92d42278e31074b.png
paving_stones,0.0004165172576904297,0.361328125,4.744529724121094e-05,0.00052642822265625,0.00018775463104248047,2.0742416381835938e-05,0.0191497802734375,0.0035991668701171875,0.61474609375,7.748603820800781e-06,1b761326ce7feca99a24404cf5c52202.png
ground,0.00839996337890625,0.0211181640625,0.046844482421875,0.0266876220703125,0.0180511474609375,0.0021572113037109375,0.2066650390625,0.57080078125,0.09759521484375,0.0018739700317382812,1b8631f18e85029c7e3cfe5e7c3435ae.png
paving_stones,0.0039043426513671875,0.135498046875,0.0010509490966796875,0.00951385498046875,0.0032367706298828125,0.000885009765625,0.291259765625,0.0888671875,0.465576171875,0.00011605024337768555,1b869016155a771761347312920e9614.png
paving_stones,0.0011043548583984375,0.1180419921875,5.0067901611328125e-05,0.0011568069458007812,0.002567291259765625,3.3855438232421875e-05,0.01432037353515625,0.004100799560546875,0.8583984375,1.7821788787841797e-05,1c90c5d86d3aee8f1bdb70a2ed2689fa.png
gravel,0.02099609375,0.059814453125,0.0012035369873046875,0.02532958984375,0.004985809326171875,0.0005774497985839844,0.533203125,0.08172607421875,0.272216796875,5.453824996948242e-05,1d4632fac20a6f31c793d843ddd4d5e1.png
paving_stones,0.005718231201171875,0.2078857421875,0.00023233890533447266,0.037872314453125,0.017608642578125,8.028745651245117e-05,0.005046844482421875,0.03289794921875,0.6923828125,4.035234451293945e-05,1d8197532a039566f13720a084d385bf.png
paving_stones,0.0004706382751464844,0.13671875,0.00011354684829711914,0.0035877227783203125,0.0011835098266601562,9.41157341003418e-05,0.035675048828125,0.010223388671875,0.81201171875,4.178285598754883e-05,1ee580a1a56b0567b23f660c90ad1068.png
cobblestone,0.00982666015625,0.51171875,0.0005898475646972656,0.0106201171875,0.027130126953125,0.00339508056640625,0.1466064453125,0.0364990234375,0.25341796875,0.00016129016876220703,1efc198b664687db98e9df178d2c1e5c.png
paving_stones,0.0167388916015625,0.21044921875,0.00026226043701171875,0.057525634765625,0.00244903564453125,0.00012981891632080078,0.1717529296875,0.011688232421875,0.52880859375,6.973743438720703e-06,1f3216fb07dda658e6a61258c7871a36.png
paving_stones,0.0028228759765625,0.06427001953125,0.0004982948303222656,0.070556640625,0.0294189453125,0.00013840198516845703,0.0251617431640625,0.024383544921875,0.78271484375,6.848573684692383e-05,203a37dff2e930ac43808f80a6db0661.png
ground,0.1126708984375,0.11993408203125,0.00882720947265625,0.10748291015625,0.055755615234375,0.0389404296875,0.19775390625,0.27880859375,0.07861328125,0.001251220703125,20590a624be27829bb85b333108e3a4f.png
grass,0.08026123046875,0.10150146484375,0.013519287109375,0.0233612060546875,0.019989013671875,0.322509765625,0.06976318359375,0.302978515625,0.0543212890625,0.011749267578125,20e8e8af04b54708c4eb20d40ceec870.png
paving_stones,0.007007598876953125,0.284423828125,0.0016651153564453125,0.008453369140625,0.04034423828125,0.0043182373046875,0.2509765625,0.05426025390625,0.348388671875,0.00018107891082763672,2103fbf102530bc81a19ed0480580e90.png
gravel,0.0237579345703125,0.13671875,0.0033702850341796875,0.003116607666015625,0.004062652587890625,0.001220703125,0.360107421875,0.2117919921875,0.25537109375,0.0004086494445800781,215b6628333219ed55c3203015a0bc44.png
paving_stones,0.0018510818481445312,0.2242431640625,6.848573684692383e-05,0.002490997314453125,0.00041294097900390625,0.00010776519775390625,0.1773681640625,0.0208587646484375,0.57275390625,8.821487426757812e-06,21ff2b5c5752bbc5a3fcba79a4a9b2c4.png
concrete_plates,0.0006761550903320312,0.002674102783203125,0.0006060600280761719,0.08856201171875,0.64404296875,0.0030307769775390625,0.0096282958984375,0.0711669921875,0.178955078125,0.0005183219909667969,224ee65ffed0050098273a3b1f15c59f.png
paving_stones,0.0008683204650878906,0.471435546875,5.817413330078125e-05,0.0014543533325195312,0.00289154052734375,1.4007091522216797e-05,0.01161956787109375,0.002017974853515625,0.509765625,1.615285873413086e-05,228641803849955a7b194a883d809df0.png
paving_stones,0.0024776458740234375,0.212890625,0.0001442432403564453,0.0027217864990234375,0.0005273818969726562,3.11732292175293e-05,0.07470703125,0.0086517333984375,0.69775390625,2.2113323211669922e-05,22d96ac531b6385fa34c0b33b22bce6f.png
paving_stones,0.0013589859008789062,0.17529296875,1.5795230865478516e-05,0.0011444091796875,0.0005578994750976562,2.372264862060547e-05,0.0268707275390625,0.009429931640625,0.78515625,5.900859832763672e-06,2378865c864882caab9ad482fd3bbeda.png
cobblestone,0.0028781890869140625,0.583984375,0.00029397010803222656,0.0033130645751953125,0.00011515617370605469,0.00017559528350830078,0.09832763671875,0.035064697265625,0.27587890625,8.165836334228516e-05,23b98e9b30de232138e6267b412dd6cd.png
paving_stones,0.0013761520385742188,0.03662109375,0.00012409687042236328,0.00146484375,0.0013551712036132812,6.538629531860352e-05,0.0218658447265625,0.00720977783203125,0.9296875,1.1444091796875e-05,24282f0ebb01300b7c95a4840078a3ee.png
cobblestone,0.024810791015625,0.30712890625,0.006374359130859375,0.00688934326171875,0.050140380859375,0.006275177001953125,0.1982421875,0.1280517578125,0.27099609375,0.00119781494140625,255c6dacfa7898b07f3c79486e49a5e7.png
paving_stones,0.0017652511596679688,0.17724609375,4.929304122924805e-05,0.00479888916015625,0.0020961761474609375,1.6510486602783203e-05,0.01525115966796875,0.00423431396484375,0.79443359375,5.9604644775390625e-06,2573c6ba5ba9af82ff2db07524b0218b.png
ground,0.026611328125,0.1630859375,0.059967041015625,0.01540374755859375,0.029693603515625,0.00608062744140625,0.25244140625,0.356201171875,0.088623046875,0.0019130706787109375,25ca69d4de6dabf403471a3df6c8954c.png
paving_stones,0.016448974609375,0.1942138671875,0.0014600753784179688,0.010955810546875,0.00801849365234375,0.00044536590576171875,0.14208984375,0.037078857421875,0.5888671875,0.00017714500427246094,25d4fb8f2d1c7077229e07dc8d02f9e0.png
grass,0.1348876953125,0.141357421875,0.01007843017578125,0.03253173828125,0.0177001953125,0.27685546875,0.124755859375,0.1962890625,0.058929443359375,0.0067138671875,25ff1b251e0260a98bd7c49dfc4d62d0.png
paving_stones,0.0034160614013671875,0.2080078125,0.00010156631469726562,0.0124969482421875,0.0021038055419921875,0.00034356117248535156,0.0777587890625,0.03448486328125,0.6611328125,4.369020462036133e-05,269d3fe9069d0a3f55f6e4f60397d2f0.png
paving_stones,0.0011882781982421875,0.3505859375,0.0003917217254638672,0.00786590576171875,0.002593994140625,4.607439041137695e-05,0.0250091552734375,0.015899658203125,0.59619140625,1.5676021575927734e-05,27477e1592b1fa9d01e9c786ebe768d3.png
cobblestone,0.037628173828125,0.3515625,0.00041794776916503906,0.0189208984375,0.0024051666259765625,0.0005283355712890625,0.216552734375,0.046844482421875,0.3251953125,8.106231689453125e-05,284ee234daf2a898a2738fc1ed0449a0.png
paving_stones,0.0087432861328125,0.2186279296875,0.00011903047561645508,0.01158905029296875,0.00342559814453125,0.00011181831359863281,0.1456298828125,0.03570556640625,0.576171875,3.927946090698242e-05,28cf12c015895940ec32a6a4b255921d.png
paving_stones,0.004955291748046875,0.1470947265625,0.0002884864807128906,0.004238128662109375,0.0009908676147460938,4.220008850097656e-05,0.093505859375,0.0247802734375,0.72412109375,1.901388168334961e-05,297a9d67faf986d1bcbc534a27ed1159.png
paving_stones,0.007648468017578125,0.182373046875,0.0004887580871582031,0.03704833984375,0.032196044921875,1.3053417205810547e-05,0.007297515869140625,0.0113067626953125,0.7216796875,6.61611557006836e-05,29cd60abbc985f816095d882a295b373.png
ground,0.0148468017578125,0.0560302734375,0.007350921630859375,0.011749267578125,0.0038127899169921875,0.1546630859375,0.2286376953125,0.50732421875,0.01230621337890625,0.00321197509765625,2ac18633988d87710e56d140e86e77ed.png
cobblestone,0.0099639892578125,0.59716796875,0.005947113037109375,0.004154205322265625,0.00852203369140625,0.1312255859375,0.10711669921875,0.11053466796875,0.023895263671875,0.0012664794921875,2b631fde66bc75a74cf770bc6e59d581.png
paving_stones,0.0013780593872070312,0.342529296875,5.0187110900878906e-05,0.0019426345825195312,0.00185394287109375,3.790855407714844e-05,0.0187225341796875,0.003803253173828125,0.6298828125,8.165836334228516e-06,2b80f5e02f17e8733ac17ff1056cd85c.png
cobblestone,0.004024505615234375,0.41064453125,0.0011529922485351562,0.017486572265625,0.0096588134765625,0.0028553009033203125,0.324951171875,0.041290283203125,0.18798828125,5.227327346801758e-05,2b83baf2ad886cf6b39a0f895b97c645.png
paving_stones,0.0034770965576171875,0.10321044921875,0.000244140625,0.00505828857421875,0.0018320083618164062,0.00021886825561523438,0.05029296875,0.0237579345703125,0.81201171875,3.409385681152344e-05,2b8828a1bab4a36477ad996522d8b4dc.png
paving_stones,0.0007352828979492188,0.2310791015625,0.00023877620697021484,0.0023365020751953125,0.001605987548828125,1.049041748046875e-05,0.0106353759765625,0.00754547119140625,0.74560546875,5.364418029785156e-06,2ba7ffa718d2fd54bf37ef1c9af06777.png
paving_stones,0.008941650390625,0.36279296875,0.00079345703125,0.0224761962890625,0.004711151123046875,0.00011980533599853516,0.046112060546875,0.1234130859375,0.4306640625,0.00010907649993896484,2d15169932a43d911c9e836d0f9a2b5f.png
cobblestone,0.0007939338684082031,0.60791015625,0.00034689903259277344,0.00135040283203125,0.0007939338684082031,2.1517276763916016e-05,0.0433349609375,0.0201568603515625,0.325439453125,8.702278137207031e-06,2d86e79565da1964ab7c0d24e830be48.png
cobblestone,0.054473876953125,0.318359375,0.0004496574401855469,0.0194244384765625,0.00531005859375,0.0002332925796508789,0.2724609375,0.0206756591796875,0.30859375,1.2934207916259766e-05,2df6837803e60ad53891074182908c22.png
paving_stones,0.0037555694580078125,0.322509765625,0.00033855438232421875,0.0034198760986328125,0.001888275146484375,0.000152587890625,0.049468994140625,0.00609588623046875,0.6123046875,4.4405460357666016e-05,2f111601177ca8b52de13b665c9212b1.png
