prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
concrete,0.21763081848621368,0.052410222589969635,0.005226465407758951,0.522882342338562,0.0044073243625462055,0.021356385201215744,0.08723253756761551,0.056993287056684494,0.0017315979348495603,0.030129054561257362,000111e2b580f09ee3c82e741e5fc402.png
ground,0.0020671356469392776,0.039901528507471085,0.08698887377977371,0.05561227351427078,0.007488443050533533,8.312785939779133e-05,0.22428639233112335,0.5789783596992493,0.0029741667676717043,0.001619718037545681,00836e20eca6602b99fd2d4b094dbc47.png
compacted,0.021982109174132347,0.01858316920697689,0.586772620677948,0.05140518769621849,0.0030738897621631622,0.00010472030407981947,0.24289144575595856,0.06729020923376083,0.005159434396773577,0.00273720920085907,00b1e23f6a4ee89fe9ab99ced8c5552f.png
concrete,0.0069586425088346004,0.0053314086981117725,0.0081862211227417,0.9287331104278564,0.0024580243043601513,0.00020316176232881844,0.027532465755939484,0.019209910184144974,0.00026132201310247183,0.0011257391888648272,00fb247a0dbba1c13913005c5d882e65.png
gravel,0.11906098574399948,0.0064336690120399,0.021064871922135353,0.009042175486683846,0.00022565947438124567,0.023703666403889656,0.49788469076156616,0.27469801902770996,0.0017196836415678263,0.0461665578186512,016bc25cf9b1beb6dd1ff7633dec429e.png
ground,0.18633611500263214,0.015309233218431473,0.02147923782467842,0.2510460317134857,0.009293884038925171,0.0010882443748414516,0.07265889644622803,0.441021591424942,0.0009839535923674703,0.0007828738307580352,0287bcf22aa625db5249f36f74f0bfa4.png
concrete,0.08157907426357269,0.08375134319067001,0.012451518326997757,0.4597572684288025,0.003504162421450019,0.011604098603129387,0.11627277731895447,0.2174607813358307,0.0029143989086151123,0.010704601183533669,02d6f3fb835a460c07a2b4f22fdc6b63.png
concrete,0.0813533291220665,0.012348570860922337,0.03475232422351837,0.5804091691970825,0.0020092001650482416,0.00023066798166837543,0.14599329233169556,0.1399613469839096,0.0021178845781832933,0.000824209360871464,032683553b7c46241f48ae0339c16af0.png
concrete,0.1389201581478119,0.014111853204667568,0.05118860304355621,0.5175350904464722,0.09491835534572601,0.000534849357791245,0.08933471143245697,0.0798674002289772,0.012061486020684242,0.001527496729977429,035e24314457169f3726737eb3b1e9d2.png
concrete,0.030131427571177483,0.02736286260187626,0.004780614748597145,0.8712405562400818,0.0019516294123604894,0.002130939392372966,0.03192787989974022,0.028522640466690063,0.0002390409936197102,0.0017123296856880188,046394a097ed4135b709ecf045c813e0.png
concrete,0.04314662516117096,0.056246768683195114,0.05652746930718422,0.34506356716156006,0.03456628695130348,0.04055013507604599,0.22383245825767517,0.17145340144634247,0.007575816009193659,0.021037453785538673,04a12a8efdedab0dcf68e2745f03e0a4.png
concrete,0.05256858468055725,0.01682174578309059,0.005341308657079935,0.8002373576164246,0.023450380191206932,0.007211548741906881,0.06960301101207733,0.015162607654929161,0.0079544298350811,0.0016490585403516889,04f7f2554a5435b8d0ec8d923b02e41f.png
compacted,0.09366514533758163,0.012099082581698895,0.3111586570739746,0.07997162640094757,0.0067343078553676605,0.002135973423719406,0.2151029258966446,0.23873478174209595,0.03306760638952255,0.007329847663640976,055d5b2419495c7ebe562aedf253d0c9.png
