prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.01007843017578125,0.185791015625,0.058441162109375,0.03009033203125,0.005229949951171875,0.292236328125,0.31103515625,0.08245849609375,0.01015472412109375,0.014434814453125,000111e2b580f09ee3c82e741e5fc402.png
ground,0.01355743408203125,0.007843017578125,0.001544952392578125,0.22216796875,0.0013952255249023438,0.002246856689453125,0.366455078125,0.3779296875,0.006710052490234375,6.628036499023438e-05,00836e20eca6602b99fd2d4b094dbc47.png
gravel,0.01454925537109375,0.01264190673828125,0.002712249755859375,0.10919189453125,0.00502777099609375,0.0122528076171875,0.74609375,0.0948486328125,0.0016450881958007812,0.0008273124694824219,00b1e23f6a4ee89fe9ab99ced8c5552f.png
concrete,0.00846099853515625,0.09832763671875,0.0005283355712890625,0.6513671875,0.00638580322265625,0.0075836181640625,0.08544921875,0.1282958984375,0.01309967041015625,0.00048470497131347656,00fb247a0dbba1c13913005c5d882e65.png
gravel,0.0231475830078125,0.252685546875,0.007228851318359375,0.0654296875,0.0117340087890625,0.11572265625,0.37353515625,0.0517578125,0.054656982421875,0.043914794921875,016bc25cf9b1beb6dd1ff7633dec429e.png
gravel,0.099609375,0.04705810546875,0.00133514404296875,0.358642578125,0.0034618377685546875,0.017852783203125,0.387939453125,0.07879638671875,0.0048065185546875,0.00048351287841796875,0287bcf22aa625db5249f36f74f0bfa4.png
concrete,0.043792724609375,0.15283203125,0.00606536865234375,0.318603515625,0.007434844970703125,0.0305633544921875,0.255859375,0.11358642578125,0.0667724609375,0.0044403076171875,02d6f3fb835a460c07a2b4f22fdc6b63.png
gravel,0.05047607421875,0.02239990234375,0.002117156982421875,0.0496826171875,0.0018672943115234375,0.00762176513671875,0.449951171875,0.3671875,0.04815673828125,0.0005307197570800781,032683553b7c46241f48ae0339c16af0.png
concrete,0.0222930908203125,0.008331298828125,7.098913192749023e-05,0.79833984375,0.007015228271484375,0.0006837844848632812,0.11865234375,0.041015625,0.0034732818603515625,4.9948692321777344e-05,035e24314457169f3726737eb3b1e9d2.png
gravel,0.01146697998046875,0.060089111328125,0.0526123046875,0.13232421875,0.00554656982421875,0.136474609375,0.359619140625,0.0736083984375,0.006137847900390625,0.162109375,046394a097ed4135b709ecf045c813e0.png
gravel,0.02410888671875,0.11322021484375,0.02093505859375,0.047943115234375,0.00138092041015625,0.1214599609375,0.44091796875,0.15234375,0.0181884765625,0.059661865234375,04a12a8efdedab0dcf68e2745f03e0a4.png
concrete,0.024261474609375,0.1632080078125,0.00452423095703125,0.44384765625,0.0170745849609375,0.0250396728515625,0.14404296875,0.1087646484375,0.05731201171875,0.0119171142578125,04f7f2554a5435b8d0ec8d923b02e41f.png
gravel,0.0161285400390625,0.041168212890625,0.00284576416015625,0.052032470703125,0.0005388259887695312,0.00704193115234375,0.70703125,0.16796875,0.00348663330078125,0.001499176025390625,055d5b2419495c7ebe562aedf253d0c9.png
gravel,0.034759521484375,0.0250396728515625,0.004421234130859375,0.2413330078125,0.01361846923828125,0.0254364013671875,0.5107421875,0.1396484375,0.004421234130859375,0.0002512931823730469,056963eba6a78560c5b8b997c8197bc9.png
gravel,0.025299072265625,0.10736083984375,0.007305145263671875,0.185546875,0.0031909942626953125,0.07379150390625,0.41162109375,0.1197509765625,0.05072021484375,0.01546478271484375,059cd8ced9aed76c8fc85a5b6153108c.png
concrete,0.06451416015625,0.09832763671875,0.0005407333374023438,0.35986328125,0.0038738250732421875,0.009002685546875,0.3486328125,0.10467529296875,0.0102081298828125,0.0004050731658935547,05a8b60e6d89de9b2269bf7b5f55e224.png
gravel,0.034515380859375,0.07537841796875,0.004421234130859375,0.07537841796875,0.00794219970703125,0.0309295654296875,0.388671875,0.1865234375,0.18359375,0.01259613037109375,073422a3d46464e4ff70be0132cf7cf1.png
gravel,0.007518768310546875,0.0426025390625,0.00728607177734375,0.2822265625,0.0036640167236328125,0.0555419921875,0.4580078125,0.137451171875,0.003086090087890625,0.0028095245361328125,077f748c3472f9e6b7b1ff1f0f3517d6.png
concrete,0.06683349609375,0.06280517578125,0.00101470947265625,0.285888671875,0.01296234130859375,0.005237579345703125,0.24072265625,0.24072265625,0.08319091796875,0.0005517005920410156,07da819f7d045b515fa8d0d4ac35323d.png
concrete,0.005680084228515625,0.008392333984375,0.00020682811737060547,0.423828125,0.0042877197265625,0.004634857177734375,0.391845703125,0.1534423828125,0.0075225830078125,1.8358230590820312e-05,0801abd505a7e82e77eda9be25ee045f.png
ground,0.0142669677734375,0.00907135009765625,0.0023288726806640625,0.2064208984375,0.0028095245361328125,0.11944580078125,0.30517578125,0.3349609375,0.0054168701171875,8.481740951538086e-05,0810289650fc56d695d72878bcf3a1ec.png
gravel,0.136962890625,0.022186279296875,0.00569915771484375,0.1505126953125,0.00791168212890625,0.041778564453125,0.38427734375,0.2442626953125,0.004039764404296875,0.0024700164794921875,08f8bf0d95d2a71bff6ccba123f6c009.png
concrete,0.1343994140625,0.04644775390625,0.003162384033203125,0.32763671875,0.0199737548828125,0.010528564453125,0.06976318359375,0.2396240234375,0.1475830078125,0.0008573532104492188,0950fb7b0629c9d1eb0d63e5099b6d28.png
