prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
ground,0.0802001953125,0.0982666015625,0.01085662841796875,0.0416259765625,0.0160369873046875,0.136474609375,0.1595458984375,0.359619140625,0.057769775390625,0.039703369140625,000111e2b580f09ee3c82e741e5fc402.png
gravel,0.008453369140625,0.0753173828125,0.004451751708984375,0.056854248046875,0.00496673583984375,0.0073394775390625,0.62060546875,0.1864013671875,0.0350341796875,0.00040149688720703125,00836e20eca6602b99fd2d4b094dbc47.png
gravel,0.033477783203125,0.050262451171875,0.004062652587890625,0.072021484375,0.00600433349609375,0.0158233642578125,0.434326171875,0.348876953125,0.032470703125,0.0026226043701171875,00b1e23f6a4ee89fe9ab99ced8c5552f.png
gravel,0.028533935546875,0.1298828125,0.01326751708984375,0.1802978515625,0.022918701171875,0.023651123046875,0.31640625,0.1719970703125,0.109375,0.003570556640625,00fb247a0dbba1c13913005c5d882e65.png
ground,0.03753662109375,0.03472900390625,0.0928955078125,0.02703857421875,0.0164031982421875,0.043212890625,0.28173828125,0.403564453125,0.048187255859375,0.01470184326171875,016bc25cf9b1beb6dd1ff7633dec429e.png
ground,0.1461181640625,0.0872802734375,0.0037746429443359375,0.03363037109375,0.007389068603515625,0.028778076171875,0.24853515625,0.33447265625,0.10858154296875,0.0013456344604492188,0287bcf22aa625db5249f36f74f0bfa4.png
ground,0.0199432373046875,0.0408935546875,0.0303955078125,0.017059326171875,0.0178680419921875,0.0218963623046875,0.13623046875,0.6103515625,0.0950927734375,0.0100250244140625,02d6f3fb835a460c07a2b4f22fdc6b63.png
gravel,0.043548583984375,0.06640625,0.0072174072265625,0.08795166015625,0.01227569580078125,0.0143585205078125,0.4130859375,0.279541015625,0.07403564453125,0.0017147064208984375,032683553b7c46241f48ae0339c16af0.png
gravel,0.040069580078125,0.0293121337890625,0.002994537353515625,0.0254669189453125,0.004711151123046875,0.0016031265258789062,0.5361328125,0.305419921875,0.053924560546875,0.0003058910369873047,035e24314457169f3726737eb3b1e9d2.png
ground,0.0299530029296875,0.044281005859375,0.017333984375,0.0248260498046875,0.00399017333984375,0.05096435546875,0.235595703125,0.556640625,0.0299530029296875,0.006683349609375,046394a097ed4135b709ecf045c813e0.png
ground,0.0225830078125,0.024810791015625,0.0095672607421875,0.0408935546875,0.0208892822265625,0.056793212890625,0.0509033203125,0.68115234375,0.0684814453125,0.0240478515625,04a12a8efdedab0dcf68e2745f03e0a4.png
ground,0.0284423828125,0.1356201171875,0.0092315673828125,0.1356201171875,0.035400390625,0.049896240234375,0.1536865234375,0.3056640625,0.1400146484375,0.006343841552734375,04f7f2554a5435b8d0ec8d923b02e41f.png
ground,0.06402587890625,0.0748291015625,0.001308441162109375,0.1141357421875,0.01029205322265625,0.0167083740234375,0.22705078125,0.404541015625,0.086181640625,0.0008716583251953125,055d5b2419495c7ebe562aedf253d0c9.png
asphalt,0.2890625,0.056915283203125,0.00537872314453125,0.03912353515625,0.0193634033203125,0.0078277587890625,0.1895751953125,0.21484375,0.17529296875,0.0024623870849609375,056963eba6a78560c5b8b997c8197bc9.png
ground,0.01439666748046875,0.034515380859375,0.03192138671875,0.0206146240234375,0.07659912109375,0.1114501953125,0.04718017578125,0.49951171875,0.1572265625,0.006587982177734375,059cd8ced9aed76c8fc85a5b6153108c.png
gravel,0.123291015625,0.033172607421875,0.0009560585021972656,0.0147247314453125,0.0019311904907226562,0.0031833648681640625,0.51904296875,0.260986328125,0.0426025390625,0.00012350082397460938,05a8b60e6d89de9b2269bf7b5f55e224.png
ground,0.09320068359375,0.0848388671875,0.0243072509765625,0.0506591796875,0.055633544921875,0.057403564453125,0.09173583984375,0.310302734375,0.2166748046875,0.0152130126953125,073422a3d46464e4ff70be0132cf7cf1.png
ground,0.01088714599609375,0.0168609619140625,0.01123046875,0.036834716796875,0.0037021636962890625,0.043060302734375,0.143310546875,0.69482421875,0.0340576171875,0.005306243896484375,077f748c3472f9e6b7b1ff1f0f3517d6.png
gravel,0.1029052734375,0.09515380859375,0.00380706787109375,0.0740966796875,0.01392364501953125,0.01287841796875,0.28857421875,0.2144775390625,0.1922607421875,0.0018558502197265625,07da819f7d045b515fa8d0d4ac35323d.png
ground,0.00870513916015625,0.019012451171875,0.00710296630859375,0.04150390625,0.00970458984375,0.0025730133056640625,0.426025390625,0.46044921875,0.0247955322265625,0.00017786026000976562,0801abd505a7e82e77eda9be25ee045f.png
ground,0.0185394287109375,0.036865234375,0.00737762451171875,0.08709716796875,0.01056671142578125,0.04736328125,0.15283203125,0.59521484375,0.043792724609375,0.00040340423583984375,0810289650fc56d695d72878bcf3a1ec.png
ground,0.1180419921875,0.0214996337890625,0.003509521484375,0.1563720703125,0.0211639404296875,0.0084228515625,0.1563720703125,0.459716796875,0.047698974609375,0.0072021484375,08f8bf0d95d2a71bff6ccba123f6c009.png
concrete,0.0218353271484375,0.0738525390625,0.0006389617919921875,0.352294921875,0.0128326416015625,0.00226593017578125,0.31103515625,0.163818359375,0.06121826171875,0.0002663135528564453,0950fb7b0629c9d1eb0d63e5099b6d28.png
ground,0.0158538818359375,0.006923675537109375,0.0102386474609375,0.0133514404296875,0.002628326416015625,0.02099609375,0.212158203125,0.6953125,0.0200347900390625,0.0023937225341796875,09f316c8bb9b947a5fd6f6741472f392.png
ground,0.01294708251953125,0.00327301025390625,0.0031719207763671875,0.0699462890625,0.028717041015625,0.0018644332885742188,0.10504150390625,0.5859375,0.187255859375,0.0018358230590820312,0a47a8ffd999f64673b4410831004275.png
ground,0.021453857421875,0.0228271484375,0.02178955078125,0.01806640625,0.005340576171875,0.0235595703125,0.1795654296875,0.63671875,0.06402587890625,0.00664520263671875,0a59165e25088225ef93825b86d7d2ac.png
ground,0.02001953125,0.042388916015625,0.00902557373046875,0.0362548828125,0.023773193359375,0.00902557373046875,0.247802734375,0.4775390625,0.132568359375,0.0016183853149414062,0a672552d972e48baf4a3ec92197b668.png
asphalt,0.26318359375,0.0909423828125,0.0019178390502929688,0.19873046875,0.021942138671875,0.0077056884765625,0.2115478515625,0.1114501953125,0.0909423828125,0.0015649795532226562,0b40a82acad5e7467c3849cf798dd926.png
ground,0.0121307373046875,0.0115814208984375,0.0091552734375,0.239990234375,0.057891845703125,0.0196990966796875,0.084228515625,0.484619140625,0.08038330078125,0.0003552436828613281,0beaa1b9296019f25ae724e82b81475a.png
ground,0.0162353515625,0.029876708984375,0.0159912109375,0.032806396484375,0.0247650146484375,0.050811767578125,0.0469970703125,0.6904296875,0.090576171875,0.001312255859375,0c7a3223cee765d22b8a7e9a4795eb4f.png
ground,0.09136962890625,0.14599609375,0.00876617431640625,0.04742431640625,0.0179901123046875,0.0185699462890625,0.277099609375,0.304443359375,0.08587646484375,0.0025119781494140625,0cbfff77cc87ea39a619496df67b1eb9.png
ground,0.036163330078125,0.09234619140625,0.0081939697265625,0.08673095703125,0.0124969482421875,0.0367431640625,0.18359375,0.447509765625,0.09234619140625,0.003932952880859375,0d0294b4dcd860aee8e2e9bc60f3a567.png
ground,0.008026123046875,0.0023708343505859375,0.0007581710815429688,0.1883544921875,0.006549835205078125,0.0006189346313476562,0.01386260986328125,0.76904296875,0.01013946533203125,0.000438690185546875,0d0480b64449b478a31e38dd59d90b67.png
gravel,0.0081787109375,0.11651611328125,0.00971221923828125,0.1341552734375,0.12213134765625,0.013702392578125,0.2467041015625,0.2391357421875,0.1077880859375,0.002101898193359375,0dfad1a2da53e3ba98f3c53bba7f9e70.png
ground,0.015716552734375,0.007083892822265625,0.005100250244140625,0.0101470947265625,0.001373291015625,0.01168060302734375,0.38671875,0.55419921875,0.007904052734375,0.00031113624572753906,0dfb16ca8bafc978a18f6b29ec9213f2.png
sett,0.07373046875,0.1561279296875,0.139892578125,0.01045989990234375,0.0784912109375,0.09173583984375,0.0772705078125,0.10894775390625,0.06610107421875,0.197265625,0e02719f563bb917457deb5a8cb28b44.png
ground,0.00933837890625,0.016387939453125,0.01009368896484375,0.011260986328125,0.006519317626953125,0.060882568359375,0.209228515625,0.64453125,0.030609130859375,0.0012636184692382812,0fa9c5ac42e171bd32cb0752f7c145c3.png
gravel,0.0121002197265625,0.0098724365234375,0.011016845703125,0.00844573974609375,0.0012950897216796875,0.0052032470703125,0.49072265625,0.447021484375,0.01392364501953125,0.0003829002380371094,102fc513dbbabb7a2485aa52a048d287.png
concrete_plates,0.0272216796875,0.07513427734375,0.00955963134765625,0.0892333984375,0.2315673828125,0.07513427734375,0.10113525390625,0.201171875,0.18310546875,0.006671905517578125,1072910b26762f9261e0957a47ca39d2.png
ground,0.0158233642578125,0.039764404296875,0.00629425048828125,0.1431884765625,0.007129669189453125,0.004901885986328125,0.3330078125,0.389404296875,0.0596923828125,0.0008516311645507812,10fe1e6742225002e90271020f2ae71d.png
paving_stones,0.015594482421875,0.061676025390625,0.0063018798828125,0.2401123046875,0.07440185546875,0.003070831298828125,0.07916259765625,0.2291259765625,0.28955078125,0.0008134841918945312,119fd320ee3d4d47bd474aaba0529d6a.png
ground,0.01026153564453125,0.05902099609375,0.003955841064453125,0.11737060546875,0.035797119140625,0.09002685546875,0.27294921875,0.3671875,0.0418701171875,0.0014104843139648438,123ce76fb6aa6ae0661ca70bc1af5d88.png
ground,0.0088348388671875,0.0016088485717773438,0.033355712890625,0.002323150634765625,0.0016603469848632812,0.08251953125,0.10595703125,0.7470703125,0.01265716552734375,0.0038604736328125,12f467f5a2ef2f9de7382ff56e0da1a2.png
ground,0.01213836669921875,0.03857421875,0.0038204193115234375,0.1456298828125,0.0223236083984375,0.0129241943359375,0.1756591796875,0.45556640625,0.132568359375,0.0009813308715820312,13959b08167dd88c576d1c80b2bb81ad.png
grass,0.007556915283203125,0.0027370452880859375,0.0118865966796875,0.0005869865417480469,0.0005917549133300781,0.489990234375,0.029876708984375,0.453125,0.0021305084228515625,0.001659393310546875,13a301b13beda8e5f7265a39a7e34c5f.png
ground,0.038909912109375,0.0195770263671875,0.00457763671875,0.06829833984375,0.0211639404296875,0.055755615234375,0.1317138671875,0.60888671875,0.04620361328125,0.00502777099609375,14135463a3826da6fff5b650ddccd973.png
ground,0.019012451171875,0.0225830078125,0.020233154296875,0.01189422607421875,0.0244140625,0.041534423828125,0.1129150390625,0.62939453125,0.087890625,0.0299072265625,146765dc7a8db251c9456d6c04deb9c2.png
ground,0.0079345703125,0.002101898193359375,0.0032558441162109375,0.0052032470703125,0.0010242462158203125,0.018157958984375,0.2392578125,0.71435546875,0.00858306884765625,0.0002434253692626953,14adc785e6371b5401db63e424733b5b.png
gravel,0.0557861328125,0.03033447265625,0.0019092559814453125,0.063232421875,0.01000213623046875,0.02117919921875,0.45263671875,0.34716796875,0.01525115966796875,0.002529144287109375,14eaa6a65577e1b4ae36dc5dc7cd9981.png
paving_stones,0.00731658935546875,0.054901123046875,0.026336669921875,0.21044921875,0.270263671875,0.005786895751953125,0.047698974609375,0.06829833984375,0.301513671875,0.0074310302734375,14f8f7eb25ced9df82d945b8ca58bdc2.png
