prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
ground,0.1705150455236435,0.0860527828335762,0.0042070867493748665,0.10698028653860092,0.0077407481148839,0.005236099008470774,0.16111032664775848,0.42567479610443115,0.02613048255443573,0.0063523296266794205,000111e2b580f09ee3c82e741e5fc402.png
ground,0.02421463280916214,0.05224338546395302,0.005393099971115589,0.21349407732486725,0.006623057182878256,0.0009353953064419329,0.14092563092708588,0.5370537638664246,0.011155734769999981,0.007961300201714039,00836e20eca6602b99fd2d4b094dbc47.png
ground,0.05300924554467201,0.02370254509150982,0.004533458035439253,0.38778790831565857,0.009900914505124092,0.0031077128369361162,0.09820161014795303,0.4026975929737091,0.01620563678443432,0.0008534018998034298,00b1e23f6a4ee89fe9ab99ced8c5552f.png
concrete,0.007871177047491074,0.07587551325559616,0.0009052090463228524,0.7662263512611389,0.017355650663375854,0.00033552010427229106,0.016202783212065697,0.10072888433933258,0.01252058707177639,0.0019783317111432552,00fb247a0dbba1c13913005c5d882e65.png
ground,0.004754135385155678,0.0012830811319872737,0.012054783292114735,0.005249015521258116,0.0009707174613140523,0.0005977132823318243,0.00838176254183054,0.9639155268669128,0.0009480509324930608,0.0018451855285093188,016bc25cf9b1beb6dd1ff7633dec429e.png
asphalt,0.773810863494873,0.007134738843888044,0.0010929328855127096,0.12525232136249542,0.004788840655237436,0.000491428654640913,0.04751548543572426,0.010691367089748383,0.029002565890550613,0.00021952620591036975,0287bcf22aa625db5249f36f74f0bfa4.png
concrete,0.01077212579548359,0.04453282430768013,0.0018947877688333392,0.6926016211509705,0.02029607631266117,0.001261762692593038,0.022337397560477257,0.17834633588790894,0.021098542958498,0.006858460139483213,02d6f3fb835a460c07a2b4f22fdc6b63.png
ground,0.020583098754286766,0.010287756100296974,0.010373211465775967,0.19007021188735962,0.009891600348055363,0.0008961299899965525,0.06997321546077728,0.6780579090118408,0.005864772479981184,0.004002151545137167,032683553b7c46241f48ae0339c16af0.png
concrete,0.059047289192676544,0.036278411746025085,0.005762862041592598,0.7373759746551514,0.018800754100084305,0.00013427261728793383,0.03232927247881889,0.09128569811582565,0.01812301017343998,0.0008624510373920202,035e24314457169f3726737eb3b1e9d2.png
concrete,0.04060927778482437,0.06357460469007492,0.0026179556734859943,0.29020389914512634,0.23728390038013458,0.005950531922280788,0.0746222659945488,0.18281541764736176,0.09687980264425278,0.005442360416054726,046394a097ed4135b709ecf045c813e0.png
concrete,0.009765146300196648,0.1398981362581253,0.014694450423121452,0.5495404601097107,0.07755111157894135,0.0018222348298877478,0.05073602497577667,0.12382402271032333,0.023997651413083076,0.00817078072577715,04a12a8efdedab0dcf68e2745f03e0a4.png
concrete,0.01064436137676239,0.046114396303892136,0.0031170928850769997,0.7134049534797668,0.04564126208424568,0.0010990469017997384,0.025229210034012794,0.0892028883099556,0.0631054937839508,0.0024412525817751884,04f7f2554a5435b8d0ec8d923b02e41f.png
concrete,0.054601024836301804,0.008725115098059177,0.003254503244534135,0.767690122127533,0.05749576911330223,0.0006074448465369642,0.015885500237345695,0.07075392454862595,0.020563602447509766,0.0004230327613186091,055d5b2419495c7ebe562aedf253d0c9.png
asphalt,0.5859500765800476,0.01651007868349552,0.0017138589173555374,0.06198301911354065,0.006961388513445854,0.0028679631650447845,0.03207783028483391,0.20687644183635712,0.08322006464004517,0.0018393564969301224,056963eba6a78560c5b8b997c8197bc9.png
ground,0.012696905061602592,0.09358741343021393,0.013150768354535103,0.24743589758872986,0.014300272800028324,0.014788670465350151,0.05873420462012291,0.4438340365886688,0.09221207350492477,0.009259775280952454,059cd8ced9aed76c8fc85a5b6153108c.png
asphalt,0.43062418699264526,0.02518225647509098,0.002689213491976261,0.1823447048664093,0.05584679916501045,0.00019279384287074208,0.07819948345422745,0.04198045656085014,0.18253052234649658,0.0004095537296961993,05a8b60e6d89de9b2269bf7b5f55e224.png
gravel,0.16737864911556244,0.05603039637207985,0.009406454861164093,0.05743115022778511,0.010319448076188564,0.005308578722178936,0.33858588337898254,0.2984603941440582,0.05272320285439491,0.004355870187282562,073422a3d46464e4ff70be0132cf7cf1.png
ground,0.03270893543958664,0.1642627716064453,0.005867538042366505,0.25117623805999756,0.056138813495635986,0.00412029679864645,0.01949964463710785,0.41032904386520386,0.04550623521208763,0.010390412993729115,077f748c3472f9e6b7b1ff1f0f3517d6.png
concrete,0.1301598846912384,0.034460462629795074,0.008561884053051472,0.48403817415237427,0.11091304570436478,0.00010904866940109059,0.03033808059990406,0.03267745301127434,0.16721469163894653,0.001527238986454904,07da819f7d045b515fa8d0d4ac35323d.png
concrete,0.03508259356021881,0.0202455073595047,0.004306457936763763,0.3445507884025574,0.011017668060958385,0.00044641856220550835,0.2910587191581726,0.28363877534866333,0.009203762747347355,0.0004492934385780245,0801abd505a7e82e77eda9be25ee045f.png
concrete,0.01229622308164835,0.013401606120169163,0.0009779727552086115,0.7707287669181824,0.05111401528120041,0.0026570798363536596,0.003948638215661049,0.08683020621538162,0.05720154196023941,0.0008439105586148798,0810289650fc56d695d72878bcf3a1ec.png
ground,0.007662917021661997,0.007542840670794249,0.013624274171888828,0.17912247776985168,0.015708912163972855,0.0059878104366362095,0.05110226944088936,0.7081202864646912,0.0019045714288949966,0.00922374613583088,08f8bf0d95d2a71bff6ccba123f6c009.png
concrete,0.06497091799974442,0.010557688772678375,0.0028458971064537764,0.8057252764701843,0.06752852350473404,3.0874540243530646e-05,0.005144679918885231,0.02087089791893959,0.021697457879781723,0.0006278133951127529,0950fb7b0629c9d1eb0d63e5099b6d28.png
ground,0.007784020155668259,0.12444019317626953,0.005762848071753979,0.14420083165168762,0.006441884208470583,0.003184535773470998,0.019826944917440414,0.6329559087753296,0.03793156147003174,0.01747122034430504,09f316c8bb9b947a5fd6f6741472f392.png
ground,0.025055723264813423,0.0027361668180674314,0.09774366021156311,0.015657832846045494,0.0063841077499091625,0.00011988229380222037,0.0014557361137121916,0.8386015892028809,0.004358347970992327,0.007886930368840694,0a47a8ffd999f64673b4410831004275.png
ground,0.03125607967376709,0.06488867104053497,0.011347927153110504,0.2803708016872406,0.015654433518648148,0.0007512845913879573,0.08819987624883652,0.445406973361969,0.053341977298259735,0.008781970478594303,0a59165e25088225ef93825b86d7d2ac.png
ground,0.035837817937135696,0.035985834896564484,0.002288820454850793,0.01799634099006653,0.0013980423100292683,0.0006490503437817097,0.24548272788524628,0.6490879058837891,0.009577000513672829,0.0016965295653790236,0a672552d972e48baf4a3ec92197b668.png
concrete,0.2745729386806488,0.006564232055097818,0.0020538100507110357,0.5347743034362793,0.06340952217578888,0.00036369572626426816,0.049061741679906845,0.04410802945494652,0.02460198849439621,0.0004897431936115026,0b40a82acad5e7467c3849cf798dd926.png
ground,0.013415529392659664,0.017501873895525932,0.006530062761157751,0.41603630781173706,0.010012309066951275,0.00834800023585558,0.011162905022501945,0.4983179271221161,0.014110815711319447,0.004564330447465181,0beaa1b9296019f25ae724e82b81475a.png
