prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
concrete,0.010922703891992569,0.0003294497437309474,0.00400978559628129,0.9624490737915039,0.0049303146079182625,8.165503822965547e-05,0.004360076040029526,0.012201529927551746,0.0003371569328010082,0.0003782956628128886,00098db7c6cd6ee36d590ff0d5db7ad1.png
asphalt,0.3257235288619995,0.09167707711458206,0.001346602221019566,0.30841824412345886,0.012620811350643635,0.02362857200205326,0.10676472634077072,0.07761027663946152,0.03288119286298752,0.019328972324728966,00ad041874ffec503fbf2df5ddbd656c.png
concrete,0.19630596041679382,0.11348018795251846,0.0013900580815970898,0.5672635436058044,0.0005146164330653846,0.012367495335638523,0.09569195657968521,0.006740064360201359,0.00030701261130161583,0.005939152557402849,00b7ac2c7630f1ff704813baa5c1950a.png
asphalt,0.7254791855812073,0.006006425712257624,0.0006536745349876583,0.11596524715423584,0.0009284352418035269,0.026570428162813187,0.09276892244815826,0.02518162690103054,0.0003589719708543271,0.006086995825171471,0208131207b3a001ce1973ed488a88a0.png
asphalt,0.6620666980743408,0.004152517765760422,0.00026975618675351143,0.14751417934894562,0.0003153336583636701,0.025300318375229836,0.11171545088291168,0.015957746654748917,0.00014816533075645566,0.03255994990468025,02e3d64a8df0a933bc130e7d4ac94ba1.png
concrete,0.07626228779554367,0.0005412609316408634,0.0013983813114464283,0.8206540942192078,0.0013676511589437723,0.009606494568288326,0.03796008601784706,0.04404320940375328,6.048688373994082e-05,0.008106098510324955,0464811c6cc08bdd3a27d59cadc8f2d2.png
concrete,0.10878778994083405,0.004626120440661907,0.0003514293930493295,0.7386776208877563,0.0035940823145210743,0.002171770203858614,0.0649118572473526,0.05582447350025177,0.00025032501434907317,0.020804455503821373,050aa21296f11cf2f35e4be9fc40e20c.png
concrete,0.07257135957479477,0.005920907482504845,0.00027873474755324423,0.6823514103889465,0.0009918109280988574,0.0064448099583387375,0.03723517805337906,0.053550995886325836,0.00017303535423707217,0.14048175513744354,050c5a6afbe44eba1daa5057f89d1eca.png
asphalt,0.4790482521057129,0.0047408659011125565,0.0011250840034335852,0.28692927956581116,0.0009393044165335596,0.02545146457850933,0.07770231366157532,0.09294677525758743,0.0012842344585806131,0.029832379892468452,05e3c09edc9d4e9462e6a5828ae6fec7.png
concrete,0.10784304141998291,0.25744879245758057,0.005345441866666079,0.5416138172149658,0.002265104092657566,0.0015766534488648176,0.035755887627601624,0.034242767840623856,0.009699600748717785,0.004208878148347139,060a8c0d38229d499db82a2a811671b1.png
