prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
concrete,0.00417327880859375,0.0218658447265625,0.0005826950073242188,0.78271484375,0.034393310546875,0.01245880126953125,0.04852294921875,0.050048828125,0.04486083984375,0.00023174285888671875,00098db7c6cd6ee36d590ff0d5db7ad1.png
cobblestone,0.031280517578125,0.274658203125,0.01151275634765625,0.07330322265625,0.01169586181640625,0.1328125,0.25390625,0.0227203369140625,0.05535888671875,0.1328125,00ad041874ffec503fbf2df5ddbd656c.png
sett,0.004352569580078125,0.2017822265625,0.01507568359375,0.00701141357421875,0.001190185546875,0.09234619140625,0.0670166015625,0.01300048828125,0.00533294677734375,0.5927734375,00b7ac2c7630f1ff704813baa5c1950a.png
gravel,0.03070068359375,0.179443359375,0.01068878173828125,0.08477783203125,0.005130767822265625,0.1658935546875,0.324951171875,0.0226287841796875,0.01496124267578125,0.160888671875,0208131207b3a001ce1973ed488a88a0.png
gravel,0.0249786376953125,0.20263671875,0.01134490966796875,0.04486083984375,0.002674102783203125,0.1788330078125,0.248291015625,0.0257720947265625,0.0160064697265625,0.2445068359375,02e3d64a8df0a933bc130e7d4ac94ba1.png
gravel,0.031585693359375,0.11285400390625,0.01152801513671875,0.07940673828125,0.00749969482421875,0.214111328125,0.302001953125,0.177490234375,0.01108551025390625,0.052459716796875,0464811c6cc08bdd3a27d59cadc8f2d2.png
gravel,0.019317626953125,0.2333984375,0.0238494873046875,0.11285400390625,0.00897979736328125,0.143798828125,0.24462890625,0.031585693359375,0.0259857177734375,0.155517578125,050aa21296f11cf2f35e4be9fc40e20c.png
gravel,0.0270538330078125,0.1385498046875,0.0277099609375,0.1451416015625,0.00695037841796875,0.1806640625,0.307373046875,0.09747314453125,0.0166778564453125,0.052581787109375,050c5a6afbe44eba1daa5057f89d1eca.png
gravel,0.04437255859375,0.1824951171875,0.01148223876953125,0.185302734375,0.01374053955078125,0.11962890625,0.2342529296875,0.07147216796875,0.07666015625,0.060638427734375,05e3c09edc9d4e9462e6a5828ae6fec7.png
concrete,0.0177459716796875,0.2197265625,0.0028095245361328125,0.5185546875,0.00980377197265625,0.0161590576171875,0.1510009765625,0.0283660888671875,0.034210205078125,0.00145721435546875,060a8c0d38229d499db82a2a811671b1.png
gravel,0.03887939453125,0.1444091796875,0.003116607666015625,0.2308349609375,0.0185089111328125,0.1090087890625,0.411376953125,0.0258941650390625,0.004940032958984375,0.01302337646484375,065ca882e799dbd9c2629aa58ea3d9f3.png
paving_stones,0.005767822265625,0.07958984375,0.09454345703125,0.197021484375,0.07244873046875,0.061981201171875,0.032928466796875,0.2000732421875,0.2130126953125,0.0426025390625,0732eaf924921c8443e2f12975b6f193.png
cobblestone,0.0904541015625,0.278564453125,0.0247344970703125,0.1514892578125,0.0201873779296875,0.00902557373046875,0.040130615234375,0.131591796875,0.2459716796875,0.007720947265625,0748d336a1af0e1f0009d232756599c5.png
concrete,0.0282440185546875,0.0511474609375,0.002094268798828125,0.5087890625,0.018524169921875,0.06671142578125,0.10015869140625,0.1326904296875,0.08978271484375,0.0019683837890625,07c581260de5113ab5fc554128f94326.png
