prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
concrete,0.005466461181640625,0.0100555419921875,0.0020122528076171875,0.662109375,0.091064453125,0.0002853870391845703,0.01194000244140625,0.03564453125,0.1810302734375,0.00016260147094726562,00098db7c6cd6ee36d590ff0d5db7ad1.png
concrete_plates,0.053375244140625,0.040924072265625,0.0369873046875,0.057281494140625,0.2337646484375,0.09295654296875,0.03814697265625,0.2230224609375,0.14404296875,0.07952880859375,00ad041874ffec503fbf2df5ddbd656c.png
ground,0.048004150390625,0.06927490234375,0.053131103515625,0.058807373046875,0.12548828125,0.1854248046875,0.052734375,0.2037353515625,0.037109375,0.166259765625,00b7ac2c7630f1ff704813baa5c1950a.png
sett,0.047454833984375,0.052947998046875,0.097412109375,0.03338623046875,0.1473388671875,0.1202392578125,0.05419921875,0.1644287109375,0.11297607421875,0.1695556640625,0208131207b3a001ce1973ed488a88a0.png
ground,0.07733154296875,0.11077880859375,0.0216522216796875,0.112548828125,0.171630859375,0.0849609375,0.10089111328125,0.2037353515625,0.0810546875,0.035400390625,02e3d64a8df0a933bc130e7d4ac94ba1.png
concrete_plates,0.033660888671875,0.0250244140625,0.056396484375,0.07708740234375,0.300048828125,0.06292724609375,0.061920166015625,0.1439208984375,0.1138916015625,0.1251220703125,0464811c6cc08bdd3a27d59cadc8f2d2.png
concrete,0.038970947265625,0.0673828125,0.02679443359375,0.3115234375,0.08514404296875,0.1318359375,0.05853271484375,0.2010498046875,0.023834228515625,0.054962158203125,050aa21296f11cf2f35e4be9fc40e20c.png
concrete,0.037933349609375,0.042999267578125,0.01053619384765625,0.29833984375,0.2083740234375,0.0309600830078125,0.06158447265625,0.186767578125,0.11328125,0.0091552734375,050c5a6afbe44eba1daa5057f89d1eca.png
ground,0.056243896484375,0.11907958984375,0.043121337890625,0.061767578125,0.033050537109375,0.1370849609375,0.12091064453125,0.268310546875,0.061767578125,0.09869384765625,05e3c09edc9d4e9462e6a5828ae6fec7.png
concrete,0.0104522705078125,0.156005859375,0.006542205810546875,0.305419921875,0.216552734375,0.01061248779296875,0.036468505859375,0.07257080078125,0.1795654296875,0.005771636962890625,060a8c0d38229d499db82a2a811671b1.png
ground,0.1341552734375,0.07769775390625,0.01068115234375,0.1834716796875,0.054229736328125,0.10455322265625,0.159423828125,0.23193359375,0.01873779296875,0.0252227783203125,065ca882e799dbd9c2629aa58ea3d9f3.png
concrete,0.005718231201171875,0.01629638671875,0.013092041015625,0.5068359375,0.2509765625,0.008453369140625,0.01416015625,0.0982666015625,0.08538818359375,0.0007739067077636719,0732eaf924921c8443e2f12975b6f193.png
concrete,0.0033817291259765625,0.040557861328125,0.00738525390625,0.57763671875,0.10516357421875,0.001781463623046875,0.0399169921875,0.08453369140625,0.139404296875,0.00035643577575683594,0748d336a1af0e1f0009d232756599c5.png
ground,0.03302001953125,0.03741455078125,0.001644134521484375,0.1990966796875,0.22216796875,0.0780029296875,0.05035400390625,0.3232421875,0.049560546875,0.00556182861328125,07c581260de5113ab5fc554128f94326.png
concrete,0.00719451904296875,0.028900146484375,0.0035610198974609375,0.392822265625,0.3359375,0.0002073049545288086,0.005779266357421875,0.042724609375,0.1826171875,0.0002040863037109375,087e57fe1d548a55930fec417d5a8130.png
ground,0.036651611328125,0.0263824462890625,0.01503753662109375,0.0247955322265625,0.061370849609375,0.034423828125,0.0328369140625,0.498046875,0.25830078125,0.01227569580078125,091db9dcc9cdd0ef02d5775012679e25.png
gravel,0.09130859375,0.05987548828125,0.036895751953125,0.07000732421875,0.035186767578125,0.0013647079467773438,0.41552734375,0.1458740234375,0.1435546875,0.0003559589385986328,0a4b83d746e32247a5c18f06d98cdc23.png
concrete,0.018096923828125,0.0255279541015625,0.004650115966796875,0.52099609375,0.2137451171875,0.042083740234375,0.044097900390625,0.0919189453125,0.03656005859375,0.0024127960205078125,0c755a17a1c04ae3101235a805bffd97.png
ground,0.02862548828125,0.080322265625,0.01708984375,0.15234375,0.08819580078125,0.08282470703125,0.08154296875,0.322509765625,0.11865234375,0.0277557373046875,0ca1ca6827fce9e2f1e1e25f1271eb34.png
paving_stones,0.0221405029296875,0.1513671875,0.008148193359375,0.0364990234375,0.0102996826171875,0.0092315673828125,0.0413818359375,0.1715087890625,0.544921875,0.00457000732421875,0e96d3d882eaf12f98514a7d4228496d.png
paving_stones,0.016998291015625,0.1358642578125,0.137939453125,0.021484375,0.1468505859375,0.059326171875,0.0221710205078125,0.179931640625,0.2310791015625,0.048431396484375,0efc76c4a7ee27b2d6422b61390e816f.png
sett,0.0362548828125,0.05487060546875,0.1295166015625,0.01971435546875,0.037109375,0.197509765625,0.04205322265625,0.2103271484375,0.037994384765625,0.234619140625,0f0356f0f7b73ae9594098bf55c4cf1d.png
ground,0.026336669921875,0.0303192138671875,0.00708770751953125,0.30615234375,0.129638671875,0.0208282470703125,0.0672607421875,0.3310546875,0.0672607421875,0.01409912109375,0f2c1b7533954f375b2fa30dc3b71df0.png
paving_stones,0.0411376953125,0.038665771484375,0.00917816162109375,0.15283203125,0.15283203125,0.01513671875,0.039886474609375,0.15771484375,0.390380859375,0.002048492431640625,10079f377b0045755565868e8303c096.png
concrete_plates,0.03436279296875,0.034912109375,0.013671875,0.171875,0.40576171875,0.01410675048828125,0.1446533203125,0.07049560546875,0.10260009765625,0.007549285888671875,1020b43244e0df1c1c6c6124bef21210.png
ground,0.01273345947265625,0.0296173095703125,0.00760650634765625,0.060760498046875,0.11004638671875,0.1842041015625,0.044464111328125,0.40234375,0.12469482421875,0.0234222412109375,1102c1d861338f11aed93c2d547a331d.png
paving_stones,0.0196075439453125,0.034942626953125,0.016510009765625,0.03607177734375,0.09210205078125,0.0097808837890625,0.016510009765625,0.05413818359375,0.712890625,0.00732421875,11f6e33bb4b6fbdcb0ec62ba0cffbffa.png
concrete,0.0146026611328125,0.09228515625,0.007114410400390625,0.359375,0.07415771484375,0.06439208984375,0.0435791015625,0.23193359375,0.10784912109375,0.00473785400390625,126cfc73450c9d075502922c4353078b.png
ground,0.03515625,0.04766845703125,0.06414794921875,0.040771484375,0.1217041015625,0.20068359375,0.06512451171875,0.203857421875,0.057037353515625,0.163818359375,12f90e8662d39d91bf615bb3221d09a8.png
ground,0.05419921875,0.0509033203125,0.0178680419921875,0.0740966796875,0.0614013671875,0.1094970703125,0.052520751953125,0.453857421875,0.0740966796875,0.05169677734375,13eead2dbefd9ce5260be0e67c16b24d.png
ground,0.06158447265625,0.07965087890625,0.086181640625,0.0714111328125,0.050262451171875,0.1634521484375,0.07843017578125,0.219970703125,0.032958984375,0.156005859375,13ef2e6261baf2c305c3c7953e7d2028.png
concrete,0.0380859375,0.1268310546875,0.0079803466796875,0.30908203125,0.1085205078125,0.0174407958984375,0.21240234375,0.09722900390625,0.078125,0.0042724609375,1442a682cb7c1f10dcab9e4e99efa9e1.png
ground,0.014190673828125,0.0391845703125,0.0027942657470703125,0.239990234375,0.2020263671875,0.02777099609375,0.051910400390625,0.303466796875,0.116943359375,0.0018320083618164062,145462aee7e98e2e867e3cd1d503201c.png
