prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
concrete,0.00405274098739028,0.0026324547361582518,0.0017833649180829525,0.8883214592933655,0.02515196055173874,0.00017076724907383323,0.004163569770753384,0.07050127536058426,0.0025905747897922993,0.0006318518426269293,00098db7c6cd6ee36d590ff0d5db7ad1.png
paving_stones,0.029301434755325317,0.30359020829200745,0.028272267431020737,0.08891712874174118,0.04488978162407875,0.0005437007057480514,0.012064742855727673,0.0671791359782219,0.42468562722206116,0.0005560466670431197,00ad041874ffec503fbf2df5ddbd656c.png
cobblestone,0.030201377347111702,0.5567747354507446,0.019832253456115723,0.14721383154392242,0.004496836569160223,0.009984854608774185,0.08844272792339325,0.07178010046482086,0.060219649225473404,0.011053637601435184,00b7ac2c7630f1ff704813baa5c1950a.png
concrete,0.187683567404747,0.08198457956314087,0.005370994098484516,0.42583391070365906,0.014935743063688278,0.002993953414261341,0.06646574288606644,0.16734810173511505,0.044711675494909286,0.002671752357855439,0208131207b3a001ce1973ed488a88a0.png
concrete,0.013240581378340721,0.03997161611914635,0.004563511349260807,0.865500271320343,0.008020554669201374,0.0008264597854577005,0.01887139119207859,0.03978686034679413,0.006825332995504141,0.002393377711996436,02e3d64a8df0a933bc130e7d4ac94ba1.png
compacted,0.009293163195252419,0.22614631056785583,0.3029998242855072,0.0708753690123558,0.004161903169006109,0.015791840851306915,0.026224786415696144,0.29314669966697693,0.019773827865719795,0.031586285680532455,0464811c6cc08bdd3a27d59cadc8f2d2.png
concrete,0.06464211642742157,0.02108168415725231,0.029131287708878517,0.36787015199661255,0.11491371691226959,0.029980551451444626,0.022204099223017693,0.3171235918998718,0.018995793536305428,0.014056962914764881,050aa21296f11cf2f35e4be9fc40e20c.png
concrete,0.006054044235497713,0.01383250579237938,0.007123814430087805,0.8664090633392334,0.044072285294532776,0.0034962783101946115,0.003226096276193857,0.023351876065135002,0.011576157063245773,0.020857878029346466,050c5a6afbe44eba1daa5057f89d1eca.png
ground,0.054659269750118256,0.050727058202028275,0.015384837053716183,0.17489832639694214,0.015553396195173264,0.0783824548125267,0.029144829139113426,0.4618533253669739,0.05287198722362518,0.06652454286813736,05e3c09edc9d4e9462e6a5828ae6fec7.png
cobblestone,0.0051628826186060905,0.7006282210350037,0.0033911748323589563,0.14401336014270782,0.04240608587861061,3.26866538671311e-05,0.004190474282950163,0.014232192188501358,0.08464784920215607,0.0012951199896633625,060a8c0d38229d499db82a2a811671b1.png
