prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
asphalt,0.7549064755439758,0.046376246958971024,0.001955731539055705,0.16141457855701447,0.0031141345389187336,0.0009968114318326116,0.006989730522036552,0.013208132237195969,0.009280930273234844,0.00175719044636935,000a02ec8efd2faef1315a54af697dcc.png
concrete,0.14190469682216644,0.02066883072257042,0.006589996162801981,0.45490121841430664,0.11750633269548416,0.0933004692196846,0.021044913679361343,0.09951617568731308,0.04219554364681244,0.002371844369918108,003f7e3e1e9fa2174b1d18928f0b62ea.png
concrete,0.016308065503835678,0.05153927952051163,0.007325540296733379,0.5504568815231323,0.08836595714092255,0.08437762409448624,0.024749673902988434,0.15076979994773865,0.02117113210260868,0.004936103709042072,010ade50105b75d2063d936a0d87bb0d.png
paving_stones,0.07492882013320923,0.31916728615760803,0.001399239175952971,0.05129661038517952,0.03357204049825668,0.024697689339518547,0.002078555291518569,0.050451457500457764,0.44019511342048645,0.00221326039172709,016155564233e9b13aaa78a51e82b3e1.png
cobblestone,0.0649913102388382,0.3981564939022064,0.07438481599092484,0.2787288725376129,0.012338495813310146,0.01007753424346447,0.06672264635562897,0.06860785186290741,0.025443585589528084,0.0005482925334945321,02485c4b7c000baf28ac5c5b572bcd0f.png
concrete,0.1032373309135437,0.12428927421569824,0.011604844592511654,0.4419500529766083,0.013653519563376904,0.029380857944488525,0.09513934701681137,0.1580245941877365,0.015955397859215736,0.006764889694750309,027e61f12140dab0f12987e83279b399.png
asphalt,0.3300817608833313,0.0509064681828022,0.0016170991584658623,0.11766824126243591,0.09375105053186417,0.058154091238975525,0.028934020549058914,0.09074469655752182,0.0743941143155098,0.15374839305877686,038bfb674a6465fe4e5321f905f858a0.png
paving_stones,0.010430699214339256,0.3631601929664612,0.004221511073410511,0.02759847231209278,0.020904622972011566,0.0005949694896116853,0.007746204733848572,0.01764177717268467,0.5474604368209839,0.00024115908308885992,03efc67b4248cee548fb0e81d377cbf3.png
concrete,0.07383931428194046,0.018454741686582565,0.006649836432188749,0.6273074150085449,0.028498120605945587,0.10261393338441849,0.04331773892045021,0.08526162058115005,0.012142129242420197,0.0019151490414515138,043703bffa6fbe132ffdda3aef779c99.png
cobblestone,0.18633577227592468,0.2682539224624634,0.0035525502171367407,0.17755001783370972,0.004583699628710747,0.03628843277692795,0.18214087188243866,0.10507819056510925,0.0016152289463207126,0.03460131585597992,04a551bf8d610474616d1c150d915e3c.png
concrete_plates,0.03400536999106407,0.02395297773182392,0.009470149874687195,0.0741918683052063,0.32060956954956055,0.15950167179107666,0.008039236068725586,0.051657527685165405,0.3093734383583069,0.009198096580803394,04c0ca5ba7aaf237137cdd4087a64d26.png
ground,0.027194850146770477,0.07470682263374329,0.007974520325660706,0.05321549251675606,0.08786579221487045,0.14027422666549683,0.004154174588620663,0.5394086837768555,0.06104631721973419,0.004159090109169483,04e02c6451eb0db320cb2847f696c3ae.png
ground,0.020171161741018295,0.006298776715993881,0.0028505735099315643,0.3148375153541565,0.10516209155321121,0.10991502553224564,0.014019030146300793,0.38319796323776245,0.03349623829126358,0.01005164161324501,04fa59479f23ec33bb56d7b1576d94e5.png
cobblestone,0.08421488851308823,0.5111655592918396,0.004634703975170851,0.3135403096675873,0.0007401882903650403,0.0055431644432246685,0.05319558084011078,0.024324072524905205,0.0016711991047486663,0.000970357155892998,0635f48ac543cf51ba65812bfca7b172.png
asphalt,0.3266972601413727,0.1262199580669403,0.016845883801579475,0.026575183495879173,0.014935617335140705,0.0026599918492138386,0.02100258134305477,0.3091585636138916,0.15396980941295624,0.0019351353403180838,06b44384ca24e13086f46ecbd39a9c46.png
cobblestone,0.20418745279312134,0.36023104190826416,0.004710641223937273,0.15693026781082153,0.011083660647273064,0.0987868383526802,0.029194425791502,0.08703818172216415,0.04382937029004097,0.004008115269243717,07696d1f8463d5c64cbbeb425e2f5aa9.png
concrete,0.0987057015299797,0.012721526436507702,0.012421950697898865,0.34125199913978577,0.032642073929309845,0.15787753462791443,0.03140570595860481,0.26382285356521606,0.029088441282510757,0.02006223239004612,07c0ce4582ff0fbd86a4e1f6af39072b.png
ground,0.27605244517326355,0.004461972042918205,0.0011021175887435675,0.14860303699970245,0.00013482727808877826,0.09079313278198242,0.10963279008865356,0.364164799451828,9.443499584449455e-05,0.004960459191352129,07e0f07d2129487292357a7b919e84a6.png
concrete,0.044860146939754486,0.011236951686441898,0.0058082775212824345,0.4894014000892639,0.0923861563205719,0.12517479062080383,0.05321607366204262,0.1604011356830597,0.01113246288150549,0.006382601801306009,084a95080de61fc20beca4257fd689fc.png
paving_stones,0.12476838380098343,0.19041825830936432,0.003824107348918915,0.24019022285938263,0.03422512859106064,0.02882055751979351,0.038257140666246414,0.08207333087921143,0.2542931139469147,0.0031297297682613134,087fd07b6be127dda104be2e412455b5.png
cobblestone,0.07683400064706802,0.35134267807006836,0.022969815880060196,0.2874200940132141,0.01368934940546751,0.012176210060715675,0.11054055392742157,0.08598469197750092,0.03688054531812668,0.0021620732732117176,08dd2d9470c51ff325b8d200e5fa1a68.png
concrete,0.03868325427174568,0.10521659255027771,0.0018648705445230007,0.3268149793148041,0.03577165678143501,0.07920743525028229,0.014801503159105778,0.31301942467689514,0.08379802852869034,0.0008222198230214417,0977225aba6a4ed318e6ec0f05d4e265.png
grass,0.022022714838385582,0.012239545583724976,0.008262946270406246,0.010279166512191296,0.003340302500873804,0.41359299421310425,0.12251931428909302,0.3768077492713928,0.010445980355143547,0.020489251241087914,09cfdca6e94b4d27876460d19bae86ce.png
cobblestone,0.22339874505996704,0.535443902015686,0.0017462789546698332,0.0897459089756012,0.010142805986106396,0.0016440922627225518,0.010944962501525879,0.04491446167230606,0.08170678466558456,0.0003120639594271779,0a9feecc128164d37687bedd84a93ce9.png
concrete,0.011621108278632164,0.13605442643165588,0.05408940091729164,0.4343820810317993,0.02935992367565632,0.009710133075714111,0.03076588362455368,0.2359992414712906,0.05149368569254875,0.00652412511408329,0ad57f86bb70b53d93b0c14bcb6bfafa.png
