prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
grass,1.2355384626516752e-07,4.913758857583161e-07,8.010082092368975e-05,4.102268302830225e-09,1.8178577647631755e-06,0.9992638230323792,5.135332799000025e-07,0.000626519788056612,7.937653208500706e-06,1.853397952800151e-05,003a08eff81fe589f95102bf2ce1ecf5.png
grass,5.2315840548544656e-08,7.491636893064424e-07,2.2302454453893006e-05,9.520623178715937e-10,2.993919281379931e-07,0.9995477795600891,1.7818292974425276e-07,0.00039680112968198955,7.97058964963071e-06,2.3739981770631857e-05,006d04cdfa79fac8f108a0a1cd34d0f8.png
grass,1.1346035933001986e-07,1.980659590117284e-06,2.5519919290672988e-05,4.168605016729998e-09,7.59916383685777e-06,0.9992377758026123,7.399074206659861e-07,0.0005772908916696906,8.707567758392543e-06,0.0001404224894940853,019ff91c745f8cbb28143d5fa94c636f.png
grass,4.254875989317952e-07,8.936964377426193e-07,0.0006964654312469065,1.2582110464620655e-08,9.101821888179984e-06,0.9978628754615784,2.505252950868453e-06,0.0013811533572152257,7.128937795641832e-06,3.947675941162743e-05,02253976dfd287ae8bbc339fedb9a6c5.png
grass,2.0352731652795164e-11,4.5859138708692626e-10,3.6608641948987497e-06,3.3002489630007403e-11,8.774990178928022e-10,0.9999957084655762,3.5719514013266007e-09,5.66251060263312e-07,1.5988592672044888e-09,7.141031765911521e-09,0277499e3a9d8c193a50be9eeaa32cd4.png
grass,9.338703534922388e-07,1.0743863185780356e-06,0.0002596614067442715,1.3088910399972065e-08,5.46034527815209e-07,0.9846504926681519,2.23810420720838e-05,0.015053482726216316,2.432400606267038e-06,9.034466529556084e-06,0315c0744aa6146d0b59842544b414b4.png
grass,8.299513751808263e-07,7.410366833937587e-06,3.482723332126625e-05,8.407630502915708e-08,1.1574971949812607e-06,0.9984229803085327,1.0025481060438324e-05,0.001489651040174067,1.4674053090857342e-05,1.8248365449835546e-05,03bab00004bfabe0b9af6abe7185424c.png
grass,8.006981602193264e-07,6.7915402723883744e-06,0.053004927933216095,2.0386455190646302e-08,5.7906683650799096e-05,0.9286615252494812,6.172331723064417e-06,0.017489273101091385,0.00010331639350624755,0.0006692933384329081,03e2583d5887c6a4ad0940643fb8541f.png
grass,7.245354822771333e-07,3.8744865378248505e-06,0.00012453561066649854,3.553913074938464e-08,1.3246706657810137e-05,0.8016597628593445,1.6168809452210553e-05,0.1980624794960022,1.8702454326557927e-05,0.0001004808655125089,058ac66308a8e5349b165bde4b0d30dd.png
grass,2.33181458497711e-06,0.0001154135970864445,0.00013267426402308047,2.3242535007739207e-07,6.873701204312965e-05,0.996591329574585,4.5217395381769165e-05,0.0014257857110351324,0.0002905883884523064,0.0013277268735691905,0677d96cd342524fe231900e03a485a3.png
