prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.02382245473563671,0.0005843309918418527,0.002003756584599614,0.01854756847023964,1.0249177648802288e-05,9.022021004057024e-06,0.9404481053352356,0.014316657558083534,0.00022552729933522642,3.230811489629559e-05,003c7355a7edc60882149ce37065c395.png
gravel,0.00592352170497179,0.0008352639270015061,3.564603321137838e-05,0.00024465436581522226,4.7440661887776514e-07,3.0637722829851555e-06,0.9924962520599365,0.00033432248164899647,0.00011692744737956673,9.884848623187281e-06,005e5e7907d0770d5dcfdadaa05e3036.png
gravel,0.004647142719477415,0.0014105670852586627,0.0017227865755558014,0.0005033178604207933,1.977661668206565e-06,2.2289802927843994e-06,0.9905456304550171,0.0010853010462597013,7.47584635973908e-05,6.310726348601747e-06,0097375306f61f8b499f32d806e5bc49.png
gravel,0.004866074305027723,0.027450652793049812,8.189208165276796e-05,0.0008915386279113591,1.7501199181424454e-05,6.771189873688854e-06,0.9541868567466736,0.010813828557729721,0.0016340831061825156,5.07901786477305e-05,00a1261b81e0fc9cb3b97cb6a4e3e5cf.png
gravel,0.209459125995636,0.006738293915987015,0.0010257473913952708,0.06517443060874939,0.002310667186975479,0.0036931540817022324,0.3594500720500946,0.34832850098609924,0.0023506477009505033,0.0014692984987050295,01057641ffc91f783f90d3bae29f2c05.png
gravel,0.10491228848695755,0.017857955768704414,0.058846645057201385,0.00990712083876133,0.0008209434454329312,0.06588324904441833,0.5466355681419373,0.19140242040157318,0.003159676678478718,0.0005741831846535206,012d13094e508939befb1672435c9806.png
asphalt,0.5509182214736938,0.020811570808291435,0.0008169127977453172,0.040203288197517395,0.00032894397736527026,0.0002949894405901432,0.259115993976593,0.1267729550600052,0.0007034335867501795,3.3634005376370624e-05,01a7c78b5d66723d1a77ed779282d6f4.png
gravel,0.11394103616476059,0.021729690954089165,0.020321166142821312,0.005880189128220081,0.001516513293609023,0.23971252143383026,0.44308727979660034,0.1509174108505249,0.0015208699041977525,0.00137327890843153,01b03341eea95cc4c3b027ba415689ee.png
gravel,0.00019391624664422125,0.00017772910359781235,3.549072516761953e-06,1.131555450228916e-06,7.447462024856577e-08,9.368554856337141e-06,0.9984258413314819,0.0008725337102077901,0.00031552414293400943,2.838679904471064e-07,027c3d94ff4490d464b3498ba3059e31.png
gravel,1.6528099877177738e-05,0.00044304123730398715,1.018196144286776e-06,1.1538075341377407e-05,1.300732410669525e-08,2.1629108232446015e-05,0.9993057250976562,0.00015357305528596044,4.598943269229494e-05,8.718134836271929e-07,027f1b0191dcc09a52ea4cdbc698f7df.png
gravel,0.005679491441696882,0.001001221127808094,0.00018408590403851122,0.018448470160365105,1.1511141565279104e-05,2.821583166223718e-06,0.9702293872833252,0.0033720550127327442,0.001060020411387086,1.0935551472357474e-05,0390659276aeec67499c4edf93f8581b.png
gravel,0.010460902005434036,0.003860245691612363,0.003309901338070631,0.0003152682911604643,2.08916771953227e-05,0.00018795965297613293,0.9232709407806396,0.053182024508714676,0.0008098061080090702,0.004582021851092577,0398f3098c391abe5b1d2b9a60ea9ee9.png
gravel,0.013995994813740253,0.00022446882212534547,0.0005614415858872235,0.0024117487482726574,2.8104127522965427e-06,8.778262417763472e-05,0.9813521504402161,0.0012559664901345968,7.875781011534855e-05,2.893913369916845e-05,04c60846b6cc5eac3a7cad1d50035e3e.png
gravel,0.19069533050060272,0.0008473286288790405,0.000681915960740298,0.02980790100991726,0.00015700932999607176,2.5884177375701256e-05,0.7698211073875427,0.007064240984618664,0.0008879927918314934,1.1369163075869437e-05,054bcacbbed0632339e852315855e0ba.png
