prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.07818603515625,0.12493896484375,0.053741455078125,0.0270233154296875,0.0806884765625,0.00081634521484375,0.3505859375,0.0191650390625,0.2646484375,0.0003402233123779297,003c7355a7edc60882149ce37065c395.png
gravel,0.020904541015625,0.14501953125,0.007221221923828125,0.0009474754333496094,0.0304107666015625,2.2292137145996094e-05,0.4755859375,0.0028285980224609375,0.31689453125,1.5795230865478516e-05,005e5e7907d0770d5dcfdadaa05e3036.png
gravel,0.00739288330078125,0.022064208984375,0.01218414306640625,0.0013256072998046875,0.0638427734375,1.6689300537109375e-05,0.66552734375,0.004924774169921875,0.222900390625,2.2113323211669922e-05,0097375306f61f8b499f32d806e5bc49.png
paving_stones,0.0145416259765625,0.26611328125,0.034881591796875,0.0027751922607421875,0.1009521484375,0.00018310546875,0.0919189453125,0.006256103515625,0.481689453125,0.0007710456848144531,00a1261b81e0fc9cb3b97cb6a4e3e5cf.png
concrete_plates,0.03857421875,0.084228515625,0.052703857421875,0.036224365234375,0.4697265625,0.0005674362182617188,0.0309906005859375,0.0103759765625,0.276123046875,0.00039005279541015625,01057641ffc91f783f90d3bae29f2c05.png
gravel,0.04644775390625,0.20166015625,0.11492919921875,0.0103607177734375,0.1571044921875,0.0212554931640625,0.2215576171875,0.08953857421875,0.1343994140625,0.002788543701171875,012d13094e508939befb1672435c9806.png
concrete_plates,0.0792236328125,0.11529541015625,0.06365966796875,0.0273895263671875,0.415283203125,0.00013935565948486328,0.0926513671875,0.01007843017578125,0.1961669921875,0.00010848045349121094,01a7c78b5d66723d1a77ed779282d6f4.png
concrete_plates,0.04986572265625,0.168701171875,0.153564453125,0.00981903076171875,0.26953125,0.01384735107421875,0.135498046875,0.0660400390625,0.13134765625,0.0016031265258789062,01b03341eea95cc4c3b027ba415689ee.png
gravel,0.0004818439483642578,0.0225067138671875,0.0116729736328125,0.0002008676528930664,0.0017900466918945312,6.127357482910156e-05,0.84423828125,0.00443267822265625,0.1142578125,0.00011444091796875,027c3d94ff4490d464b3498ba3059e31.png
gravel,0.00018715858459472656,0.08294677734375,0.00795745849609375,0.0001552104949951172,0.005645751953125,4.589557647705078e-05,0.477294921875,0.00439453125,0.421142578125,0.00011712312698364258,027f1b0191dcc09a52ea4cdbc698f7df.png
