prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.00699615478515625,0.0095672607421875,0.039031982421875,0.09661865234375,0.033905029296875,4.7147274017333984e-05,0.759765625,0.044219970703125,0.00986480712890625,5.245208740234375e-06,003c7355a7edc60882149ce37065c395.png
gravel,0.007175445556640625,0.0003304481506347656,0.0029449462890625,0.0003008842468261719,0.00025725364685058594,9.5367431640625e-07,0.98486328125,0.003498077392578125,0.0003924369812011719,8.940696716308594e-07,005e5e7907d0770d5dcfdadaa05e3036.png
gravel,0.0008940696716308594,0.001922607421875,0.005390167236328125,0.0004935264587402344,5.990266799926758e-05,4.827976226806641e-06,0.98046875,0.0103912353515625,0.0005092620849609375,5.841255187988281e-06,0097375306f61f8b499f32d806e5bc49.png
gravel,0.0160064697265625,0.1383056640625,0.07879638671875,0.0013551712036132812,0.0092620849609375,0.0001251697540283203,0.59130859375,0.028533935546875,0.1361083984375,0.00016701221466064453,00a1261b81e0fc9cb3b97cb6a4e3e5cf.png
paving_stones,0.03192138671875,0.128173828125,0.00274658203125,0.1546630859375,0.036163330078125,0.001857757568359375,0.2432861328125,0.145263671875,0.255126953125,0.0007390975952148438,01057641ffc91f783f90d3bae29f2c05.png
concrete,0.03564453125,0.043670654296875,0.005054473876953125,0.469482421875,0.1365966796875,0.0020427703857421875,0.11505126953125,0.11328125,0.07904052734375,0.00015747547149658203,012d13094e508939befb1672435c9806.png
gravel,0.1287841796875,0.03466796875,0.006931304931640625,0.0245819091796875,0.01611328125,0.00018477439880371094,0.64404296875,0.10675048828125,0.038055419921875,0.0001310110092163086,01a7c78b5d66723d1a77ed779282d6f4.png
concrete,0.04791259765625,0.0587158203125,0.01120758056640625,0.267333984375,0.259033203125,0.011383056640625,0.06756591796875,0.1986083984375,0.0777587890625,0.0005407333374023438,01b03341eea95cc4c3b027ba415689ee.png
gravel,0.0004050731658935547,0.0217742919921875,0.0029010772705078125,0.0002574920654296875,0.0016269683837890625,7.927417755126953e-06,0.88330078125,0.01593017578125,0.07366943359375,1.4960765838623047e-05,027c3d94ff4490d464b3498ba3059e31.png
gravel,0.0006155967712402344,0.021697998046875,0.0012044906616210938,0.00052642822265625,0.00014388561248779297,1.3470649719238281e-05,0.92236328125,0.015869140625,0.0374755859375,2.0384788513183594e-05,027f1b0191dcc09a52ea4cdbc698f7df.png
gravel,0.00025844573974609375,0.005615234375,0.005275726318359375,0.00830078125,0.003917694091796875,1.5497207641601562e-06,0.958984375,0.0026111602783203125,0.01502227783203125,2.3245811462402344e-06,0390659276aeec67499c4edf93f8581b.png
gravel,0.00594329833984375,0.0220947265625,0.0023288726806640625,0.0023288726806640625,0.0002416372299194336,0.0047760009765625,0.88232421875,0.07354736328125,0.006229400634765625,0.00015842914581298828,0398f3098c391abe5b1d2b9a60ea9ee9.png
concrete,0.01485443115234375,0.01462554931640625,0.003528594970703125,0.476806640625,0.164794921875,0.006908416748046875,0.06976318359375,0.1243896484375,0.12054443359375,0.003936767578125,04c60846b6cc5eac3a7cad1d50035e3e.png
