prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.02589711733162403,0.006699610501527786,0.014230102300643921,0.05706869065761566,0.000264259782852605,5.607383718597703e-05,0.8921844363212585,0.0012437066761776805,0.002316222293302417,3.9706257666694e-05,003c7355a7edc60882149ce37065c395.png
gravel,0.0024261334910988808,0.005922404117882252,0.0029728442896157503,0.0026487084105610847,3.981532427133061e-05,1.4503222701023333e-05,0.9836549162864685,0.0013478018809109926,0.0005726272938773036,0.00040033968980424106,005e5e7907d0770d5dcfdadaa05e3036.png
gravel,0.0032473793253302574,0.015407864935696125,0.0030038305558264256,0.00829616840928793,4.195721703581512e-05,5.568264168687165e-05,0.9587191939353943,0.009321238845586777,0.001668871263973415,0.00023786074598319829,0097375306f61f8b499f32d806e5bc49.png
gravel,0.11924547702074051,0.020142335444688797,0.009100186638534069,0.014320836402475834,9.250600851373747e-05,0.00024547992506995797,0.8306884169578552,0.002604677341878414,0.0025698284152895212,0.0009903415339067578,00a1261b81e0fc9cb3b97cb6a4e3e5cf.png
cobblestone,0.19342079758644104,0.36938267946243286,0.004913026932626963,0.27962031960487366,0.003054344793781638,0.01308175828307867,0.08391866832971573,0.01078002154827118,0.041714414954185486,0.00011406174598960206,01057641ffc91f783f90d3bae29f2c05.png
gravel,0.12194736301898956,0.2469732016324997,0.03143282234668732,0.17245915532112122,0.0014563790755346417,0.0033735879696905613,0.3385827839374542,0.07907239347696304,0.004460987169295549,0.00024136205320246518,012d13094e508939befb1672435c9806.png
gravel,0.040714576840400696,0.046411871910095215,0.37442752718925476,0.10367633402347565,0.006497481372207403,0.00044276463449932635,0.3980415463447571,0.0026988836470991373,0.026573950424790382,0.0005150735378265381,01a7c78b5d66723d1a77ed779282d6f4.png
cobblestone,0.055208828300237656,0.557779848575592,0.01835634373128414,0.06532488018274307,0.0008029435994103551,0.004321931395679712,0.21175356209278107,0.07803027331829071,0.007846618071198463,0.000574733130633831,01b03341eea95cc4c3b027ba415689ee.png
gravel,9.774328646017238e-05,0.002329728566110134,0.002505192533135414,0.0003229368303436786,8.476713446725626e-06,2.6431476726429537e-05,0.9926037192344666,0.0010880683548748493,0.00048292457358911633,0.0005347488913685083,027c3d94ff4490d464b3498ba3059e31.png
gravel,5.342692747944966e-05,0.22709108889102936,0.01222644466906786,0.0004253051010891795,0.00010965453111566603,9.179365588352084e-05,0.7502197623252869,0.0015774554340168834,0.0070555368438363075,0.0011495823273435235,027f1b0191dcc09a52ea4cdbc698f7df.png
gravel,0.002660060301423073,0.008773298934102058,0.04058786854147911,0.04709811136126518,0.0015760079259052873,2.0940909962519072e-05,0.8943905830383301,0.0008369859424419701,0.003845801344141364,0.00021041091531515121,0390659276aeec67499c4edf93f8581b.png
ground,0.06617796421051025,0.008886202238500118,0.19321295619010925,0.004527470096945763,0.00020965217845514417,0.0007863498176448047,0.049243438988924026,0.6750416159629822,0.0008824220858514309,0.0010319066932424903,0398f3098c391abe5b1d2b9a60ea9ee9.png
gravel,0.10260965675115585,0.126990407705307,0.02117336541414261,0.09313082695007324,0.0005645955097861588,0.05475933849811554,0.526843249797821,0.06890686601400375,0.004062340594828129,0.0009592967689968646,04c60846b6cc5eac3a7cad1d50035e3e.png
gravel,0.024875188246369362,0.016797766089439392,0.012439913116395473,0.030640684068202972,0.0004913520533591509,1.0564206604612991e-05,0.8930675983428955,0.01929553784430027,0.001639643800444901,0.0007418303284794092,054bcacbbed0632339e852315855e0ba.png
compacted,0.10488933324813843,0.010286682285368443,0.34839293360710144,0.015542116947472095,0.00030891242204234004,9.951231913873926e-05,0.17984479665756226,0.33891546726226807,0.0007962682866491377,0.0009239817154593766,069b405393c814ee312ad9a260275df2.png
cobblestone,0.13601499795913696,0.3828381896018982,0.03904688358306885,0.1211683377623558,0.003319926792755723,0.005484539084136486,0.1079019084572792,0.15071161091327667,0.048503328114748,0.0050103017129004,06c753ed07d2cf0224f0d72af2eb13b1.png
