prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.024295076727867126,0.012477179989218712,0.00596539257094264,0.02136126160621643,0.0001926155382534489,8.923047062125988e-06,0.9170916676521301,0.0039999820291996,0.014469393528997898,0.00013859494356438518,003c7355a7edc60882149ce37065c395.png
gravel,0.046548571437597275,0.0036379494704306126,0.001116428175009787,0.0005798108759336174,7.877701136749238e-06,6.734428552590543e-06,0.9339300394058228,0.008905802853405476,0.005204576533287764,6.218313501449302e-05,005e5e7907d0770d5dcfdadaa05e3036.png
gravel,0.040883343666791916,0.004761210642755032,0.004034525714814663,0.0038058997597545385,5.19957075084676e-06,8.482105840812437e-06,0.8870604634284973,0.056655772030353546,0.002450421452522278,0.00033466072636656463,0097375306f61f8b499f32d806e5bc49.png
gravel,0.06513763219118118,0.15517300367355347,0.009297220967710018,0.0002791040751617402,8.045873983064666e-05,8.154815077432431e-06,0.7279741168022156,0.013312269933521748,0.028464339673519135,0.0002736644819378853,00a1261b81e0fc9cb3b97cb6a4e3e5cf.png
asphalt,0.39866846799850464,0.12975966930389404,0.012451780028641224,0.10803782194852829,0.013523602858185768,0.0017669610679149628,0.119617760181427,0.1473781317472458,0.06676691770553589,0.0020289202220737934,01057641ffc91f783f90d3bae29f2c05.png
asphalt,0.3832706809043884,0.024286717176437378,0.02459944784641266,0.035383906215429306,0.0028765194583684206,0.028727814555168152,0.14267630875110626,0.34469714760780334,0.008759199641644955,0.004722242709249258,012d13094e508939befb1672435c9806.png
asphalt,0.697902262210846,0.06069644168019295,0.008380459621548653,0.005693467333912849,0.0007905293605290353,7.190877659013495e-05,0.14901655912399292,0.009364711120724678,0.06773554533720016,0.0003481178137008101,01a7c78b5d66723d1a77ed779282d6f4.png
ground,0.13903649151325226,0.033242590725421906,0.042193565517663956,0.014710038900375366,0.0016656077932566404,0.17308849096298218,0.10329891741275787,0.46694067120552063,0.009117908775806427,0.016705719754099846,01b03341eea95cc4c3b027ba415689ee.png
gravel,6.85738050378859e-05,0.010105646215379238,0.006958683021366596,9.354510439152364e-06,2.4716061375329446e-07,2.4342914457520237e-06,0.9534069299697876,0.022538738325238228,0.006662806961685419,0.00024660700000822544,027c3d94ff4490d464b3498ba3059e31.png
gravel,0.00010653654317138717,0.033550798892974854,0.0038121419493108988,9.654045425122604e-05,3.8861503526277374e-07,1.9279366824775934e-05,0.934212327003479,0.016032030805945396,0.011735215783119202,0.00043467595241963863,027f1b0191dcc09a52ea4cdbc698f7df.png
gravel,0.0027824861463159323,0.006670822389423847,0.15975338220596313,0.05985063686966896,0.000791769998613745,8.179576411748712e-07,0.7500286102294922,0.012821830809116364,0.004648695699870586,0.002650932874530554,0390659276aeec67499c4edf93f8581b.png
gravel,0.16077034175395966,0.052692823112010956,0.03949733451008797,0.003391619771718979,0.0004224585718475282,0.0002624225744511932,0.4232076108455658,0.3001295030117035,0.018579095602035522,0.001046863035298884,0398f3098c391abe5b1d2b9a60ea9ee9.png
gravel,0.24688591063022614,0.014614670537412167,0.01972005143761635,0.005627873353660107,0.00030291653820313513,5.7900204410543665e-05,0.6118730306625366,0.09126898646354675,0.00939737819135189,0.00025127301341854036,04c60846b6cc5eac3a7cad1d50035e3e.png
gravel,0.03679175302386284,0.01073301862925291,0.011993112973868847,0.009419230744242668,0.00041322666220366955,6.59395982438582e-06,0.8793020844459534,0.032573189586400986,0.01849060319364071,0.000277215673122555,054bcacbbed0632339e852315855e0ba.png
gravel,0.296245276927948,0.018166182562708855,0.011527521535754204,0.002916549099609256,0.0001162616754299961,2.0260844394215383e-05,0.5965446829795837,0.0634208396077156,0.010833194479346275,0.0002092684298986569,069b405393c814ee312ad9a260275df2.png
asphalt,0.7125751972198486,0.07658019661903381,0.0060369959101080894,0.0111354636028409,0.000816273270174861,0.0006735889473930001,0.01201142929494381,0.14618214964866638,0.027869513258337975,0.006119247991591692,06c753ed07d2cf0224f0d72af2eb13b1.png
gravel,0.030311094596982002,0.02786445990204811,0.006511233747005463,0.005867360159754753,0.0002584841276984662,0.00043103061034344137,0.8790019154548645,0.02377144619822502,0.025865500792860985,0.00011747702228603885,06e8aab1575b98a69d28e3cac431895e.png
gravel,0.04229821264743805,0.013006140477955341,0.002398183336481452,0.006206465885043144,0.00018881332653108984,2.4258936264232034e-06,0.9257216453552246,0.0027415186632424593,0.007044714409857988,0.00039178135921247303,07cfbed212060d73a5b695d714d4374a.png
gravel,0.28735044598579407,0.002889919327571988,0.0026323855854570866,0.003332944819703698,1.9541288565960713e-05,1.7040989632732817e-06,0.6996243596076965,0.0031796570401638746,0.0008755264570936561,9.344381396658719e-05,07eab6e10b6c90f8d825e29ce616dace.png
gravel,0.07723871618509293,0.016237152740359306,0.003142508678138256,0.03767697885632515,0.00045561109436675906,0.00026037494535557926,0.8413503766059875,0.010827235877513885,0.012566882185637951,0.00024423483409918845,085460ded5b824446ccd069386c200ac.png
gravel,0.017162516713142395,0.15975308418273926,0.11852814257144928,0.005655626300722361,0.0010126740671694279,0.00048467516899108887,0.4931001663208008,0.15330170094966888,0.04597090557217598,0.005030496511608362,08fe098a1365a5a7af62149fef2e5d65.png
gravel,0.004455176182091236,0.16296067833900452,0.01198725588619709,0.004974513314664364,0.002951414091512561,0.001055471831932664,0.6297683119773865,0.06519325822591782,0.11573796719312668,0.0009159365436062217,0a203c608cbdc5b8d07b03b40df17334.png
asphalt,0.930048406124115,0.0017775236628949642,0.0014854853507131338,0.000659552461002022,5.055075598647818e-05,4.5207289076643065e-06,0.0591263510286808,0.003758849576115608,0.002955914242193103,0.00013275085075292736,0cf843a62d27730459d82f51b4a093e3.png
gravel,0.1568632572889328,0.09592444449663162,0.018691064789891243,0.009377507492899895,0.0017142031574621797,0.0003072171821258962,0.4244292378425598,0.21829377114772797,0.07373645156621933,0.0006629016133956611,0dc0591fe56f88c6d0a70b621f367442.png
gravel,0.17197445034980774,0.38343366980552673,0.00620361277833581,0.008291428908705711,0.0002564735186751932,0.00032033887691795826,0.3941327631473541,0.005395335610955954,0.02896864525973797,0.0010233271168544888,0dd8737595964290cbb3f1a4ba401aae.png
gravel,0.0042516859248280525,0.019237177446484566,0.15976989269256592,0.025751713663339615,0.0005293128197081387,1.5053492461447604e-06,0.7469695210456848,0.033433809876441956,0.009262088686227798,0.0007932478911243379,0e8a64bea07c9bca009cec66cf849c6e.png
ground,0.06354040652513504,0.0005326654063537717,0.051066383719444275,0.0014762813225388527,1.1610605724854395e-05,9.226732072420418e-05,0.0823817178606987,0.7997776865959167,0.00031633145408704877,0.0008046897128224373,0ef465cc8db7a2bfd408a0203e368294.png
gravel,0.009352107532322407,0.0021322458051145077,0.008835452608764172,0.0017123471479862928,4.961550439475104e-05,2.325868626940064e-05,0.930219829082489,0.04499104991555214,0.00243173586204648,0.0002522977301850915,0f782358ecc8c1056796b108fd695436.png
asphalt,0.6749165058135986,0.0029360807966440916,0.0018014024244621396,0.0012681994121521711,1.2990354662179016e-05,1.7083665397876757e-06,0.31376418471336365,0.0040442440658807755,0.0011608543572947383,9.392026549903676e-05,1033c2accb2c329bd5ccc38f5e8858f1.png
