prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.06340852379798889,0.022115785628557205,0.02992580085992813,0.004334554076194763,7.953589374665171e-06,0.04051486402750015,0.7437940239906311,0.08995853364467621,0.0007006051018834114,0.005239391233772039,00157343508e08f1dbc0efc1f8066f3d.png
ground,0.001454135519452393,0.007144875358790159,0.0012130073737353086,0.00046751691843383014,0.00015635859745088965,0.0028414821717888117,0.0064019132405519485,0.8943589925765991,0.00024138251319527626,0.08572039753198624,00b7d076504ff9e7b7ed395b1ad8da2f.png
compacted,0.0412752591073513,0.01893637329339981,0.55194091796875,0.01232603657990694,0.009390648454427719,0.015191851183772087,0.17687992751598358,0.1523614078760147,0.015261552296578884,0.0064360215328633785,01bcbc02e71f9a7304cb620cf79ef55a.png
ground,0.0064924960024654865,0.012185975909233093,0.011310886591672897,0.004001162480562925,0.0018309572478756309,0.01750708557665348,0.013415212742984295,0.8001283407211304,0.005071158055216074,0.12805680930614471,021daa5595ef368db48128eaaf30edd8.png
cobblestone,0.039379555732011795,0.26808685064315796,0.10056229680776596,0.015567485243082047,0.00651196064427495,0.13077427446842194,0.24796156585216522,0.05551840737462044,0.030406378209590912,0.10523130744695663,02590ad719639fef0fd3cc20ecb25923.png
ground,0.03424806892871857,0.001077235327102244,0.09279913455247879,0.004535883665084839,0.0015720748342573643,0.005861478857696056,0.1614343672990799,0.6842034459114075,0.004711070563644171,0.009557188488543034,028885f44991865d7dbb898ee42483c2.png
asphalt,0.4023266136646271,0.033915359526872635,0.00607063015922904,0.01075067836791277,0.003411920042708516,0.03956223279237747,0.07279939204454422,0.029197409749031067,0.17364688217639923,0.2283189296722412,0326a63717e7737fd0b2d6308100eacf.png
compacted,0.052297841757535934,0.017235081642866135,0.4033888280391693,0.01755216345191002,0.008078597486019135,0.008792413398623466,0.19303782284259796,0.18624702095985413,0.06943843513727188,0.043931812047958374,033a5b2ef630d8a6340bbb7c2381be92.png
gravel,0.04386568069458008,0.006441755685955286,0.0922679528594017,0.0082276975736022,0.005709213204681873,0.0019249649485573173,0.41819918155670166,0.3280930519104004,0.024453796446323395,0.07081665098667145,034901dce762cf22a156abdc91fdb045.png
gravel,0.07589743286371231,0.013728727586567402,0.014761623926460743,0.006573711056262255,0.0006069119554013014,0.21995940804481506,0.4696429371833801,0.15348029136657715,0.002084804931655526,0.04326419159770012,0433fb6b948a23ab2bcd286112ab0680.png
compacted,0.014936225488781929,0.0036575854755938053,0.4805701673030853,0.0013114208122715354,9.040143777383491e-05,0.0055353762581944466,0.022380486130714417,0.4600560963153839,0.003932993393391371,0.007529338356107473,0490c02fd738a310cca39cb054809ae6.png
gravel,0.07376524806022644,0.010362440720200539,0.29953068494796753,0.004668082110583782,0.00042000639950856566,0.0003227728884667158,0.44390869140625,0.1037142425775528,0.04927114024758339,0.014036621898412704,0527e5ca2f32acbc0a5e2e5fcfde1a33.png
ground,0.043906304985284805,0.002887529321014881,0.04648216441273689,0.005442881025373936,0.00012142710329499096,0.005658901762217283,0.3706689178943634,0.511651337146759,0.006336292251944542,0.006844268646091223,052d27f3334478c67110ddc21f94ec09.png
compacted,0.02107849344611168,0.02334538660943508,0.4668004810810089,0.009220076724886894,0.010236340574920177,0.02025970257818699,0.09966318309307098,0.27928104996681213,0.062227893620729446,0.007887432351708412,065cd134e4a79d4d4b4095395ed8fa22.png
gravel,0.05887766554951668,0.004211761523038149,0.041507549583911896,0.001781549653969705,7.594539056299254e-06,0.02029889076948166,0.4694139361381531,0.39751961827278137,0.002395911142230034,0.003985547460615635,065f45cebd5dde4ea355d73335d44c95.png
ground,0.008233371190726757,0.0008323843940161169,0.3029283583164215,0.0043668258003890514,0.0022056589368730783,0.0013193270424380898,0.08055207133293152,0.571784257888794,0.004257832653820515,0.023519916459918022,0695581587fab597015a7697d1287da3.png
compacted,0.07975181192159653,0.0004849510150961578,0.8017982244491577,0.00021160174219403416,3.672040838864632e-05,2.5927656679414213e-05,0.06639256328344345,0.016060780733823776,0.025986017659306526,0.009251437149941921,06beb296ae3abbdd1aa1bcca7fa8df5a.png
ground,0.03968892991542816,0.0429406575858593,0.01855986751616001,0.03595869243144989,0.00019791327940765768,0.024057133123278618,0.2449263632297516,0.4938183128833771,0.01434195414185524,0.08551015704870224,06d0bbf02acb5f52d60d357124311d7e.png
gravel,0.027014251798391342,0.011512402445077896,0.033339448273181915,0.0023325602523982525,9.230968316842336e-06,0.006731539499014616,0.6668239831924438,0.2340245544910431,0.0012994544813409448,0.016912635415792465,06d5c74d505912e3f9e827cced9bda46.png
compacted,0.04469017684459686,0.0027502470184117556,0.5406606793403625,0.00731163052842021,0.007059773895889521,0.00033892664941959083,0.07924722880125046,0.23179930448532104,0.08351518213748932,0.0026268879882991314,073095e7a580213fcf6cf31b1a928551.png
compacted,0.016560116782784462,0.0004266588657628745,0.48450061678886414,0.0018270750297233462,0.00027668068651109934,0.006097613368183374,0.17632734775543213,0.3048442006111145,0.0034131130669265985,0.005726582836359739,0751076c492cb6d0d9cb5261a7e8329a.png
gravel,0.05406699702143669,0.0006322296103462577,0.11005311459302902,0.0007710389909334481,0.0002229100646218285,7.937831105664372e-05,0.6907104849815369,0.10593520104885101,0.0211504977196455,0.01637810282409191,0774c5b3f829bc0b2d6c4bcad61792f0.png
ground,0.02902645245194435,0.013381864875555038,0.2622763216495514,0.010653090663254261,0.0015593080315738916,6.890016084071249e-05,0.31812888383865356,0.35054969787597656,0.013529898598790169,0.000825571536552161,0801811ab2399f7f4013b1cbb6634350.png
compacted,0.037402983754873276,0.00189306924585253,0.8704224824905396,0.00020277839212212712,3.882573946611956e-05,0.00014312268467620015,0.023275837302207947,0.03001289628446102,0.025904931128025055,0.010703060775995255,089380f9bb28eb64676a78fd034fb184.png
compacted,0.08086411654949188,0.008097026497125626,0.5469539165496826,0.012157069519162178,0.001959386747330427,0.001362690469250083,0.07360710948705673,0.25798556208610535,0.006916459649801254,0.010096650570631027,08baec212414b9de65e8b9ad11d19fe1.png
ground,0.14718550443649292,0.013544158078730106,0.0835396870970726,0.007674455177038908,0.012235753238201141,0.0027738153003156185,0.0945899486541748,0.5084230303764343,0.08490251004695892,0.0451311357319355,08c098736d2c13ef8c6bd27a13ff690e.png
compacted,0.027568602934479713,0.01859445497393608,0.4644502103328705,0.014284191653132439,0.009639760479331017,0.012852567248046398,0.08757675439119339,0.2877562344074249,0.06593815982341766,0.011339105665683746,08d706953489b09a352d6e834c10f9be.png
gravel,0.0112149054184556,0.007691142614930868,0.09401486814022064,0.0020079698879271746,0.0006205327226780355,0.0002766632242128253,0.5348477959632874,0.3170524835586548,0.019901646301150322,0.012371976859867573,09264f033355a262ea6c71894fe168a9.png
ground,0.07111119478940964,0.008037257939577103,0.35530176758766174,0.0031770137138664722,0.0006468815845437348,0.0012842173455283046,0.056749749928712845,0.3997783362865448,0.08991046994924545,0.014003051444888115,0940ed079a0b6dc9386c9361c79e434d.png
compacted,0.19220925867557526,0.0015489156357944012,0.5015955567359924,0.0013632680056616664,0.00019183832046110183,0.0004992657923139632,0.13611909747123718,0.12958088517189026,0.028625430539250374,0.008266466669738293,09a8380038b62e0ee05e3e5d9a1bdfdc.png
gravel,0.21442507207393646,0.04821259528398514,0.005573056638240814,0.06489297747612,0.00612237025052309,0.04434425011277199,0.4916634261608124,0.07260242849588394,0.04709377512335777,0.005070030223578215,0a4be5e48e6c5288ba7e6ef14efa5283.png
ground,0.0009074027184396982,0.0001870225532911718,0.0007860407931730151,3.8263711758190766e-05,3.79995390176191e-06,0.0015514069236814976,0.0001247312902705744,0.9856505990028381,6.52028393233195e-05,0.010685501620173454,0b5d3a820b93101f5e20fb44a3827dc4.png
ground,0.28553900122642517,0.005428544711321592,0.050073880702257156,0.000820873596239835,4.257578621036373e-05,0.011618118733167648,0.05414649099111557,0.543856143951416,0.03176146000623703,0.016712931916117668,0c2e7dde3eb61bfd3dbe53b5f32ce90f.png
ground,0.004704092629253864,0.014706859365105629,0.0662943497300148,0.04462982714176178,0.0008103821310214698,0.0002845685521606356,0.039008136838674545,0.8208873271942139,0.0010069607524201274,0.007667573168873787,0d5632e5e2102764ee353bfbca4fb404.png
compacted,0.11626403778791428,0.0340576209127903,0.5444575548171997,0.007983142510056496,0.000784670002758503,0.005166450049728155,0.17197200655937195,0.061393413692712784,0.03114568069577217,0.026775406673550606,0d61acc2a3563130c43f9c3fb932f70c.png
ground,0.010763737373054028,0.01087036170065403,0.03026512823998928,0.004540940746665001,0.0003798382531385869,0.009277540259063244,0.14823439717292786,0.7626528143882751,0.002357004676014185,0.02065824531018734,0dcbde6e8ff8e6e25a510f739b182689.png
gravel,0.06950666010379791,0.1710040420293808,0.11488773673772812,0.27091485261917114,0.005280266050249338,0.013023048639297485,0.3078874349594116,0.038845695555210114,0.00014275751891545951,0.008507524617016315,0e9f17de4105ef9a92cf8cab6f3158e7.png
compacted,0.05192521959543228,0.001687681651674211,0.7020328640937805,0.005900573451071978,0.00017528096213936806,0.0002073437353828922,0.12404338270425797,0.09560496360063553,0.0021909151691943407,0.016231708228588104,0f2d29bed08a645415207e9eeb94c6b7.png
ground,0.03752881661057472,0.013207770884037018,0.16451707482337952,0.028375934809446335,0.007598252035677433,0.023336779326200485,0.05754487216472626,0.5197836756706238,0.07073821127414703,0.07736865431070328,0f836a89f42bc8ac6d0915ade4e95d31.png
ground,0.0027130981907248497,0.0014002749230712652,0.38005712628364563,0.0015666490653529763,0.0017105815932154655,0.0007123424438759685,0.0330626480281353,0.5472592711448669,0.0266238022595644,0.0048941937275230885,0f885ab17089dccc03bf8ae2c111a41f.png
gravel,0.07187172770500183,0.026507092639803886,0.31310540437698364,0.020922809839248657,0.00028814992401748896,0.006666242610663176,0.39834094047546387,0.07404746860265732,0.03733908757567406,0.050911061465740204,0f8bb59bc44e18e811625492c6626596.png
ground,0.0648747980594635,0.035567447543144226,0.008405064232647419,0.007415377534925938,0.0006414998788386583,0.03439643979072571,0.0670197382569313,0.63433438539505,0.005150746554136276,0.14219450950622559,10525d38fe08036b68f416a3fde19a29.png
compacted,0.00947619415819645,0.002988626714795828,0.7559268474578857,0.01634182222187519,2.7327090720064007e-05,0.002460807329043746,0.04144221544265747,0.1670863777399063,0.0001849968684837222,0.004064776003360748,10b52642bd72023785917fdf5d75f5e8.png
compacted,0.08426621556282043,0.0019575355108827353,0.4544731378555298,0.0010227288585156202,0.001228687004186213,0.00018820543482434005,0.13891136646270752,0.22009269893169403,0.09114444255828857,0.0067149801179766655,10eacc39be2c946de38f1502a34ebaa4.png
ground,0.009454439394176006,0.06249839439988136,0.06515759229660034,0.01373546663671732,0.0013925973325967789,0.009945504367351532,0.053846169263124466,0.7533287405967712,0.005433080717921257,0.025208035483956337,10f2fecd9907edf59553d04c191fba1f.png
ground,0.08315400034189224,0.00905600655823946,0.27512025833129883,0.005597790703177452,0.0003977777960244566,0.005560312885791063,0.24868227541446686,0.32987180352211,0.013746951706707478,0.028812773525714874,11493e1d75df69b4ad3a89a2d6c176a1.png
gravel,0.1055835708975792,0.0008980873972177505,0.18406148254871368,0.0006049425574019551,5.918966417084448e-05,3.390261190361343e-05,0.6702426075935364,0.03283202275633812,0.004902584478259087,0.0007815975695848465,115a9bed10a434a02e70c0ad5d7fc7f4.png
gravel,0.1663472205400467,0.018181083723902702,0.012631727382540703,0.004295351915061474,0.0001757503632688895,0.15911276638507843,0.28689202666282654,0.255174845457077,0.013089999556541443,0.08409927040338516,1233b620e48e12fe7fc86b91e873f0e7.png
ground,0.007921386510133743,0.004085770342499018,0.11461280286312103,0.002791264094412327,0.001209157519042492,0.004537137225270271,0.098112091422081,0.7464689612388611,0.016691075637936592,0.0035704351030290127,12bbf0723e4e4a4185b2c8bf3160a98b.png
gravel,0.06604261696338654,0.13465063273906708,0.0367005281150341,0.3332647979259491,0.0009859850397333503,0.019803283736109734,0.3562040627002716,0.03563547506928444,0.0008318233885802329,0.015880731865763664,12f19dd3d126b20e06fc9f2852b3a7b3.png
ground,0.0175683181732893,0.09088809788227081,0.01711597666144371,0.006575403269380331,0.0014428602298721671,0.04217379540205002,0.11777371913194656,0.6261053681373596,0.002892549615353346,0.07746391743421555,12f1bee60d3bd4cdb6cb143fc4f17ae2.png
gravel,0.09386298805475235,0.005788929760456085,0.09106400609016418,0.009743795730173588,2.4307644707732834e-05,0.013509768061339855,0.7473913431167603,0.03173767775297165,0.0008879507076926529,0.005989231169223785,143094163a85d7e8daac7c76762dcde1.png
ground,0.029262809082865715,0.0017191689694300294,0.28087732195854187,0.011141452006995678,0.036866843700408936,0.0006007150514051318,0.007157385814934969,0.5731241106987,0.04606567695736885,0.013184601441025734,1436bbb5f25234a6526d9908ccc21548.png
gravel,0.052569177001714706,0.020792532712221146,0.24644047021865845,0.0065810587257146835,0.0007218369864858687,0.004614201840013266,0.34644344449043274,0.3079616129398346,0.010697119869291782,0.003178558312356472,146ccfeb2465dd6cf576af549f6f862f.png
ground,0.017590515315532684,0.017025265842676163,0.034866075962781906,0.0038647574838250875,0.010075483471155167,0.007939169183373451,0.002403878839686513,0.8106579184532166,0.04370700940489769,0.05186991021037102,149e4203a25667bf25b82d2ba1f7330d.png
gravel,0.16368138790130615,0.038403257727622986,0.08852748572826385,0.011042704805731773,0.0022400240413844585,0.022581879049539566,0.4468729496002197,0.18151776492595673,0.02171785943210125,0.02341471239924431,159800430a7118e9e85416adc9c8313d.png
ground,0.028181929141283035,0.09829896688461304,0.10231109708547592,0.020631635561585426,0.017473412677645683,0.04104249179363251,0.18695183098316193,0.2224465310573578,0.15162593126296997,0.13103622198104858,165dd1681b8cfee769940348ebc2175d.png
concrete,0.03895021602511406,0.19738945364952087,0.07175473868846893,0.34629976749420166,0.004563234280794859,0.013127264566719532,0.2605983018875122,0.05035305395722389,0.0061544086784124374,0.010809567756950855,16eb5bc1e8d39d5b67a72a16a5df5c39.png
compacted,0.01151336170732975,0.005982516799122095,0.5623663067817688,0.0037513114511966705,0.005281123798340559,0.004318836610764265,0.09420984983444214,0.25183796882629395,0.05454902723431587,0.006189658306539059,1714a381623fc6f0e0583905f7103a2d.png
gravel,0.22355014085769653,0.030180219560861588,0.06340374797582626,0.0070743560791015625,0.00026762348716147244,0.12939421832561493,0.45855164527893066,0.04574263095855713,0.006736763287335634,0.035098593682050705,1750ea52f68c3ab1e740faa381c761de.png
gravel,0.09632444381713867,0.19863280653953552,0.06886282563209534,0.040923796594142914,0.002639255952090025,0.020045273005962372,0.5440731048583984,0.012436473742127419,0.006057516671717167,0.010004582814872265,17820f6f99d7bb534a87da53c75001be.png
ground,0.046564966440200806,0.004828099627047777,0.21092425286769867,0.0021004241425544024,0.0011199783766642213,0.0018497329438105226,0.09387633949518204,0.5605422854423523,0.07074516266584396,0.0074488380923867226,17c1dba9d69832f27521e892b08e6e4b.png
gravel,0.08605938404798508,0.040051113814115524,0.2401060163974762,0.009327374398708344,0.003087738761678338,0.04572898894548416,0.2983429431915283,0.2368212640285492,0.021374288946390152,0.019100895151495934,1843cd43fdac71c14a104c7180b5340b.png
