prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
compacted,0.01479339599609375,0.06842041015625,0.381591796875,0.00897216796875,0.1693115234375,0.006988525390625,0.0662841796875,0.070556640625,0.210693359375,0.00257110595703125,00157343508e08f1dbc0efc1f8066f3d.png
ground,0.08795166015625,0.09967041015625,0.1749267578125,0.0244293212890625,0.07525634765625,0.0706787109375,0.1202392578125,0.2110595703125,0.09661865234375,0.039031982421875,00b7d076504ff9e7b7ed395b1ad8da2f.png
ground,0.037353515625,0.06982421875,0.189697265625,0.0133209228515625,0.08416748046875,0.045074462890625,0.1727294921875,0.2083740234375,0.1431884765625,0.036224365234375,01bcbc02e71f9a7304cb620cf79ef55a.png
compacted,0.0390625,0.050140380859375,0.246826171875,0.020904541015625,0.149658203125,0.024444580078125,0.08013916015625,0.246826171875,0.1280517578125,0.01392364501953125,021daa5595ef368db48128eaaf30edd8.png
gravel,0.05047607421875,0.04595947265625,0.1761474609375,0.0217132568359375,0.07342529296875,0.12109375,0.2125244140625,0.12890625,0.07818603515625,0.0914306640625,02590ad719639fef0fd3cc20ecb25923.png
ground,0.04052734375,0.045928955078125,0.22607421875,0.013580322265625,0.06683349609375,0.031585693359375,0.14599609375,0.384521484375,0.023101806640625,0.021697998046875,028885f44991865d7dbb898ee42483c2.png
compacted,0.01776123046875,0.03216552734375,0.269287109375,0.043975830078125,0.260986328125,0.06396484375,0.07476806640625,0.123291015625,0.06396484375,0.0498046875,0326a63717e7737fd0b2d6308100eacf.png
ground,0.046844482421875,0.07257080078125,0.185302734375,0.02752685546875,0.09613037109375,0.056488037109375,0.11236572265625,0.286865234375,0.0931396484375,0.0228271484375,033a5b2ef630d8a6340bbb7c2381be92.png
compacted,0.06256103515625,0.07550048828125,0.225341796875,0.0237579345703125,0.07550048828125,0.05523681640625,0.1649169921875,0.1324462890625,0.1649169921875,0.0196990966796875,034901dce762cf22a156abdc91fdb045.png
compacted,0.048431396484375,0.053192138671875,0.21044921875,0.031280517578125,0.099365234375,0.0933837890625,0.1690673828125,0.14013671875,0.09051513671875,0.06414794921875,0433fb6b948a23ab2bcd286112ab0680.png
gravel,0.1031494140625,0.033477783203125,0.1700439453125,0.0216217041015625,0.15478515625,0.0163116455078125,0.1988525390625,0.164794921875,0.1324462890625,0.0045318603515625,0490c02fd738a310cca39cb054809ae6.png
gravel,0.02520751953125,0.0111846923828125,0.2177734375,0.007450103759765625,0.10614013671875,0.013916015625,0.254638671875,0.224609375,0.13623046875,0.002918243408203125,0527e5ca2f32acbc0a5e2e5fcfde1a33.png
compacted,0.023406982421875,0.118896484375,0.294189453125,0.0188140869140625,0.05615234375,0.06988525390625,0.1729736328125,0.118896484375,0.08172607421875,0.04510498046875,052d27f3334478c67110ddc21f94ec09.png
ground,0.050445556640625,0.07574462890625,0.2059326171875,0.0253753662109375,0.06475830078125,0.045928955078125,0.150634765625,0.2332763671875,0.1173095703125,0.030609130859375,065cd134e4a79d4d4b4095395ed8fa22.png
compacted,0.0194854736328125,0.07952880859375,0.29541015625,0.01258087158203125,0.19677734375,0.007167816162109375,0.08203125,0.06591796875,0.2373046875,0.0038356781005859375,065f45cebd5dde4ea355d73335d44c95.png
gravel,0.019683837890625,0.030487060546875,0.307861328125,0.004123687744140625,0.030487060546875,0.003528594970703125,0.317626953125,0.2474365234375,0.033477783203125,0.005298614501953125,0695581587fab597015a7697d1287da3.png
ground,0.051971435546875,0.031524658203125,0.1600341796875,0.0179595947265625,0.071044921875,0.0123443603515625,0.20556640625,0.396240234375,0.032501220703125,0.02099609375,06beb296ae3abbdd1aa1bcca7fa8df5a.png
compacted,0.0251007080078125,0.0621337890625,0.5537109375,0.00894927978515625,0.048370361328125,0.0499267578125,0.074951171875,0.11248779296875,0.060211181640625,0.0042266845703125,06d0bbf02acb5f52d60d357124311d7e.png
compacted,0.0172576904296875,0.253662109375,0.287353515625,0.01149749755859375,0.0849609375,0.01302337646484375,0.09930419921875,0.0682373046875,0.15869140625,0.006153106689453125,06d5c74d505912e3f9e827cced9bda46.png
compacted,0.0311126708984375,0.022064208984375,0.34521484375,0.0050811767578125,0.041229248046875,0.00739288330078125,0.202880859375,0.3046875,0.026611328125,0.0138092041015625,073095e7a580213fcf6cf31b1a928551.png
ground,0.0269622802734375,0.048828125,0.281005859375,0.005828857421875,0.03802490234375,0.026123046875,0.23291015625,0.289794921875,0.03570556640625,0.01488494873046875,0751076c492cb6d0d9cb5261a7e8329a.png
gravel,0.022796630859375,0.005413055419921875,0.17919921875,0.0006074905395507812,0.024261474609375,0.00383758544921875,0.457763671875,0.2095947265625,0.095947265625,0.000553131103515625,0774c5b3f829bc0b2d6c4bcad61792f0.png
ground,0.052642822265625,0.0193634033203125,0.195556640625,0.021270751953125,0.0272979736328125,0.05963134765625,0.195556640625,0.35400390625,0.0697021484375,0.004894256591796875,0801811ab2399f7f4013b1cbb6634350.png
ground,0.035614013671875,0.04296875,0.1866455078125,0.02093505859375,0.07537841796875,0.08544921875,0.11676025390625,0.3173828125,0.033447265625,0.08544921875,089380f9bb28eb64676a78fd034fb184.png
ground,0.031829833984375,0.031829833984375,0.2210693359375,0.01171112060546875,0.1011962890625,0.014129638671875,0.09503173828125,0.353271484375,0.1259765625,0.014129638671875,08baec212414b9de65e8b9ad11d19fe1.png
ground,0.1055908203125,0.035369873046875,0.14892578125,0.0167083740234375,0.185302734375,0.018341064453125,0.07489013671875,0.2379150390625,0.168701171875,0.00839996337890625,08c098736d2c13ef8c6bd27a13ff690e.png
compacted,0.041534423828125,0.0751953125,0.2315673828125,0.023651123046875,0.0965576171875,0.050079345703125,0.1279296875,0.1748046875,0.12017822265625,0.058563232421875,08d706953489b09a352d6e834c10f9be.png
gravel,0.07220458984375,0.045166015625,0.202392578125,0.012542724609375,0.05279541015625,0.0133514404296875,0.3134765625,0.2088623046875,0.07684326171875,0.0023193359375,09264f033355a262ea6c71894fe168a9.png
ground,0.018829345703125,0.0234375,0.2293701171875,0.0067138671875,0.037445068359375,0.00946807861328125,0.276611328125,0.333740234375,0.04962158203125,0.0146636962890625,0940ed079a0b6dc9386c9361c79e434d.png
ground,0.04827880859375,0.04827880859375,0.18505859375,0.0221099853515625,0.084716796875,0.06201171875,0.173828125,0.2303466796875,0.10882568359375,0.03643798828125,09a8380038b62e0ee05e3e5d9a1bdfdc.png
compacted,0.04168701171875,0.0687255859375,0.1927490234375,0.0203094482421875,0.056976318359375,0.11688232421875,0.1700439453125,0.1810302734375,0.0828857421875,0.0687255859375,0a4be5e48e6c5288ba7e6ef14efa5283.png
compacted,0.1534423828125,0.09600830078125,0.21630859375,0.0207672119140625,0.04534912109375,0.0902099609375,0.07958984375,0.2032470703125,0.06396484375,0.0311737060546875,0b5d3a820b93101f5e20fb44a3827dc4.png
compacted,0.019927978515625,0.059478759765625,0.353271484375,0.0299072265625,0.22802734375,0.0160064697265625,0.054168701171875,0.059478759765625,0.1617431640625,0.0181427001953125,0c2e7dde3eb61bfd3dbe53b5f32ce90f.png
compacted,0.04644775390625,0.162109375,0.284423828125,0.052642822265625,0.09832763671875,0.0106964111328125,0.138671875,0.1571044921875,0.045013427734375,0.00445556640625,0d5632e5e2102764ee353bfbca4fb404.png
ground,0.036895751953125,0.04180908203125,0.1873779296875,0.019744873046875,0.055389404296875,0.1553955078125,0.176025390625,0.193359375,0.036895751953125,0.09722900390625,0d61acc2a3563130c43f9c3fb932f70c.png
paving_stones,0.055694580078125,0.177001953125,0.2496337890625,0.01282501220703125,0.0947265625,0.0093841552734375,0.057464599609375,0.06719970703125,0.274169921875,0.0018472671508789062,0dcbde6e8ff8e6e25a510f739b182689.png
grass,0.035797119140625,0.055450439453125,0.2193603515625,0.0123748779296875,0.043182373046875,0.2335205078125,0.117431640625,0.181884765625,0.0489501953125,0.052093505859375,0e9f17de4105ef9a92cf8cab6f3158e7.png
compacted,0.0489501953125,0.0238494873046875,0.436279296875,0.00994110107421875,0.117431640625,0.003330230712890625,0.045989990234375,0.0914306640625,0.2193603515625,0.0035457611083984375,0f2d29bed08a645415207e9eeb94c6b7.png
ground,0.068603515625,0.05511474609375,0.1864013671875,0.026031494140625,0.106201171875,0.056854248046875,0.08270263671875,0.2548828125,0.12420654296875,0.0390625,0f836a89f42bc8ac6d0915ade4e95d31.png
ground,0.0079193115234375,0.017303466796875,0.297119140625,0.005977630615234375,0.033355712890625,0.0294189453125,0.12005615234375,0.419189453125,0.04022216796875,0.0294189453125,0f885ab17089dccc03bf8ae2c111a41f.png
paving_stones,0.03985595703125,0.056182861328125,0.1575927734375,0.054443359375,0.202392578125,0.024932861328125,0.0986328125,0.11529541015625,0.236572265625,0.0142059326171875,0f8bb59bc44e18e811625492c6626596.png
compacted,0.07647705078125,0.2213134765625,0.31201171875,0.0193328857421875,0.059539794921875,0.0141448974609375,0.059539794921875,0.161865234375,0.0654296875,0.010345458984375,10525d38fe08036b68f416a3fde19a29.png
compacted,0.01837158203125,0.1636962890625,0.245849609375,0.00494384765625,0.197509765625,0.012237548828125,0.087646484375,0.0704345703125,0.197509765625,0.0018186569213867188,10b52642bd72023785917fdf5d75f5e8.png
ground,0.050079345703125,0.0643310546875,0.099609375,0.048553466796875,0.053314208984375,0.09356689453125,0.1981201171875,0.32666015625,0.0229339599609375,0.0428466796875,10eacc39be2c946de38f1502a34ebaa4.png
compacted,0.0372314453125,0.081298828125,0.275146484375,0.0225830078125,0.195068359375,0.0225830078125,0.04779052734375,0.1383056640625,0.172119140625,0.00804901123046875,10f2fecd9907edf59553d04c191fba1f.png
compacted,0.0218353271484375,0.10748291015625,0.3310546875,0.016998291015625,0.129638671875,0.01500701904296875,0.10748291015625,0.1009521484375,0.1563720703125,0.01324462890625,11493e1d75df69b4ad3a89a2d6c176a1.png
gravel,0.031494140625,0.007030487060546875,0.18701171875,0.0046844482421875,0.00902557373046875,0.006011962890625,0.492919921875,0.2255859375,0.03570556640625,0.0005593299865722656,115a9bed10a434a02e70c0ad5d7fc7f4.png
compacted,0.0226898193359375,0.12261962890625,0.267822265625,0.013336181640625,0.07672119140625,0.0677490234375,0.1676025390625,0.1346435546875,0.08697509765625,0.039825439453125,1233b620e48e12fe7fc86b91e873f0e7.png
ground,0.0321044921875,0.0311126708984375,0.260498046875,0.0057525634765625,0.04119873046875,0.026611328125,0.2159423828125,0.344970703125,0.018280029296875,0.0234832763671875,12bbf0723e4e4a4185b2c8bf3160a98b.png
compacted,0.040496826171875,0.052001953125,0.187255859375,0.0261383056640625,0.055328369140625,0.150390625,0.1651611328125,0.150390625,0.06268310546875,0.11004638671875,12f19dd3d126b20e06fc9f2852b3a7b3.png
compacted,0.052093505859375,0.11376953125,0.339599609375,0.01025390625,0.053741455078125,0.01800537109375,0.088623046875,0.2408447265625,0.06903076171875,0.0140228271484375,12f1bee60d3bd4cdb6cb143fc4f17ae2.png
compacted,0.018768310546875,0.11859130859375,0.302734375,0.01605224609375,0.172607421875,0.0248565673828125,0.0867919921875,0.08953857421875,0.1571044921875,0.0128936767578125,143094163a85d7e8daac7c76762dcde1.png
ground,0.09674072265625,0.039093017578125,0.10302734375,0.064453125,0.0665283203125,0.10626220703125,0.1697998046875,0.2548828125,0.023712158203125,0.07537841796875,1436bbb5f25234a6526d9908ccc21548.png
gravel,0.0394287109375,0.052215576171875,0.226806640625,0.0198211669921875,0.07366943359375,0.08880615234375,0.2340087890625,0.11407470703125,0.08612060546875,0.06500244140625,146ccfeb2465dd6cf576af549f6f862f.png
ground,0.038482666015625,0.138671875,0.2215576171875,0.0248565673828125,0.057769775390625,0.0350341796875,0.11138916015625,0.23583984375,0.1046142578125,0.03192138671875,149e4203a25667bf25b82d2ba1f7330d.png
ground,0.043975830078125,0.033203125,0.1685791015625,0.03759765625,0.0821533203125,0.1441650390625,0.1441650390625,0.209716796875,0.06396484375,0.072509765625,159800430a7118e9e85416adc9c8313d.png
