prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
paving_stones,0.0082244873046875,0.03277587890625,0.00047850608825683594,0.0265350341796875,0.0098419189453125,0.00815582275390625,0.08367919921875,0.058441162109375,0.76953125,0.0022296905517578125,00157343508e08f1dbc0efc1f8066f3d.png
grass,0.0753173828125,0.11669921875,0.00899505615234375,0.18359375,0.00928497314453125,0.2357177734375,0.154541015625,0.1864013671875,0.01904296875,0.01035308837890625,00b7d076504ff9e7b7ed395b1ad8da2f.png
gravel,0.02801513671875,0.08905029296875,0.007480621337890625,0.02935791015625,0.006866455078125,0.0849609375,0.72265625,0.025909423828125,0.0030231475830078125,0.0027103424072265625,01bcbc02e71f9a7304cb620cf79ef55a.png
concrete,0.1217041015625,0.08233642578125,0.00592041015625,0.234619140625,0.013031005859375,0.107421875,0.1884765625,0.20068359375,0.040130615234375,0.005649566650390625,021daa5595ef368db48128eaaf30edd8.png
grass,0.0291595458984375,0.244140625,0.0179595947265625,0.0164794921875,0.005523681640625,0.27880859375,0.2275390625,0.06573486328125,0.01197052001953125,0.10260009765625,02590ad719639fef0fd3cc20ecb25923.png
gravel,0.0256500244140625,0.0286102294921875,0.003932952880859375,0.0248565673828125,0.0008244514465332031,0.082763671875,0.671875,0.1522216796875,0.006137847900390625,0.0030384063720703125,028885f44991865d7dbb898ee42483c2.png
gravel,0.0171356201171875,0.1689453125,0.0239715576171875,0.06512451171875,0.008026123046875,0.14013671875,0.272216796875,0.037109375,0.023406982421875,0.2440185546875,0326a63717e7737fd0b2d6308100eacf.png
ground,0.08880615234375,0.04754638671875,0.01416015625,0.08087158203125,0.01012420654296875,0.0347900390625,0.345703125,0.3623046875,0.01351165771484375,0.0019931793212890625,033a5b2ef630d8a6340bbb7c2381be92.png
gravel,0.0198822021484375,0.074462890625,0.013671875,0.2188720703125,0.0230712890625,0.173095703125,0.402587890625,0.05279541015625,0.006458282470703125,0.0150146484375,034901dce762cf22a156abdc91fdb045.png
gravel,0.054168701171875,0.1981201171875,0.0187225341796875,0.022064208984375,0.00823974609375,0.2142333984375,0.331787109375,0.08258056640625,0.0236663818359375,0.04632568359375,0433fb6b948a23ab2bcd286112ab0680.png
concrete,0.047088623046875,0.037841796875,0.001537322998046875,0.44677734375,0.0225982666015625,0.01505279541015625,0.1044921875,0.283935546875,0.039642333984375,0.0009698867797851562,0490c02fd738a310cca39cb054809ae6.png
