prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
ground,1.626082848815713e-05,5.611391316051595e-05,0.00017310860857833177,3.9523933992313687e-07,3.912716692866525e-06,1.5308633010135964e-06,7.323842874029651e-05,0.9978633522987366,2.2203847038326785e-05,0.0017899388913065195,00157343508e08f1dbc0efc1f8066f3d.png
ground,0.0001857106835814193,0.0038582326378673315,0.13688206672668457,3.697031570482068e-05,0.010079694911837578,2.028919152508024e-05,5.509785114554688e-05,0.8280386924743652,0.002635339740663767,0.018207896500825882,00b7d076504ff9e7b7ed395b1ad8da2f.png
ground,0.00027053835219703615,4.078259735251777e-05,0.003389839082956314,0.000561215216293931,0.013590284623205662,8.654952239339764e-07,6.324117293843301e-06,0.9805523753166199,0.000268305535428226,0.001319483038969338,01bcbc02e71f9a7304cb620cf79ef55a.png
ground,4.4006184907630086e-05,7.348377403104678e-05,0.03499138355255127,0.0001363418996334076,0.015963030979037285,2.1552925488776964e-07,9.55313316808315e-06,0.9460300207138062,0.00033544565667398274,0.0024164875503629446,021daa5595ef368db48128eaaf30edd8.png
ground,0.001497869030572474,0.004219592083245516,0.16653205454349518,9.3707290943712e-05,0.023289574310183525,9.90438820736017e-06,2.0375871827127412e-05,0.6848219037055969,0.005345557816326618,0.11416942626237869,02590ad719639fef0fd3cc20ecb25923.png
ground,4.876162165601272e-06,3.629245156844263e-06,0.0051256935112178326,3.1908373330225004e-06,6.630413554375991e-05,8.991984046247126e-09,9.55544692260446e-07,0.9946978092193604,7.914672096376307e-06,8.959816477727145e-05,028885f44991865d7dbb898ee42483c2.png
ground,0.0008388623828068376,0.0019118830095976591,0.0012234674068167806,5.9274807426845655e-05,0.008169851265847683,2.2692371715038462e-07,9.541594408801757e-06,0.6309770941734314,0.01137983612716198,0.3454298675060272,0326a63717e7737fd0b2d6308100eacf.png
ground,4.3443706090329215e-06,2.7070373107562773e-06,0.004236412700265646,2.7799467261502286e-06,0.00014957480016164482,8.111153415590877e-10,2.5255230866605416e-06,0.9954541921615601,1.4008268408360891e-05,0.0001335348788416013,033a5b2ef630d8a6340bbb7c2381be92.png
ground,0.0003946963115595281,2.807169721563696e-06,0.008636962622404099,1.6147921996889636e-05,5.3009145631222054e-05,1.387540748964966e-07,5.1989110943395644e-05,0.9908022880554199,2.0187964764772914e-05,2.1765825295005925e-05,034901dce762cf22a156abdc91fdb045.png
ground,8.812489249976352e-05,2.333979500690475e-05,0.002936453325673938,2.8913440473843366e-05,0.00994308665394783,2.2587234127513511e-07,2.7705659704224672e-06,0.9835319519042969,0.0001931890146806836,0.003251926274970174,0433fb6b948a23ab2bcd286112ab0680.png
ground,9.294399933423847e-05,8.797725968179293e-06,1.0109040886163712e-05,2.8306121748755686e-05,1.5646077144992887e-06,4.189347890815043e-08,2.531363634261652e-06,0.9998461008071899,1.0242996495435364e-06,8.569341844122391e-06,0490c02fd738a310cca39cb054809ae6.png
ground,0.0013029674300923944,2.763308111752849e-05,0.0031275704968720675,0.00013778933498542756,0.0001815557770896703,9.51446477159834e-10,0.00020384423260111362,0.9946027398109436,6.575827865162864e-05,0.00035007408587262034,0527e5ca2f32acbc0a5e2e5fcfde1a33.png
ground,6.88192176312441e-06,1.589812382007949e-05,0.003048031125217676,1.1288562745903619e-05,0.0001690798526396975,8.662654482627374e-10,4.3934760469710454e-06,0.9965243935585022,2.9397986509138718e-05,0.00019053246069233865,052d27f3334478c67110ddc21f94ec09.png
ground,6.985297659412026e-05,1.0460578778292984e-05,0.00334079354070127,6.653072341578081e-05,0.009412799030542374,5.35519518507499e-07,5.051805601397064e-06,0.9865836501121521,0.00014701650070492178,0.0003632265143096447,065cd134e4a79d4d4b4095395ed8fa22.png
ground,2.5336243197671138e-05,7.281877515197266e-06,0.0010299526620656252,2.308541553475152e-07,1.4876294699206483e-05,1.089479839677665e-09,0.00024012968060560524,0.998604953289032,1.7572880096849985e-05,5.9633166529238224e-05,065f45cebd5dde4ea355d73335d44c95.png
ground,9.318094089394435e-05,1.0758697499113623e-05,0.019414300099015236,5.485551446327008e-05,0.00011279454338364303,3.415971061571099e-09,4.431747947819531e-05,0.9801107048988342,3.682768874568865e-05,0.00012233694724272937,0695581587fab597015a7697d1287da3.png
compacted,4.822029495699098e-06,2.6958781745634042e-05,0.7875592708587646,4.700669705925975e-06,8.793368760962039e-05,1.2699794993409341e-08,7.166411523940042e-05,0.21205037832260132,4.643241481971927e-05,0.00014779740013182163,06beb296ae3abbdd1aa1bcca7fa8df5a.png
ground,8.417579920205753e-06,0.0009544346830807626,0.007729073986411095,0.00015888747293502092,0.0034197161439806223,6.493609134849976e-07,1.8286360500496812e-05,0.9742859601974487,0.004295695573091507,0.009128918871283531,06d0bbf02acb5f52d60d357124311d7e.png
ground,3.3344751955155516e-06,8.394228643737733e-06,0.00013584134285338223,9.571135706210043e-08,1.986762526939856e-06,8.279489982498944e-09,3.6551909943227656e-06,0.9995092153549194,1.0018829016189557e-05,0.00032741151517257094,06d5c74d505912e3f9e827cced9bda46.png
ground,0.0011849334696307778,1.2212200090289116e-05,0.1133568212389946,4.389291007100837e-06,0.00019287766190245748,5.846800732456359e-08,7.776317943353206e-05,0.8846734166145325,7.601077959407121e-05,0.0004215327207930386,073095e7a580213fcf6cf31b1a928551.png
ground,2.4465769001835724e-06,2.3274221803148976e-06,0.019961336627602577,5.740366759710014e-07,2.582461092970334e-05,3.6546776716051e-09,2.1548932636505924e-05,0.9799137115478516,1.2990655704925302e-05,5.91778771195095e-05,0751076c492cb6d0d9cb5261a7e8329a.png
ground,0.0005220418097451329,1.898460504889954e-05,0.005240943282842636,1.408103526046034e-05,1.0478916919964831e-05,1.8035800630755716e-09,0.0004424583457875997,0.9936205744743347,2.9201051802374423e-05,0.0001012462453218177,0774c5b3f829bc0b2d6c4bcad61792f0.png
ground,0.000540303997695446,0.0006638049380853772,0.022910643368959427,0.0009352244669571519,0.00024652652791701257,1.9748565449617672e-08,8.765128586674109e-05,0.9728743433952332,0.00013161430251784623,0.0016098840860649943,0801811ab2399f7f4013b1cbb6634350.png
compacted,8.551496080144716e-07,3.1452852908842033e-06,0.9831455945968628,8.761709580085153e-08,4.679202174884267e-05,1.0128940353126836e-08,6.125800609879661e-06,0.01666179858148098,1.940848960657604e-05,0.00011623004684224725,089380f9bb28eb64676a78fd034fb184.png
ground,0.0002086274471366778,1.1282327250228263e-05,0.03210609778761864,8.472994522890076e-05,0.012428843416273594,3.5820164612232475e-07,1.1372007975296583e-05,0.953658938407898,0.0007164750713855028,0.000773368461523205,08baec212414b9de65e8b9ad11d19fe1.png
ground,0.00031080437474884093,0.00011062737030442804,0.023537635803222656,0.013857796788215637,0.31509652733802795,5.427334031082864e-07,5.478813545778394e-05,0.6280850172042847,0.0017542195273563266,0.017192019149661064,08c098736d2c13ef8c6bd27a13ff690e.png
ground,0.00014193920651450753,7.015743449301226e-06,0.002386844251304865,5.88746479479596e-06,0.0013508079573512077,1.690316821623128e-06,5.1615038501040544e-06,0.9954627156257629,0.00016744568711146712,0.0004705249157268554,08d706953489b09a352d6e834c10f9be.png
ground,0.00021004758309572935,5.462305489345454e-05,0.08699899166822433,7.747196832497139e-06,0.0005382990348152816,4.464319469654754e-10,0.0028072234708815813,0.9090990424156189,0.00020925902936141938,7.482224464183673e-05,09264f033355a262ea6c71894fe168a9.png
ground,1.7536032828502357e-05,1.0850607395695988e-05,0.470790296792984,1.6531549817955238e-06,5.028301529819146e-05,2.1206379585692048e-07,0.0002022636472247541,0.5287364721298218,1.327147583651822e-05,0.00017716542060952634,0940ed079a0b6dc9386c9361c79e434d.png
compacted,0.0038895392790436745,2.3013657482806593e-05,0.8694952726364136,9.56199301072047e-07,0.00029784825164824724,1.0656975746314856e-06,0.00011462919792393222,0.12589140236377716,9.104848140850663e-05,0.00019515937310643494,09a8380038b62e0ee05e3e5d9a1bdfdc.png
ground,6.55056574032642e-05,1.3351987945497967e-05,0.0059903813526034355,9.561019396642223e-06,0.00012866476026829332,1.4280229834184865e-06,8.05745366960764e-06,0.9936811923980713,3.733353878487833e-05,6.452084926422685e-05,0a4be5e48e6c5288ba7e6ef14efa5283.png
ground,0.00013147143181413412,0.002173589076846838,0.3694083094596863,6.246809789445251e-06,0.0008033748017624021,2.047702309937449e-06,0.0001838912721723318,0.5986718535423279,0.0014877567300572991,0.027131378650665283,0b5d3a820b93101f5e20fb44a3827dc4.png
ground,0.00027482095174491405,6.035449041519314e-05,0.005852051544934511,1.725208704783654e-07,4.634906508726999e-05,1.2228767332089774e-07,4.839335451833904e-05,0.9901115298271179,0.00018338019435759634,0.003422787878662348,0c2e7dde3eb61bfd3dbe53b5f32ce90f.png
ground,2.6399593480164185e-06,7.848444511182606e-06,0.00020734660211019218,6.443213351303712e-05,5.527739631361328e-06,1.1965764379340271e-08,1.0423988896945957e-05,0.999626636505127,6.654741810052656e-06,6.841804861323908e-05,0d5632e5e2102764ee353bfbca4fb404.png
ground,6.634247256442904e-05,2.6825673558050767e-05,0.3146049976348877,1.14504018711159e-05,8.112371870083734e-05,6.665857910093109e-08,0.00010657492384780198,0.6845285296440125,1.9953693481511436e-05,0.0005542246508412063,0d61acc2a3563130c43f9c3fb932f70c.png
ground,0.00012864886957686394,6.650297564192442e-06,7.909502164693549e-05,5.228906047705095e-06,1.959262135642348e-06,8.07353650600362e-09,4.2494007175264414e-06,0.9996775388717651,2.7227720238443e-06,9.38719604164362e-05,0dcbde6e8ff8e6e25a510f739b182689.png
ground,7.350395753746852e-05,0.0002076116797979921,0.10693667083978653,0.0014931471087038517,0.09951996803283691,9.200410318044305e-07,3.094680869253352e-05,0.782939076423645,0.0003223636595066637,0.008475824259221554,0e9f17de4105ef9a92cf8cab6f3158e7.png
ground,0.00010889433178817853,4.5218985178507864e-06,0.01330631971359253,2.3048040020512417e-05,8.407594577874988e-05,3.013305516219589e-08,5.249630703474395e-05,0.9863901138305664,2.5787287086131983e-05,4.76661216453067e-06,0f2d29bed08a645415207e9eeb94c6b7.png
ground,0.0060613201931118965,0.000101597594039049,0.03245079144835472,0.0002712433342821896,0.07303643971681595,4.574756360398169e-07,4.288376658223569e-06,0.8676803708076477,0.0014121264684945345,0.018981417641043663,0f836a89f42bc8ac6d0915ade4e95d31.png
ground,2.5807157726376317e-05,1.4607740013161674e-05,0.08033663779497147,0.00010662426211638376,0.0034914319403469563,1.221124712458277e-08,0.00010983046377077699,0.9156538248062134,0.00010683109576348215,0.0001543731923447922,0f885ab17089dccc03bf8ae2c111a41f.png
ground,0.0007532835006713867,0.0001144798516179435,0.013654342852532864,0.002202281029894948,0.0027305143885314465,3.020845795731475e-08,1.1550538147275802e-05,0.9780036211013794,0.0002721704659052193,0.002257733838632703,0f8bb59bc44e18e811625492c6626596.png
ground,1.988869917113334e-05,4.886606620857492e-05,0.006983359344303608,5.964223532828328e-07,0.0001008026156341657,1.761232049091177e-08,6.911263881193008e-06,0.9919384121894836,4.653024734579958e-05,0.0008546383469365537,10525d38fe08036b68f416a3fde19a29.png
ground,7.907097824499942e-06,1.7557591490913182e-05,0.00047744353651069105,3.7386976146080997e-06,3.1105462312552845e-06,4.028235522923751e-09,2.49014397013525e-06,0.9994694590568542,5.497482220562233e-07,1.7870654119178653e-05,10b52642bd72023785917fdf5d75f5e8.png
