prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
compacted,0.011687801219522953,0.03254427760839462,0.6885151267051697,0.014821873977780342,0.00019300087296869606,0.07750620692968369,0.07594028860330582,0.08999661356210709,0.003997235558927059,0.00479756947606802,00157343508e08f1dbc0efc1f8066f3d.png
compacted,0.007718020584434271,0.2917601466178894,0.36301931738853455,0.08055684715509415,0.001712436554953456,0.046658873558044434,0.030545992776751518,0.1404910534620285,0.030844464898109436,0.006692817434668541,00b7d076504ff9e7b7ed395b1ad8da2f.png
concrete,0.0031663833651691675,0.06706660985946655,0.2747742831707001,0.32916325330734253,0.013272366486489773,0.008396131917834282,0.005766365677118301,0.26299959421157837,0.03502112254500389,0.0003739048552233726,01bcbc02e71f9a7304cb620cf79ef55a.png
ground,0.0059829894453287125,0.023096153512597084,0.2366180568933487,0.25167742371559143,0.008955352008342743,0.015101565048098564,0.029406847432255745,0.37247514724731445,0.05483657121658325,0.001849921653047204,021daa5595ef368db48128eaaf30edd8.png
compacted,0.007607524283230305,0.08034741133451462,0.44414883852005005,0.1846252828836441,0.00538675719872117,0.07240690290927887,0.009352371096611023,0.18319201469421387,0.012254742905497551,0.0006781097617931664,02590ad719639fef0fd3cc20ecb25923.png
compacted,0.0007797343423590064,0.025485115125775337,0.7398108243942261,0.09497343748807907,0.015358179807662964,0.00041530546150170267,0.0026845401152968407,0.11626394093036652,0.004157221410423517,7.162044494180009e-05,028885f44991865d7dbb898ee42483c2.png
compacted,0.027836844325065613,0.06441996991634369,0.32069697976112366,0.27866169810295105,0.004539077170193195,0.09816186875104904,0.02135154791176319,0.1470334380865097,0.026326142251491547,0.010972423478960991,0326a63717e7737fd0b2d6308100eacf.png
compacted,0.00473327049985528,0.02909737266600132,0.6232679486274719,0.10192614048719406,0.00142668595071882,0.002430200343951583,0.014457125216722488,0.19581271708011627,0.025161296129226685,0.0016872577834874392,033a5b2ef630d8a6340bbb7c2381be92.png
ground,0.009794062003493309,0.052529361099004745,0.2306586354970932,0.11274998635053635,0.004310197196900845,0.007099407725036144,0.015894869342446327,0.5417158007621765,0.024257490411400795,0.0009902751771733165,034901dce762cf22a156abdc91fdb045.png
compacted,0.0282822847366333,0.1013750433921814,0.35189297795295715,0.26606619358062744,0.007321203593164682,0.024804208427667618,0.018268272280693054,0.17368774116039276,0.026346318423748016,0.0019556705374270678,0433fb6b948a23ab2bcd286112ab0680.png
ground,0.025563934817910194,0.01767340488731861,0.21665982902050018,0.23530632257461548,0.002670867834240198,0.008313527330756187,0.04961732402443886,0.4339877963066101,0.00846258457750082,0.0017444188706576824,0490c02fd738a310cca39cb054809ae6.png
ground,0.011363271623849869,0.028197307139635086,0.09568856656551361,0.09031902998685837,0.0015994838904589415,0.0014171514194458723,0.2529103755950928,0.46703270077705383,0.04881913214921951,0.002652950817719102,0527e5ca2f32acbc0a5e2e5fcfde1a33.png
compacted,0.004067422356456518,0.03385380282998085,0.8890758752822876,0.01648545265197754,0.00033057943801395595,0.00416587246581912,0.004818140994757414,0.043976135551929474,0.0028059124015271664,0.0004208164173178375,052d27f3334478c67110ddc21f94ec09.png
compacted,0.002137681469321251,0.05564097315073013,0.5154777765274048,0.21983106434345245,0.007329861633479595,0.0038779808674007654,0.003593160305172205,0.1779804825782776,0.013428284786641598,0.0007027998217381537,065cd134e4a79d4d4b4095395ed8fa22.png
compacted,0.0023863036185503006,0.04303935542702675,0.4603763222694397,0.08930166065692902,0.0009793529752641916,0.011353572830557823,0.06222636252641678,0.30760201811790466,0.021903375163674355,0.0008316668099723756,065f45cebd5dde4ea355d73335d44c95.png
compacted,0.0009625926031731069,0.007624642923474312,0.9287304282188416,0.012433778494596481,0.001140204374678433,0.0001486547407694161,0.00911806058138609,0.03757195919752121,0.0022416345309466124,2.8107682737754658e-05,0695581587fab597015a7697d1287da3.png
ground,0.03059409372508526,0.011191642843186855,0.3587348759174347,0.033113811165094376,0.0007261191494762897,0.0024574650451540947,0.06867199391126633,0.46976885199546814,0.021962247788906097,0.0027788151055574417,06beb296ae3abbdd1aa1bcca7fa8df5a.png
compacted,0.00224149483256042,0.1273064762353897,0.48022517561912537,0.12530003488063812,0.01398078165948391,0.04122191295027733,0.05350178852677345,0.11173201352357864,0.04349996894598007,0.0009904152248054743,06d0bbf02acb5f52d60d357124311d7e.png
grass,0.01575530134141445,0.1532994955778122,0.12686632573604584,0.014292408712208271,0.00016096228500828147,0.32534539699554443,0.06739766895771027,0.25583821535110474,0.020602582022547722,0.020441662520170212,06d5c74d505912e3f9e827cced9bda46.png
ground,0.05445428192615509,0.017179207876324654,0.3622889518737793,0.08914007246494293,0.001859230687841773,0.001187071087770164,0.013157782144844532,0.4385632574558258,0.02189618907868862,0.0002739287447184324,073095e7a580213fcf6cf31b1a928551.png
compacted,0.03038616292178631,0.03330514207482338,0.4773874878883362,0.1156749501824379,0.0012107598595321178,0.03794979304075241,0.0556536465883255,0.20576126873493195,0.018469149246811867,0.024201635271310806,0751076c492cb6d0d9cb5261a7e8329a.png
