prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
cobblestone,0.017014559358358383,0.5578414797782898,0.018925316631793976,0.03212146461009979,8.26944233267568e-05,0.016545061022043228,0.043895334005355835,0.22779865562915802,0.034415747970342636,0.0513596311211586,00157343508e08f1dbc0efc1f8066f3d.png
ground,0.013396396301686764,0.06171287223696709,0.018474971875548363,0.011556425131857395,0.0005733834113925695,0.0035623922012746334,0.0049771773628890514,0.6974666118621826,0.009405509568750858,0.17887431383132935,00b7d076504ff9e7b7ed395b1ad8da2f.png
ground,0.086341992020607,0.0021025841124355793,0.020102713257074356,0.013380632735788822,0.011638275347650051,0.005819650366902351,0.0017540728440508246,0.8169891238212585,0.03444034606218338,0.007430623285472393,01bcbc02e71f9a7304cb620cf79ef55a.png
ground,0.02730342373251915,0.0165401604026556,0.025826681405305862,0.03574065491557121,0.002963706385344267,0.04479672387242317,0.009546536952257156,0.7390773296356201,0.02150695025920868,0.076697938144207,021daa5595ef368db48128eaaf30edd8.png
ground,0.13437947630882263,0.022707831114530563,0.0809282436966896,0.05768322944641113,0.008760829456150532,0.01461803913116455,0.030762014910578728,0.4615730345249176,0.131586953997612,0.05700032785534859,02590ad719639fef0fd3cc20ecb25923.png
ground,0.17531417310237885,0.019702186807990074,0.010708848014473915,0.1055738776922226,0.01778791844844818,0.005487328860908747,0.07346469163894653,0.5361621975898743,0.04550802335143089,0.010290833190083504,028885f44991865d7dbb898ee42483c2.png
cobblestone,0.03772256150841713,0.39865756034851074,0.030621612444519997,0.04061330482363701,0.0013114373432472348,0.0038042382802814245,0.02687433920800686,0.36612749099731445,0.08008158951997757,0.014185815118253231,0326a63717e7737fd0b2d6308100eacf.png
ground,0.030724631622433662,0.017869502305984497,0.010611346922814846,0.005183896981179714,0.0009584829094819725,0.00046531588304787874,0.014017535373568535,0.87385094165802,0.026278719305992126,0.020039688795804977,033a5b2ef630d8a6340bbb7c2381be92.png
asphalt,0.5188258290290833,0.008212873712182045,0.007260169833898544,0.02287578023970127,0.006624785717576742,0.0012595592997968197,0.022386156022548676,0.3755268156528473,0.025968370959162712,0.011059683747589588,034901dce762cf22a156abdc91fdb045.png
ground,0.08746235072612762,0.03401302918791771,0.00635429797694087,0.0654282346367836,0.013355729170143604,0.001393536920659244,0.013949976302683353,0.7308502197265625,0.030205635353922844,0.01698700711131096,0433fb6b948a23ab2bcd286112ab0680.png
ground,0.058113425970077515,0.019607270136475563,0.014158889651298523,0.014509761705994606,0.00026078842347487807,0.000605363748036325,0.00887390412390232,0.877717137336731,0.00476384861394763,0.0013896431773900986,0490c02fd738a310cca39cb054809ae6.png
gravel,0.2926003932952881,0.023561231791973114,0.015256092883646488,0.003371990518644452,0.0010559118818491697,0.00024032809596974403,0.48159363865852356,0.14666081964969635,0.033729057759046555,0.0019305335590615869,0527e5ca2f32acbc0a5e2e5fcfde1a33.png
ground,0.05656743794679642,0.045395124703645706,0.025799093768000603,0.07513447105884552,0.003007061779499054,0.0031474388670176268,0.01618381403386593,0.709355354309082,0.06268459558486938,0.002725622383877635,052d27f3334478c67110ddc21f94ec09.png
