prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
sett,5.5010797950671986e-05,0.04073234647512436,1.0023907634604257e-05,1.596950096427463e-05,5.4896030633244663e-05,5.485235043956038e-10,3.229878757338156e-06,0.0020726765505969524,0.3140393793582916,0.6430163979530334,013c4d1eb8f0e6d09d3506e69c2677c4.png
sett,0.00037244363920763135,0.012580162845551968,3.370726699358784e-05,0.0005301767378114164,0.0013332837261259556,3.419708960450407e-09,5.077652986074099e-06,0.0023834542371332645,0.3714255094528198,0.6113361716270447,0144ebc3606a3de74528b5a0353f8df0.png
paving_stones,0.0002790768339764327,0.007811456453055143,1.1777069630625192e-05,9.8226328191231e-06,0.27578067779541016,1.2726336477697497e-11,1.7369080751450383e-07,2.2248745153774507e-05,0.6544836163520813,0.061601217836141586,01587414f7e8693a05f13f9ba4457798.png
sett,2.4994071168293885e-07,0.007896462455391884,2.0830859284615144e-05,2.4532428142265417e-06,0.0008329178090207279,4.030311917535556e-10,2.586828315997991e-07,0.001040558679960668,0.14106833934783936,0.8491379022598267,01beabd884a7d4d05af069ec25c096bf.png
sett,0.00035248452331870794,0.023624397814273834,4.890305717708543e-06,3.460149673628621e-05,0.0005704923532903194,2.2321531290003804e-09,1.1514949846969103e-06,0.0026118059176951647,0.4657490849494934,0.5070511102676392,0232a3fc9749bf264986c7db2073d1ad.png
paving_stones,6.0341812059050426e-05,0.03329689800739288,6.507549187517725e-06,1.0978432101182989e-06,2.64233003690606e-05,1.0930333721459462e-10,8.557859700886183e-07,0.00024311026209034026,0.6190972328186035,0.3472675085067749,02a52b33878ad11325d5f02e82eea302.png
sett,2.886449237848865e-06,0.0026100275572389364,3.3900519156304654e-06,6.760114388271177e-07,0.0005909288884140551,1.0315981575914623e-11,2.9585903504880662e-08,7.284992898348719e-05,0.41965988278388977,0.5770593285560608,02d52c1394ea304ccd28d85219120140.png
sett,0.00033225619699805975,0.005200851708650589,0.00012355951184872538,0.07312993705272675,0.12194188684225082,1.0762650326512357e-08,2.941962065960979e-06,0.013064620085060596,0.1977289766073227,0.5884750485420227,0326767272fea5fa5a8cd1e746915908.jpg
paving_stones,4.0037286908045644e-07,0.023605328053236008,1.3232191520273773e-07,2.1664344274086034e-07,0.00010333303362131119,2.7412514532615395e-12,5.322522724782175e-07,1.0148462934012059e-05,0.5565794110298157,0.4197005033493042,038552b8bef8f7170072a4d76bbb2b17.png
sett,0.00412233779206872,0.02136652171611786,2.4492968805134296e-05,5.399948713602498e-05,0.016213765367865562,4.976287826252701e-09,2.2132016965770163e-06,0.007907792925834656,0.37752190232276917,0.5727870464324951,03a69e4b089e5655d8cd3c3e5fab8e99.png
sett,0.09984014928340912,0.015078727155923843,1.6815150729598827e-06,1.894188426376786e-05,0.00031077724997885525,3.686859151308397e-10,3.2781917980173603e-06,0.0002714082656893879,0.16375336050987244,0.7207216620445251,047b845a32d4f0776d63ec0c968f2114.png
paving_stones,8.239009912358597e-05,0.006631497293710709,8.987676096694486e-07,0.002449803287163377,0.10766328126192093,7.090104892082394e-11,6.711561013617029e-07,0.0004224514414090663,0.7524159550666809,0.13033297657966614,050984e684db66e2ab8a3ce41939ddf4.png
paving_stones,0.0003713370533660054,0.005226845387369394,7.220961560960859e-05,0.00010432730778120458,0.01853201352059841,2.2926965881353567e-10,1.883357867882296e-06,0.004297411069273949,0.7268053293228149,0.24458864331245422,051dfb4fcd8d614685f9975e6d0d19f7.png
sett,0.00013810333621222526,0.0014531394699588418,8.861400419846177e-05,0.00050096504855901,0.051124587655067444,1.7714814337654872e-10,6.631295832448814e-07,0.001625338802114129,0.45574498176574707,0.48932361602783203,0531970994aa1e3908bfa60a46683b45.png
paving_stones,2.4325332560692914e-05,0.012999291531741619,0.00022745922615285963,5.66690978303086e-05,0.0003783223801292479,4.733672298584679e-08,1.878188186310581e-06,0.02956084907054901,0.48641788959503174,0.4703332781791687,0562b64ffde684b0a8c63ad65d9b8385.png
sett,2.5624449335737154e-05,0.0540713332593441,1.7823895177571103e-06,0.0002310632262378931,0.00491809519007802,8.396053630121969e-09,1.621553565200884e-06,0.0014996513491496444,0.4024002254009247,0.5368506908416748,058a19dfb6a505baad0c4d9eab03bba9.png
paving_stones,3.997602470917627e-05,0.019487842917442322,9.678978130978066e-06,8.574445018894039e-06,4.8670281103113666e-05,7.235115284665028e-10,6.171325821924256e-06,0.0007236945675686002,0.7458270192146301,0.233848437666893,05f1a5ae938b5e4bc8ef40660f574d06.png
sett,0.0005705543444491923,0.02660731039941311,5.599378255283227e-06,9.743004738993477e-06,0.0016983095556497574,8.03024369222527e-10,3.7510938000195893e-06,0.006813982501626015,0.20541027188301086,0.7588805556297302,063991387315c5b28aa146ae25c16653.png
paving_stones,0.00024757019127719104,0.3224793076515198,8.488234470860334e-07,0.0010421762708574533,0.0010717918630689383,4.635936912134042e-10,7.594154158141464e-05,0.0008541207644157112,0.3978367745876312,0.27639147639274597,065979eddffd1b35a258f35c9d442dad.png
paving_stones,1.2631553545361385e-05,0.001967270625755191,1.5668807407109853e-07,1.2465213330870029e-05,0.010432867333292961,3.2010488010270066e-11,1.9812055995771516e-08,6.110227695899084e-05,0.8741220235824585,0.11339148879051208,06bfe4638de5ea4e649dd8c636976f29.png
sett,2.6628704290487804e-06,0.014806188642978668,3.3069804885599297e-06,1.5356427240931225e-07,3.411319630686194e-05,4.341902878901571e-11,2.3344358623944572e-07,0.0003217826597392559,0.11809753626585007,0.8667340278625488,06db9d4f39089caad92e5052baf1e720.png
paving_stones,1.913046435220167e-05,0.018479350954294205,6.678446425212314e-06,0.0068929120898246765,0.025161532685160637,1.6697954130506787e-09,8.891908578334551e-07,0.000762623327318579,0.6125171780586243,0.3361596167087555,073247bdcdd122ab2c1e6ff1299ae990.png
sett,9.081821190193295e-05,0.0998963788151741,7.409422323689796e-06,0.00019342628365848213,0.001355179469101131,1.0893355106844638e-09,1.794093805074226e-05,0.000866081565618515,0.3552052080631256,0.5423675775527954,0752ce207a4f25632eb15b7696f57f64.png
ground,0.0002160656440537423,0.0063271066173911095,0.004318985156714916,0.003876574570313096,0.362029492855072,6.631072756135836e-05,2.725687954807654e-05,0.4232521057128906,0.0726669654250145,0.12721915543079376,078e2e906f0b20212c374c3b2c0e5bf4.png
paving_stones,2.6798899853019975e-05,0.008735859766602516,2.0676998246926814e-06,0.0005001160898245871,0.0022109253332018852,1.2001707183628696e-08,2.71275598606735e-06,0.001468202448450029,0.58851557970047,0.3985377848148346,07978ce69b566ae7d29fa510b121ed33.png
sett,0.0026508430019021034,0.017139246687293053,2.6735669962363318e-06,0.006607099901884794,0.013537252321839333,8.358756464765804e-10,2.415473500150256e-05,0.0026698559522628784,0.34421226382255554,0.6131566762924194,07d27e138f04cfaf9c05574075d6ad94.png
paving_stones,2.9885150070185773e-06,0.009868394583463669,7.711790385656059e-05,0.00017680498422123492,0.007299365010112524,2.634225637621057e-08,2.0485790628299583e-06,0.021669233217835426,0.6125889420509338,0.3483150899410248,0874c6c4ed6ed8bc2e7cf1ba5a566e10.png
paving_stones,1.9181779862265103e-06,0.061304833739995956,1.284548602598079e-06,2.395230512775015e-05,0.006651286967098713,3.4006546467679755e-09,3.7693962440243922e-06,0.0004657349782064557,0.7441072463989258,0.18743988871574402,09586200e2aa739565813692f56f9396.png
sett,6.5582967181399e-06,0.04564191401004791,4.842423368245363e-05,2.9617915060953237e-05,0.0004123792168684304,9.66379087863345e-10,5.630766395370301e-07,0.0017522498965263367,0.34823232889175415,0.603875994682312,0a1c8a4d6869c91b9797ae7993b49754.png
paving_stones,2.6624538804753684e-05,0.012138091959059238,4.447625087777851e-06,1.2489219443523325e-05,0.0005313347792252898,4.386442251091971e-11,3.3157689927065803e-07,0.00020010897424072027,0.6701635718345642,0.3169229328632355,0a4a3ad6c47ddfdf1e6e1c78966d1834.png
concrete_plates,6.992741691647097e-05,0.006093410775065422,0.000622932449914515,0.0014623376773670316,0.5238516330718994,4.133758011448663e-06,0.0006196003523655236,0.10836776345968246,0.01170322671532631,0.3472050428390503,0b2dc731c3300a919048da6d6e59e1f8.png
paving_stones,6.985526852076873e-05,0.002541130408644676,7.039408842501871e-07,1.8785078736982541e-06,0.003866397077217698,3.819505475788354e-12,2.1846619802090572e-07,1.7385134924552403e-05,0.6833085417747498,0.31019383668899536,0c9df97bb21943a0a62d899cb30c9298.png
paving_stones,0.0005606067716144025,0.010708443820476532,0.0002011219330597669,0.00017764326184988022,0.0005380105576477945,6.210044700694084e-10,1.4932762724129134e-06,0.008201980963349342,0.507573127746582,0.47203755378723145,0d78e4d38460a0b54bcd8988dbc2048c.png
paving_stones,7.659180846530944e-05,0.004658345598727465,1.4717222711624345e-06,0.001675087958574295,0.3974183201789856,1.190074011558906e-10,2.4079442937363638e-06,0.00027316331397742033,0.4075767993927002,0.18831777572631836,0d9f99ba69b07379bf06f4cd08b65af3.png
paving_stones,2.170642437704373e-05,0.02656949870288372,3.0033726943656802e-05,0.0011801476357504725,0.0046762097626924515,1.422357925884299e-10,6.5827266553242225e-06,0.0016900195041671395,0.707025945186615,0.25879979133605957,0e4eae3155752d68101acdfe58b5fe01.png
paving_stones,4.366185294202296e-06,0.012343944050371647,1.473166889809363e-06,7.6162227742315736e-06,0.0003165894595440477,1.5435709654898488e-10,6.171944164634624e-07,0.0003581289784051478,0.7307081818580627,0.25625914335250854,0fbecab7358fdc026207812484293815.png
sett,4.2833359970018137e-08,0.014843912795186043,7.227292542211217e-08,2.8448843636397214e-07,6.655196921201423e-05,3.7528465578196e-12,3.537356860761065e-07,5.886892267881194e-06,0.10855010896921158,0.8765328526496887,10daf708b2795c734f978772145e7e07.png
paving_stones,1.9671952031785622e-05,0.005802075378596783,4.6471029691019794e-07,3.2009925234888215e-06,0.0016779759898781776,5.753749213188719e-11,3.890962432251399e-07,5.006220453651622e-05,0.6062787175178528,0.38616737723350525,114d7eb4bf0ad1f3447489ba8bcee2b9.png
