prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
paving_stones,0.022552628070116043,0.23711679875850677,0.013579880818724632,0.012826726771891117,0.0021555577404797077,0.00011066802107961848,0.0017663574544712901,0.02061237394809723,0.6865469217300415,0.0027320878580212593,013c4d1eb8f0e6d09d3506e69c2677c4.png
paving_stones,0.0523575097322464,0.05768538638949394,0.021777847781777382,0.12410106509923935,0.028747638687491417,0.0006740176468156278,0.00240215752273798,0.014623131603002548,0.6966848373413086,0.0009463930618949234,0144ebc3606a3de74528b5a0353f8df0.png
cobblestone,0.08288198709487915,0.42634034156799316,0.31763699650764465,0.02645956724882126,0.004753916524350643,0.001285096979700029,0.0025416072458028793,0.014579162001609802,0.12000002712011337,0.0035213471855968237,01587414f7e8693a05f13f9ba4457798.png
paving_stones,0.007005864288657904,0.416953980922699,0.08767387270927429,0.013361423276364803,0.00843284372240305,0.0012183773797005415,0.005117784254252911,0.015800701454281807,0.4439844787120819,0.00045069516636431217,01beabd884a7d4d05af069ec25c096bf.png
cobblestone,0.06840071827173233,0.43810057640075684,0.07212411612272263,0.02260168455541134,0.009023665450513363,0.00015603602514602244,0.002955354517325759,0.015841150656342506,0.3571988344192505,0.013597937300801277,0232a3fc9749bf264986c7db2073d1ad.png
paving_stones,0.08543086051940918,0.1978302001953125,0.08777464926242828,0.05347880721092224,0.004088462796062231,0.000590138603001833,0.0054253279231488705,0.04097364470362663,0.5232022404670715,0.0012057061539962888,02a52b33878ad11325d5f02e82eea302.png
cobblestone,0.04938509687781334,0.7510315179824829,0.02650509774684906,0.003797315526753664,0.001788143184967339,0.00036026202724315226,0.0048035671934485435,0.004711309913545847,0.15417830646038055,0.003439348191022873,02d52c1394ea304ccd28d85219120140.png
paving_stones,0.026249226182699203,0.056837573647499084,0.07538067549467087,0.3672638237476349,0.03938334062695503,0.0010526985861361027,0.0011092113563790917,0.02834228239953518,0.40089792013168335,0.0034832044038921595,0326767272fea5fa5a8cd1e746915908.jpg
cobblestone,0.002686876803636551,0.810269296169281,0.035600919276475906,0.002525803865864873,0.00026768623501993716,8.084676665021107e-05,0.0028946446254849434,0.0007161673856899142,0.1429750770330429,0.001982671907171607,038552b8bef8f7170072a4d76bbb2b17.png
asphalt,0.568307638168335,0.24774211645126343,0.06272270530462265,0.025190146639943123,0.002392832189798355,0.0009420288261026144,0.004564834292978048,0.045662473887205124,0.042164161801338196,0.00031102594221010804,03a69e4b089e5655d8cd3c3e5fab8e99.png
