prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
cobblestone,0.0010098073398694396,0.9467695355415344,3.691351957968436e-05,0.00013227714225649834,0.00011591282236622646,1.7999950614466798e-06,0.0012172659626230597,0.0014522933633998036,0.04925037920475006,1.3761356058239471e-05,00183be05c57c523304f72cb99409466.png
paving_stones,0.0014013099716976285,0.13284313678741455,0.0004875085433013737,9.553838754072785e-05,0.0010049688862636685,3.820414713118225e-05,0.010828365571796894,0.023632925003767014,0.8294806480407715,0.000187472251127474,0135cb28457e6cacc28f109f816791af.png
cobblestone,0.02409062534570694,0.3332415223121643,0.06044842302799225,0.1464100331068039,0.09428740292787552,0.00107227370608598,0.04995717853307724,0.17861713469028473,0.11120074987411499,0.0006746950093656778,024ab141bc3fd53d26d089a2e8e9b2df.png
cobblestone,0.00971989519894123,0.7587562203407288,0.0013280143029987812,0.0031943076755851507,0.0007387087680399418,0.011884329840540886,0.043533142656087875,0.022890176624059677,0.1464226096868515,0.0015326220309361815,032b20802a2fff0cf2860e7872421b82.png
cobblestone,0.00020205954206176102,0.926386833190918,3.6127363273408264e-05,5.583404708886519e-05,7.066166290314868e-05,2.1081828890601173e-05,0.0012248900020495057,0.0008711587288416922,0.07110901921987534,2.2349991922965273e-05,03b5a2b6fafd824d338d324dbfa57dec.png
cobblestone,0.004600606858730316,0.6541631817817688,0.00027544813929125667,6.438333366531879e-05,8.993396477308124e-05,1.4199688848748337e-05,0.0347098745405674,0.0032913065515458584,0.30268844962120056,0.00010268626647302881,03e13f03ec3fdf8dd50b56bad9ae896e.png
paving_stones,0.0030144336633384228,0.38021543622016907,0.0001515011681476608,0.0009842478903010488,0.0008556286338716745,2.4613766072434373e-05,0.0014721750048920512,0.0021181213669478893,0.6109012961387634,0.0002625415800139308,040ff53544a60899e98accf8baf9b31a.png
paving_stones,0.0015787244774401188,0.374763160943985,1.209954916703282e-05,0.00012801143748220056,1.4300709153758362e-05,4.0372582589043304e-05,0.00030858421814627945,0.0003266418934799731,0.6227616667747498,6.639069761149585e-05,041dee3a72c9444ee8ce2aa830355429.png
cobblestone,0.050009895116090775,0.41079017519950867,0.0009098236332647502,0.017259832471609116,0.007456880062818527,0.0033970423974096775,0.014251215383410454,0.12996640801429749,0.36331015825271606,0.002648587804287672,0429140ebadb304dba1ff20d45707bf2.png
cobblestone,0.00047032139264047146,0.6401963829994202,5.5661654187133536e-05,8.489462197758257e-05,0.0001719549618428573,2.542142647143919e-05,0.0007920209318399429,0.0024989552330225706,0.35567110776901245,3.3245461963815615e-05,044bcc56c7cfd2b195bbcb277a7c7200.png
