prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
cobblestone,0.038482666015625,0.48388671875,0.00027823448181152344,0.055999755859375,0.0033626556396484375,0.0032596588134765625,0.2113037109375,0.04864501953125,0.1546630859375,0.00018537044525146484,00183be05c57c523304f72cb99409466.png
cobblestone,0.00345611572265625,0.9287109375,0.0003368854522705078,0.00495147705078125,0.00010198354721069336,0.0010881423950195312,0.0294036865234375,0.00984954833984375,0.0218505859375,2.1398067474365234e-05,0135cb28457e6cacc28f109f816791af.png
gravel,0.013641357421875,0.01386260986328125,0.001155853271484375,0.3154296875,0.01096343994140625,0.01522064208984375,0.53662109375,0.0889892578125,0.00409698486328125,8.982419967651367e-05,024ab141bc3fd53d26d089a2e8e9b2df.png
cobblestone,0.01500701904296875,0.45263671875,0.0012807846069335938,0.030792236328125,0.0012035369873046875,0.042755126953125,0.1947021484375,0.09637451171875,0.1639404296875,0.00139617919921875,032b20802a2fff0cf2860e7872421b82.png
cobblestone,0.0196075439453125,0.74755859375,0.0001806020736694336,0.026397705078125,0.0004200935363769531,0.0033550262451171875,0.059478759765625,0.057647705078125,0.085205078125,0.00011479854583740234,03b5a2b6fafd824d338d324dbfa57dec.png
cobblestone,0.0038547515869140625,0.9140625,0.00032138824462890625,0.0072021484375,9.351968765258789e-05,0.0010051727294921875,0.03436279296875,0.01284027099609375,0.02593994140625,0.00015664100646972656,03e13f03ec3fdf8dd50b56bad9ae896e.png
cobblestone,0.0030059814453125,0.64892578125,0.00013208389282226562,0.0186920166015625,0.0009021759033203125,0.0005059242248535156,0.006069183349609375,0.005443572998046875,0.316162109375,2.8312206268310547e-05,040ff53544a60899e98accf8baf9b31a.png
paving_stones,0.0012502670288085938,0.10906982421875,3.933906555175781e-06,0.0005054473876953125,2.759695053100586e-05,9.417533874511719e-06,0.0006694793701171875,0.0030460357666015625,0.88525390625,1.5497207641601562e-05,041dee3a72c9444ee8ce2aa830355429.png
concrete,0.03936767578125,0.129150390625,0.0011892318725585938,0.57861328125,0.02581787109375,0.069091796875,0.06292724609375,0.0555419921875,0.038177490234375,0.00014770030975341797,0429140ebadb304dba1ff20d45707bf2.png
cobblestone,0.012786865234375,0.8037109375,0.0001023411750793457,0.016937255859375,0.00039839744567871094,0.0006365776062011719,0.061981201171875,0.01299285888671875,0.0902099609375,0.0002067089080810547,044bcc56c7cfd2b195bbcb277a7c7200.png
cobblestone,0.0022068023681640625,0.96240234375,0.00012946128845214844,0.0007505416870117188,7.319450378417969e-05,3.170967102050781e-05,0.0286102294921875,0.0010099411010742188,0.004669189453125,4.470348358154297e-05,048f62564bda6115efed1e3b5c0d93c2.png
ground,0.024139404296875,0.10821533203125,0.0010356903076171875,0.2117919921875,0.00505828857421875,0.132568359375,0.159912109375,0.328125,0.0277862548828125,0.001461029052734375,05f9b28148dbf3c884ad2b7b772b3948.png
gravel,0.01059722900390625,0.06097412109375,0.00199127197265625,0.10870361328125,0.0028972625732421875,0.1121826171875,0.5029296875,0.1907958984375,0.00838470458984375,0.0007500648498535156,062d51629ae5ee8ab6655f04dab8bc8d.png
gravel,0.011932373046875,0.243408203125,0.001873016357421875,0.138671875,0.00563812255859375,0.075439453125,0.388916015625,0.09686279296875,0.033477783203125,0.00363922119140625,068bd75410463f920550873d0e77647b.png
gravel,0.0179595947265625,0.421875,0.0011129379272460938,0.01715087890625,0.0002562999725341797,0.0026702880859375,0.442138671875,0.05364990234375,0.0430908203125,4.780292510986328e-05,07d18265388934b88ffc8fca6bcaa8a6.png
paving_stones,0.00048613548278808594,0.40869140625,0.00021910667419433594,0.01560211181640625,0.004611968994140625,3.4689903259277344e-05,0.0007414817810058594,0.0018930435180664062,0.5673828125,1.7583370208740234e-05,08ec06be44643be9240d489a299bfdc9.png
concrete,0.018402099609375,0.36962890625,0.0016078948974609375,0.4599609375,0.007434844970703125,0.0030517578125,0.0280609130859375,0.037750244140625,0.07391357421875,0.0002371072769165039,09752a1821eaf4cab58f563c586490a6.png
cobblestone,0.00103759765625,0.53759765625,6.74128532409668e-05,0.0014410018920898438,2.5987625122070312e-05,5.8531761169433594e-05,0.0026493072509765625,0.01151275634765625,0.445556640625,4.5299530029296875e-06,0afe06ac88ac6a32afc52029da255aa7.png
cobblestone,0.0011053085327148438,0.9736328125,9.804964065551758e-05,0.002231597900390625,3.49879264831543e-05,0.0001920461654663086,0.0147857666015625,0.0016326904296875,0.006259918212890625,1.4126300811767578e-05,0b008a312cf9775b1f7070be13bb12a6.png
gravel,0.0216064453125,0.10467529296875,0.0015172958374023438,0.180908203125,0.02447509765625,0.034515380859375,0.59326171875,0.035614013671875,0.003261566162109375,0.00026154518127441406,0b0fdc5c9f389c902943563ea03e6c95.png
cobblestone,0.139404296875,0.281494140625,0.0013446807861328125,0.1904296875,0.01025390625,0.0003619194030761719,0.139404296875,0.0179901123046875,0.21923828125,9.369850158691406e-05,0b2a0206f199a20947f72e0337f75b75.png
gravel,0.0201263427734375,0.1658935546875,0.0064849853515625,0.0262451171875,0.0028095245361328125,0.0023479461669921875,0.6162109375,0.0975341796875,0.061981201171875,0.00013148784637451172,0b3121d2eadcbc051324a732ddc609c6.png
cobblestone,0.0029277801513671875,0.97900390625,8.761882781982422e-06,4.374980926513672e-05,4.172325134277344e-07,2.384185791015625e-06,0.00106048583984375,0.01486968994140625,0.0018606185913085938,5.960464477539063e-08,0bcae21194420e55aaecdf7b66814ba3.JPG
paving_stones,0.0081787109375,0.1361083984375,0.0220489501953125,0.04217529296875,0.059478759765625,0.006885528564453125,0.0174407958984375,0.00804901123046875,0.6806640625,0.01885986328125,0be7e502290a34ecc0a1c4e4feb8167b.png
paving_stones,0.060638427734375,0.289306640625,0.0013818740844726562,0.0216217041015625,0.0010433197021484375,0.00887298583984375,0.0112152099609375,0.12060546875,0.484375,0.0008320808410644531,0ca0bb35e82508eec9715cf9975a0c1a.png
cobblestone,0.01464080810546875,0.365966796875,0.0042266845703125,0.066650390625,0.005733489990234375,0.06982421875,0.255615234375,0.10986328125,0.092529296875,0.01499176025390625,0cb5601b620244a8374d3792aee989b1.png
cobblestone,0.0006914138793945312,0.9892578125,7.87973403930664e-05,0.0028228759765625,9.059906005859375e-06,2.5033950805664062e-06,0.0011053085327148438,0.0004754066467285156,0.00569915771484375,1.3709068298339844e-06,0cebef86bec36e1b827d52f317456d3f.png
cobblestone,0.042327880859375,0.73876953125,0.0004851818084716797,0.051055908203125,0.0014486312866210938,0.0026226043701171875,0.12445068359375,0.0200042724609375,0.0187835693359375,5.4001808166503906e-05,0d94d7d16f2265ea6c8935e8b24340e6.png
gravel,0.0216522216796875,0.1412353515625,0.0034275054931640625,0.0269622802734375,0.0008335113525390625,0.0511474609375,0.52490234375,0.2120361328125,0.0174102783203125,0.0005593299865722656,0e4d5188b6956094b221e8cd2e47c128.png
paving_stones,0.005817413330078125,0.08221435546875,0.021453857421875,0.005550384521484375,0.01497650146484375,0.0250701904296875,0.049102783203125,0.0266876220703125,0.76806640625,0.0011014938354492188,0f8d670ac111e4e2fdbdd0fc7f41dbcf.png
cobblestone,0.0196075439453125,0.490234375,0.0023059844970703125,0.0225677490234375,0.0008158683776855469,0.0673828125,0.2244873046875,0.07879638671875,0.09356689453125,0.00029540061950683594,0faf86e65cfe486314bfc1bc68fb69e9.png
cobblestone,0.0095062255859375,0.5439453125,0.00038623809814453125,0.0297393798828125,0.0011005401611328125,0.01641845703125,0.34033203125,0.0406494140625,0.018035888671875,0.00012242794036865234,105195a563b8e49491c260c593e4b975.png
cobblestone,0.034423828125,0.25830078125,0.005279541015625,0.1043701171875,0.0017957687377929688,0.15673828125,0.18896484375,0.1981201171875,0.051666259765625,0.0003025531768798828,107f377d6c484ce23a7ebf63e4d0fb60.png
cobblestone,0.0088043212890625,0.77978515625,0.00014221668243408203,0.04541015625,0.001964569091796875,0.0012102127075195312,0.041351318359375,0.01384735107421875,0.10723876953125,7.617473602294922e-05,10aeafab422c2984550f6276f6b582c8.png
cobblestone,0.01125335693359375,0.83984375,0.00017631053924560547,0.0084991455078125,0.00022995471954345703,0.0009098052978515625,0.03521728515625,0.0177154541015625,0.0858154296875,0.00010204315185546875,136756aad97efec0a8f3b0861e6fb967.png
cobblestone,0.001651763916015625,0.708984375,0.0001609325408935547,0.0189056396484375,0.0006265640258789062,0.00030541419982910156,0.007061004638671875,0.0052490234375,0.2568359375,2.86102294921875e-05,13b1471e31622146a05172f57583ead3.png
gravel,0.025238037109375,0.388671875,0.002422332763671875,0.0209197998046875,0.0007925033569335938,0.004184722900390625,0.5068359375,0.0209197998046875,0.02996826171875,8.219480514526367e-05,13e6ccc47636049f9b123e1e6ed4ec5e.png
ground,0.0025577545166015625,0.01404571533203125,0.0018138885498046875,0.05914306640625,0.001117706298828125,0.26513671875,0.2413330078125,0.410400390625,0.00421905517578125,0.00032782554626464844,140e051cb57bf6581d020e373c53461b.png
paving_stones,0.0008196830749511719,0.00952911376953125,0.0004057884216308594,0.01430511474609375,0.2237548828125,0.00012862682342529297,0.005100250244140625,0.0007700920104980469,0.7451171875,9.268522262573242e-05,1497ebc23cbe27639a1698a1aec94b08.png
cobblestone,0.044830322265625,0.336669921875,0.0023403167724609375,0.024383544921875,0.0023212432861328125,0.059417724609375,0.1109619140625,0.12188720703125,0.297119140625,0.0002390146255493164,14a3cec5a5e9d1d40052bcbe68ad24dc.png
cobblestone,0.0011720657348632812,0.85595703125,7.432699203491211e-05,0.001369476318359375,4.202127456665039e-05,3.170967102050781e-05,0.00717926025390625,0.0069580078125,0.127197265625,4.589557647705078e-06,14f5819b908ef2c98b492711135de947.png
cobblestone,0.02789306640625,0.25244140625,0.006622314453125,0.10040283203125,0.003894805908203125,0.12890625,0.181884765625,0.240966796875,0.055450439453125,0.0014781951904296875,1508b5b570b819ac0d00aa951f876f50.png
cobblestone,0.006103515625,0.90576171875,2.0205974578857422e-05,0.00591278076171875,0.0002765655517578125,6.99162483215332e-05,0.0687255859375,0.0008654594421386719,0.0123291015625,1.0013580322265625e-05,151ebc2ff43c9026236c7bde03c62b99.png
paving_stones,0.0157470703125,0.37548828125,0.00021946430206298828,0.0662841796875,0.0012722015380859375,0.0076751708984375,0.05328369140625,0.092041015625,0.387451171875,0.0003561973571777344,153248be7580adabe9376d8a30a016f9.png
gravel,0.02825927734375,0.06170654296875,0.006404876708984375,0.0261383056640625,0.0031948089599609375,0.060760498046875,0.5009765625,0.259765625,0.05279541015625,5.543231964111328e-05,1697c9d56a8675d8d8a545c2d034ca00.png
paving_stones,0.015533447265625,0.242919921875,0.00431060791015625,0.0207366943359375,0.002101898193359375,0.0011425018310546875,0.00716400146484375,0.00267791748046875,0.703125,0.00046539306640625,16d2a4bdddc619910981413392c2c012.jpg
cobblestone,0.006649017333984375,0.4736328125,0.00014925003051757812,0.001102447509765625,0.00012862682342529297,0.00011622905731201172,0.0621337890625,0.0042266845703125,0.451904296875,1.7702579498291016e-05,16f23ff6439726d13fd4e0d62db797bf.png
cobblestone,0.08746337890625,0.437255859375,0.0078887939453125,0.0211029052734375,0.003261566162109375,0.1441650390625,0.12335205078125,0.110595703125,0.062042236328125,0.00274658203125,16f89598abd1135fece52048a76a0c5e.png
gravel,0.02520751953125,0.30224609375,0.003082275390625,0.015777587890625,0.00130462646484375,0.00885009765625,0.57373046875,0.037261962890625,0.032379150390625,0.0001672506332397461,183fcff17c1484269707e091b5c5682e.png
cobblestone,0.0007262229919433594,0.96044921875,4.941225051879883e-05,0.0005393028259277344,8.535385131835938e-05,0.0002321004867553711,0.01100921630859375,0.0009765625,0.0260009765625,3.933906555175781e-06,1a2369f7ae489fc989afb68de63f32f6.png
cobblestone,0.0177764892578125,0.9404296875,3.540515899658203e-05,0.0019025802612304688,9.036064147949219e-05,0.0001399517059326172,0.00865936279296875,0.0021228790283203125,0.028839111328125,0.00011426210403442383,1a3e994224f8fd83a804780ed5f035b1.png
cobblestone,0.003204345703125,0.96044921875,6.341934204101562e-05,0.0002932548522949219,2.467632293701172e-05,2.092123031616211e-05,0.0025348663330078125,0.00203704833984375,0.0313720703125,6.54458999633789e-05,1bc9725bac2e8d2a8b19cca20c8f6303.png
paving_stones,0.00246429443359375,0.05609130859375,1.621246337890625e-05,0.0035858154296875,0.0002639293670654297,1.4662742614746094e-05,0.0017480850219726562,0.0016679763793945312,0.93408203125,3.3020973205566406e-05,1c9acd79969c667e23a843d335fd3171.png
cobblestone,0.0033473968505859375,0.74560546875,5.5789947509765625e-05,0.0030002593994140625,5.328655242919922e-05,4.214048385620117e-05,0.003452301025390625,0.0205078125,0.223876953125,7.152557373046875e-07,1d26d13133a38990a0c501813f034622.jpg
