prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
sett,0.0002632435061968863,0.36142539978027344,4.638136033463525e-06,1.1592969713092316e-05,5.838939250679687e-05,4.0058953376664874e-10,1.5767232980579138e-05,0.0008629215881228447,0.17376874387264252,0.46358928084373474,00183be05c57c523304f72cb99409466.png
sett,1.9786343727901112e-06,0.22161146998405457,1.5535910279140808e-05,8.355309546459466e-07,0.00014021109382156283,9.565549741186175e-11,3.806608583545312e-05,0.0012168241664767265,0.3638039231300354,0.4131712019443512,0135cb28457e6cacc28f109f816791af.png
ground,0.0007038040203042328,0.004060492385178804,0.00027318098000250757,0.07230086624622345,0.0310521200299263,1.9570695712900488e-06,0.00035701284650713205,0.8637603521347046,0.0050798142328858376,0.022410372272133827,024ab141bc3fd53d26d089a2e8e9b2df.png
sett,1.7932887203642167e-05,0.02432263456285,2.7779609808931127e-05,0.00027230940759181976,0.14464417099952698,3.326781738977047e-09,8.644732588436455e-05,0.06478160619735718,0.2844657897949219,0.4813813269138336,032b20802a2fff0cf2860e7872421b82.png
sett,3.499562808428891e-05,0.19288896024227142,3.4964650694746524e-06,5.560300451179501e-06,0.00020344136282801628,6.042844002962511e-11,3.826939973805565e-06,0.0005667951190844178,0.38251689076423645,0.4237760007381439,03b5a2b6fafd824d338d324dbfa57dec.png
cobblestone,1.0071890756080393e-05,0.5640982389450073,0.00021436219685710967,2.583116156529286e-06,0.0001475377648603171,1.3139146715079875e-10,2.328752088942565e-05,0.006733065936714411,0.1304088681936264,0.29836198687553406,03e13f03ec3fdf8dd50b56bad9ae896e.png
paving_stones,8.65223046275787e-06,0.319690078496933,3.968903001805302e-06,3.6471797102421988e-06,0.0005958012770861387,6.619861603329724e-11,7.499040179936856e-07,6.674678297713399e-05,0.44029760360717773,0.23933269083499908,040ff53544a60899e98accf8baf9b31a.png
paving_stones,2.2488904505735263e-05,0.1516992598772049,7.199696483439766e-07,1.0776036560855573e-06,9.934519766829908e-05,2.2368254470883642e-10,1.7872348507808056e-06,0.00010481342178536579,0.5344929695129395,0.3135775625705719,041dee3a72c9444ee8ce2aa830355429.png
paving_stones,0.00013117452908772975,0.15129253268241882,5.528785550268367e-05,0.00044768708175979555,0.028722750023007393,6.204298408363229e-09,1.0958072380162776e-05,0.0003318157105240971,0.4232821762561798,0.39572563767433167,0429140ebadb304dba1ff20d45707bf2.png
sett,7.130473477445776e-06,0.1927289366722107,2.387944959991728e-06,7.701973117946181e-06,9.174698789138347e-05,2.1397016103374966e-11,8.343951662936888e-07,0.0001586298312759027,0.33025044202804565,0.4767521619796753,044bcc56c7cfd2b195bbcb277a7c7200.png
