prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
cobblestone,0.008593727834522724,0.7746472954750061,0.007679601665586233,0.005046175327152014,0.0007321559824049473,0.000542844645678997,0.0018697184277698398,0.03109704703092575,0.1660224050283432,0.0037690226454287767,00183be05c57c523304f72cb99409466.png
ground,0.008989661931991577,0.14053496718406677,0.25143519043922424,0.00470591988414526,0.011834225617349148,0.0011561105493456125,0.026005132123827934,0.43449243903160095,0.11562252044677734,0.005223833490163088,0135cb28457e6cacc28f109f816791af.png
concrete,0.03144648298621178,0.19152264297008514,0.0801953375339508,0.5392253994941711,0.02132057398557663,0.003072659717872739,0.008533992804586887,0.07203328609466553,0.05187413468956947,0.0007754532853141427,024ab141bc3fd53d26d089a2e8e9b2df.png
cobblestone,0.0034143642988055944,0.9592557549476624,0.008906234055757523,0.004025282338261604,0.000603452674113214,0.006570140365511179,0.005659711547195911,0.002075599506497383,0.008524598553776741,0.0009649465791881084,032b20802a2fff0cf2860e7872421b82.png
cobblestone,0.003627510042861104,0.8541335463523865,0.008773364126682281,0.0010541474912315607,0.0006989784887991846,0.00014079110405873507,0.0010891364654526114,0.0011918406235054135,0.1252000629901886,0.004090660717338324,03b5a2b6fafd824d338d324dbfa57dec.png
cobblestone,0.002003032248467207,0.8363728523254395,0.004343487322330475,0.0004843318311031908,0.0002467598533257842,6.383939762599766e-05,0.0030298694036900997,0.009213500656187534,0.10587397962808609,0.03836832195520401,03e13f03ec3fdf8dd50b56bad9ae896e.png
cobblestone,0.02025887370109558,0.6764086484909058,0.022165939211845398,0.00804623682051897,0.007185089867562056,0.00032533289049752057,0.001221986603923142,0.00826183706521988,0.255049467086792,0.001076514832675457,040ff53544a60899e98accf8baf9b31a.png
cobblestone,0.01836485043168068,0.4706284701824188,0.018575076013803482,0.008685876615345478,0.001375097199343145,0.0003306111611891538,0.006542565301060677,0.004735770169645548,0.4576459228992462,0.013115695677697659,041dee3a72c9444ee8ce2aa830355429.png
cobblestone,0.05226222053170204,0.4774291217327118,0.022433992475271225,0.034856829792261124,0.014941011555492878,0.0015152717242017388,0.0029486322309821844,0.03263161703944206,0.35996299982070923,0.0010183574631810188,0429140ebadb304dba1ff20d45707bf2.png
cobblestone,0.005048494320362806,0.820448637008667,0.011146411299705505,0.0019452138803899288,0.0005894106579944491,0.00017154627130366862,0.0034030575770884752,0.0062500485219061375,0.1443730741739273,0.006624170579016209,044bcc56c7cfd2b195bbcb277a7c7200.png
paving_stones,0.001977117732167244,0.31211939454078674,0.055067550390958786,0.001264571095816791,0.0007081333897076547,8.47143674036488e-05,0.0037192455492913723,0.08042505383491516,0.5253011584281921,0.019333017989993095,048f62564bda6115efed1e3b5c0d93c2.png
cobblestone,0.037589363753795624,0.5618705153465271,0.028685923665761948,0.22170960903167725,0.020363308489322662,0.02181202918291092,0.024224601686000824,0.038999348878860474,0.04437694698572159,0.00036841549444943666,05f9b28148dbf3c884ad2b7b772b3948.png
concrete,0.0431000255048275,0.34033188223838806,0.026987388730049133,0.3702266812324524,0.045867446810007095,0.04805079847574234,0.011069519445300102,0.09388405084609985,0.01914917305111885,0.0013330071233212948,062d51629ae5ee8ab6655f04dab8bc8d.png
compacted,0.027615610510110855,0.1010928824543953,0.4055842459201813,0.29006263613700867,0.00270860199816525,0.036753103137016296,0.03325274586677551,0.09280680865049362,0.00985035952180624,0.00027302626403979957,068bd75410463f920550873d0e77647b.png
paving_stones,0.005335277412086725,0.360480397939682,0.04058859497308731,0.0021763199474662542,0.00558182317763567,0.0004870296979788691,0.018005825579166412,0.10430502891540527,0.4234433174133301,0.03959644213318825,07d18265388934b88ffc8fca6bcaa8a6.png
cobblestone,0.0006550074322149158,0.799225926399231,0.011569763533771038,0.0009481293964199722,0.0016994299367070198,7.6203004937269725e-06,0.00040158271440304816,0.0018943996401503682,0.1802195906639099,0.0033785048872232437,08ec06be44643be9240d489a299bfdc9.png
paving_stones,0.015092447400093079,0.3351014256477356,0.02697443589568138,0.15522345900535583,0.11965251713991165,0.00014195033872965723,0.000956536503508687,0.004929657094180584,0.33945947885513306,0.002468094462528825,09752a1821eaf4cab58f563c586490a6.png
